[['Dimitri Mohamed', 'startMemberOf', 'FK Borac Čačak', '2022-01-01']]
[['Janne Korhonen ( footballer)', 'endMemberOf', 'National Institute of Technology, Warangal', '2022-01-01']]
[['Alex Bazzell', 'endWorksFor', 'Colorado State University', '2022-01-01']]
[['Scott Earley', 'endWorksFor', 'QIMR Berghofer Medical Research Institute', '2022-01-01']]
[['Siegfried Kasper', 'startMemberOf', 'Oxford United F. C.', '2022-01-01']]
[['Matthias Behr', 'endMemberOf', 'CE Vendrell', '2022-01-01']]
[['Vangelis Nastos', 'startMemberOf', 'Asteras Magoula F. C.', '2022-01-01']]
[['Jordan Obita', 'startMemberOf', 'Ottawa Fury FC', '2022-01-01']]
[['Marla Brumfield', 'startMemberOf', 'Houston Comets', '2022-01-01']]
[['Uguzne', 'endMemberOf', 'Athletic Club ( women)', '2022-01-01']]
[['Tone Gunn Frustøl', 'endMemberOf', 'Amazon Grimstad', '2022-01-01']]
[['José Luis Arrieta', 'endMemberOf', 'Association Sirocco', '2022-01-01']]
[['Martina Vikova', 'endWorksFor', 'Technical University of Liberec', '2022-01-01']]
[['Lee Tae-ho ( footballer, born 1991)', 'startMemberOf', 'South Korea national football team generic instance', '2022-01-01']]
[['Marko Mirić', 'startMemberOf', 'FK Sinđelić Beograd', '2022-01-01']]
[['Guro Bergsvand', 'endMemberOf', 'Stabæk Fotball Kvinner', '2022-01-01']]
[['Omar Israel Jaime', 'startMemberOf', 'Club Atlético Atlanta', '2022-01-01']]
[['Mounir Chaftar', 'startMemberOf', 'Ottawa Fury FC', '2022-01-02']]
[['Bruno Nazário', 'startMemberOf', 'Esporte Clube Bahia', '2022-01-02']]
[['Bobby Brennan ( soccer)', 'endMemberOf', 'Long Island Rough Riders', '2022-01-02']]
[['Ashley Evans', 'startMemberOf', 'Terville Florange Olympique Club', '2022-01-02']]
[['Haiying Wang', 'endWorksFor', 'Nanjing Forestry University', '2022-01-03']]
[['Samuel C B Stubbs', 'endWorksFor', 'University of Cambridge', '2022-01-03']]
[['Udhaya Kumar S', 'endWorksFor', 'Chungnam National University', '2022-01-04']]
[['Columbus Willis', 'endMemberOf', 'Little Rock Trojans men\' s basketball', '2022-01-04']]
[['Rune Nilssen', 'endMemberOf', 'F. C. Copenhagen', '2022-01-04']]
[['Raúl González ( handballer)', 'endMemberOf', 'BM Granollers', '2022-01-04']]
[['Siarhei Safonau', 'startMemberOf', 'Santic– Wibatech', '2022-01-04']]
[['Jacques Poujol', 'startMemberOf', 'Académie Des Hauts Cantons', '2022-01-04']]
[['Diana Piol', 'endWorksFor', 'University of Padua', '2022-01-05']]
[['Yevgeni Kartusha', 'startMemberOf', 'FC Avangard Kursk', '2022-01-05']]
[['James Jobber', 'endMemberOf', 'Brunei Continental Cycling Team', '2022-01-05']]
[['Yu-Sheng Hsiao', 'startWorksFor', 'A. C. Salò', '2022-01-05']]
[['Oz Raly', 'startMemberOf', 'FC Armavir', '2022-01-05']]
[['Pelekas', 'endLocation', 'Corfu Municipality', '2022-01-05']]
[['Stijn Buitink', 'endWorksFor', 'University of Groningen', '2022-01-05']]
[['Motohiro Yamaguchi', 'startMemberOf', 'Trat F. C.', '2022-01-05']]
[['Oleksandr Kapliyenko', 'startMemberOf', 'Trat F. C.', '2022-01-06']]
[['Will Ginn', 'endWorksFor', 'German Research Foundation', '2022-01-06']]
[['Patrik Klačan', 'endMemberOf', 'Slovakia national under-15 football team', '2022-01-06']]
[['Pavel Vieira', 'startMemberOf', 'Çaykur Rizespor', '2022-01-07']]
[['Pat Spencer', 'endMemberOf', 'Northwestern Wildcats men\' s basketball', '2022-01-07']]
[['Mark Kitching', 'endMemberOf', 'Rochdale A. F. C.', '2022-01-07']]
[['Jeremy Sloan', 'endWorksFor', 'Queen Mary University of London', '2022-01-09']]
[['Jeremy Reedal', 'startMemberOf', 'S. C. Lusitânia ( basketball)', '2022-01-10']]
[['Matthew Hockley', 'endMemberOf', 'Truro City F. C.', '2022-01-10']]
[['Minghsiu Hsieh', 'startMemberOf', 'Queens Park Rangers F. C.', '2022-01-11']]
[['André Santos', 'startMemberOf', 'Persepam Madura Utama', '2022-01-11']]
[['Mauro Aldave', 'endMemberOf', 'Cerro Porteño', '2022-01-11']]
[['Jacques Jones', 'startMemberOf', 'K. V. C. Westerlo', '2022-01-11']]
[['Miel Mans', 'startMemberOf', 'German Research Foundation', '2022-01-11']]
[['Michela Ledri', 'endMemberOf', 'S. S. D. Women Hellas Verona', '2022-01-11']]
[['Maxime Chevalier', 'startMemberOf', 'Cambodia Cycling Academy', '2022-01-11']]
[['Jemma Connor-Iommi', 'endMemberOf', 'Nottingham Forest Women F. C.', '2022-01-12']]
[['Stanislav Kharitonov', 'endMemberOf', 'FC Mostovik-Primorye Ussuriysk', '2022-01-13']]
[['Raúl Iznata Zabala', 'endMemberOf', 'Pittsburgh Panthers men\' s basketball', '2022-01-14']]
[['Mikhail Yuryev', 'endMemberOf', 'Veltex Shizuoka', '2022-01-14']]
[['Dewayne Wright', 'startMemberOf', 'Germany national under-20 football team generic instance', '2022-01-14']]
[['Anna Badegruber', 'endMemberOf', 'Ceratizit– WNT Pro Cycling', '2022-01-15']]
[['Sergey Kuznetsov ( footballer, born 1986)', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-01-16']]
[['Geoff Rizk', 'startMemberOf', 'Pistoia Basket 2000', '2022-01-16']]
[['Frédéric Herpoel', 'startMemberOf', 'Panthrakikos F. C.', '2022-01-16']]
[['Lampros Choutos', 'startMemberOf', 'FC Andorra', '2022-01-17']]
[['Igor Alves', 'startMemberOf', 'Beşiktaş J. K.', '2022-01-17']]
[['Shwetank Avikal', 'endWorksFor', 'DIT University', '2022-01-18']]
[['Branden Doughty', 'endMemberOf', 'Coppin State Eagles men\' s basketball', '2022-01-18']]
[['Sebastian Larsson', 'startMemberOf', 'Ottawa Fury FC', '2022-01-19']]
[['Qi Yunfei', 'startMemberOf', 'Dalian Shide F. C.', '2022-01-20']]
[['N. Asokan', 'endWorksFor', 'University of Helsinki', '2022-01-20']]
[['Bryan Hodge', 'endMemberOf', 'Partick Thistle F. C.', '2022-01-20']]
[['Nikita Parris', 'startMemberOf', 'Bristol City W. F. C.', '2022-01-20']]
[['Lawrence Shirley', 'endWorksFor', 'Jefferson Health', '2022-01-21']]
[['Sedat Yeşilkaya', 'startMemberOf', 'PFC Akademik Sofia', '2022-01-21']]
[['Shi-Qi An', 'endWorksFor', 'Queen\' s University Belfast', '2022-01-22']]
[['Max Sciandri', 'endMemberOf', 'Tinkoff ( cycling team)', '2022-01-22']]
[['Esteban Fullana Torregrosa', 'startMemberOf', 'Ottawa Fury FC', '2022-01-23']]
[['Andrew Wiedeman', 'startMemberOf', 'CA Saint-Étienne Loire Sud Rugby', '2022-01-23']]
[['Mike Pyke', 'startMemberOf', 'German Research Foundation', '2022-01-23']]
[['Hai Lam ( footballer)', 'startMemberOf', 'Aalesunds FK', '2022-01-23']]
[['Karen Amirbekyan', 'endWorksFor', 'Yerevan State University', '2022-01-23']]
[['Michael Phillips ( footballer)', 'startMemberOf', 'Guildford City F. C.', '2022-01-24']]
[['Rune Andersson', 'endWorksFor', 'University of Gothenburg', '2022-01-24']]
[['Andreas Raudsepp', 'endMemberOf', 'Estonia national under-21 football team', '2022-01-24']]
[['Frank Boeckx', 'endMemberOf', 'R. S. C. Anderlecht', '2022-01-24']]
[['Tania Sánchez', 'startMemberOf', 'Podemos ( Spanish political party)', '2022-01-25']]
[['Ivan Cacchioli', 'startMemberOf', 'A. S. Pro Piacenza 1919', '2022-01-25']]
[['Kevin Keen', 'startMemberOf', 'Mossley A. F. C.', '2022-01-26']]
[['Gustavo Rodríguez Iglesias', 'endMemberOf', 'LA Alumínios– LA Sport', '2022-01-26']]
[['Ergin Keleş', 'startMemberOf', 'PFC Akademik Sofia', '2022-01-26']]
[['Lhadji Badiane', 'endMemberOf', 'L\' Aquila Calcio 1927', '2022-01-26']]
[['Marco de Luigi', 'startMemberOf', 'Stade Lavallois', '2022-01-26']]
[['Christopher Nuth', 'endMemberOf', 'Georgia Tech-Cnrs Laboratory', '2022-01-26']]
[['Wanda Niemyska', 'endWorksFor', 'AD Alcorcón', '2022-01-26']]
[['Frøydis Meen Wærsted', 'endMemberOf', 'Team Coop– Hitec Products', '2022-01-26']]
[['Young Mee Jung', 'endMemberOf', 'Gentofte Hospital', '2022-01-26']]
[['Graham Knowles', 'endWorksFor', 'Viktoria Aschaffenburg', '2022-01-26']]
[['Demarqus James', 'startMemberOf', 'HTV Basket', '2022-01-26']]
[['Artemi Maleyev', 'startMemberOf', 'FC Volga Ulyanovsk', '2022-01-26']]
[['Koken Kato', 'startMemberOf', 'Júbilo Iwata', '2022-01-26']]
[['Lucas Radebe', 'endMemberOf', 'Fehérvár FC', '2022-01-26']]
[['Sergiu Diaconu', 'startMemberOf', 'FC Saxan', '2022-01-26']]
[['Jake Beitinger', 'startMemberOf', 'USC Heidelberg', '2022-01-26']]
[['Almir ( footballer, born 1985)', 'startMemberOf', 'Júbilo Iwata', '2022-01-26']]
[['Tomoya Kano', 'startMemberOf', 'AG2R Citroën Team', '2022-01-26']]
[['Peter Franquart', 'startMemberOf', 'FC Andorra', '2022-01-26']]
[['Alex Kellogg', 'endMemberOf', 'Grand Est-Komugi-La Fabrique', '2022-01-26']]
[['Canton De Cayenne-4 Centre', 'startMemberOf', 'Queen\' s Park F. C.', '2022-01-26']]
[['Costa Nhamoinesu', 'startMemberOf', 'Simba S. C.', '2022-01-26']]
[['Hesso Farhan', 'endWorksFor', 'University of Konstanz', '2022-01-26']]
[['Tony Griffiths', 'endMemberOf', 'Longford Town F. C.', '2022-01-26']]
[['Stanislaw Oldziej', 'endWorksFor', 'Cornell University', '2022-01-26']]
[['Anne Mäkinen', 'endMemberOf', 'Bälinge IF', '2022-01-26']]
[['Franklin Cale', 'startMemberOf', 'Panionios F. C.', '2022-01-26']]
[['Steven Rüegg', 'startMemberOf', 'Dorados de Sinaloa', '2022-01-26']]
[['Horst D U002E Schulz', 'startMemberOf', 'Morocco national football team generic instance', '2022-01-26']]
[['Alex Wegner', 'startMemberOf', 'Maccabi Rishon LeZion ( basketball)', '2022-01-26']]
[['Sebastián Mora', 'startMemberOf', 'Vc Villefranche Beaujolais', '2022-01-26']]
[['Gianluca Sordo', 'startMemberOf', 'Olbia Calcio 1905', '2022-01-26']]
[['Juan Manuel Coello', 'startMemberOf', 'New England Revolution', '2022-01-26']]
[['John Stewart ( footballer, born 1985)', 'endMemberOf', 'Ross County F. C.', '2022-01-26']]
[['Amar Rahmanović', 'endMemberOf', 'FK Olimpik', '2022-01-26']]
[['Tim Long', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-27']]
[['Jaylen Johnson', 'endMemberOf', 'Louisville Cardinals men\' s basketball', '2022-01-28']]
[['María J U002E Gómara', 'endWorksFor', 'Spanish National Research Council', '2022-01-28']]
[['Kyle Boller', 'startMemberOf', 'Los Angeles Rams', '2022-01-29']]
[['Kevin Looi', 'endWorksFor', 'University of Western Australia', '2022-01-30']]
[['Francesco Sera', 'endWorksFor', 'University College London', '2022-01-30']]
[['Fraser Wishart', 'endMemberOf', 'Airdrieonians F. C. ( 1878)', '2022-01-30']]
[['Kirill Romanov ( association football)', 'startMemberOf', 'FK Ventspils', '2022-01-30']]
[['Joel Soto', 'startMemberOf', 'PFC Akademik Sofia', '2022-01-30']]
[['Scott Davies ( cyclist)', 'startMemberOf', 'Intermarché– Circus– Wanty', '2022-01-30']]
[['Gatis Smukulis', 'startMemberOf', 'AG2R Citroën Team', '2022-01-31']]
[['Andrés Pérez ( footballer, born 1980)', 'startMemberOf', 'Deportivo Roca', '2022-01-31']]
[['Dotsie Bausch', 'startMemberOf', 'Team DSM ( women\' s team)', '2022-01-31']]
[['David Genslinger', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-31']]
[['Justin Cobbs', 'startMemberOf', 'Beşiktaş J. K. ( men\' s basketball)', '2022-01-31']]
[['Stefanie Malan-Muller', 'endMemberOf', 'Global Young Academy', '2022-01-31']]
[['Miguel de Achával', 'startMemberOf', 'Selknam ( rugby union)', '2022-01-31']]
[['Michèle Brunet', 'endWorksFor', 'Institut Universitaire de France', '2022-01-31']]
[['Jabbar Washington', 'endMemberOf', 'Fehérvár FC', '2022-01-31']]
[['Diethard Böhme', 'startMemberOf', 'FC Pari Nizhny Novgorod', '2022-01-31']]
[['Tevfik Altındağ', 'startMemberOf', 'Club Athletico Paranaense', '2022-01-31']]
[['Frédéric Viseux', 'endMemberOf', 'ÉF Bastia', '2022-01-31']]
[['Cedric Martin', 'startMemberOf', 'Memphis Grizzlies', '2022-01-31']]
[['Joanna van de Winkel', 'startMemberOf', 'Multum Accountants Ladies Cycling Team', '2022-01-31']]
[['Ingrid Maijers', 'endMemberOf', 'University of Iowa', '2022-01-31']]
[['John F. Gunion', 'endWorksFor', 'FK Ventspils', '2022-01-31']]
[['Laura N Afanador-Barajas', 'startMemberOf', 'NK Olimpija Ljubljana', '2022-01-31']]
[['Aristidis K U002E Nikoloulopoulos', 'startMemberOf', 'California State Water Resources Control Board', '2022-01-31']]
[['Nick Busch', 'startMemberOf', 'German Research Foundation', '2022-01-31']]
[['Sławomir Majak', 'startMemberOf', 'Concordia Piotrków Trybunalski', '2022-01-31']]
[['Sabina Jacobsen', 'endMemberOf', 'Ikast Håndbold', '2022-01-31']]
[['Jean Maleb', 'startMemberOf', 'Yatel F. C.', '2022-01-31']]
[['Michael Guevara', 'startMemberOf', 'Coronel Bolognesi', '2022-01-31']]
[['Marcus Clift', 'endMemberOf', 'Montana State Bobcats men\' s basketball', '2022-01-31']]
[['José Roberto Romero-Arias', 'startMemberOf', 'Libya national football team', '2022-01-31']]
[['Nina Buchmann', 'endMemberOf', 'Junge Akademie', '2022-01-31']]
[['Ashlee Pistorius', 'startMemberOf', 'MagicJack ( WPS)', '2022-01-31']]
[['George Wilson ( safety)', 'startMemberOf', 'Los Angeles Rams', '2022-01-31']]
[['Ian Hogg ( footballer)', 'endMemberOf', 'Wellington Phoenix FC', '2022-01-31']]
[['Hélder Esteves', 'startMemberOf', 'S. F. K. Pierikos ( football)', '2022-01-31']]
[['Carrie J Andrew', 'endWorksFor', 'University of Oslo', '2022-01-31']]
[['Knut Landa', 'endMemberOf', 'Team Frøy– Bianchi', '2022-02-01']]
[['Dmitry Rogozin', 'startMemberOf', 'Rodina ( political party)', '2022-02-01']]
[['Jean-Noël Cabezas', 'endMemberOf', 'PFC Akademik Sofia', '2022-02-01']]
[['Batraz Toboyev', 'startMemberOf', 'Benevento Calcio', '2022-02-01']]
[['Ricky Lutton', 'endMemberOf', 'Samsung Medical Center', '2022-02-01']]
[['Iván Borghello', 'endWorksFor', 'Blackburn Rovers F. C.', '2022-02-01']]
[['Christopher Chamberland', 'endWorksFor', 'IBM Research', '2022-02-01']]
[['Paul Green ( footballer, born 1983)', 'startMemberOf', 'Ottawa Fury FC', '2022-02-01']]
[['Akin Tascikaraoglu', 'startMemberOf', 'PFC Akademik Sofia', '2022-02-01']]
[['Yeray Ortega Guarda', 'startMemberOf', 'T. Palm– Pôle Continental Wallon', '2022-02-01']]
[['Corey Whisenhunt', 'startMemberOf', 'Newtown United FC', '2022-02-01']]
[['Liam Buchanan ( cricketer)', 'endMemberOf', 'Victoria cricket team', '2022-02-01']]
[['Tamer Haj Mohamad', 'startMemberOf', 'Al-Jazeera SC ( Amman)', '2022-02-01']]
[['Aleksei Filippov ( footballer, born 1973)', 'endMemberOf', 'CB Gran Canaria', '2022-02-01']]
[['Omar Abdelaziz', 'startMemberOf', 'Adam Mickiewicz University in Poznań', '2022-02-01']]
[['Brett Rawlings', 'endWorksFor', 'Rugby Rovigo Delta', '2022-02-01']]
[['Emmanuel Mayonnade', 'startMemberOf', 'FC Stal Alchevsk', '2022-02-01']]
[['Nathalie De Haan', 'startMemberOf', 'FC Metalurh Zaporizhzhia', '2022-02-01']]
[['Tamás Takács ( footballer, born 1979)', 'endMemberOf', '1. FC Lübars', '2022-02-01']]
[['John Reed ( footballer)', 'endMemberOf', 'Ilkeston Town F. C. ( 1945)', '2022-02-01']]
[['Astha', 'startMemberOf', 'Pepperdine Waves men\' s basketball', '2022-02-01']]
[['Sam O Shepherd', 'endMemberOf', 'National Institute of Standards and Technology', '2022-02-01']]
[['Claus Grzeskowiak', 'endWorksFor', 'Hertha BSC II', '2022-02-01']]
[['Lendl Simmons', 'startMemberOf', 'Karachi Kings', '2022-02-01']]
[['Mike Himes', 'startMemberOf', 'Xavier Musketeers men\' s basketball', '2022-02-01']]
[['Lea Awai', 'startMemberOf', 'Royal Géants Athois', '2022-02-01']]
[['Claude Ederer', 'startMemberOf', 'German Research Foundation', '2022-02-01']]
[['Kyle Lapham', 'endMemberOf', 'Cirencester Town F. C.', '2022-02-01']]
[['Tim Pickett', 'endMemberOf', 'Florida State Seminoles men\' s basketball', '2022-02-01']]
[['Joep van den Ouweland', 'endMemberOf', 'Go Ahead Eagles', '2022-02-01']]
[['Mikko P Tulppo', 'startMemberOf', 'Deportivo de La Coruña ( women)', '2022-02-01']]
[['Roberta Ferrentino', 'startMemberOf', 'German Research Foundation', '2022-02-01']]
[['Mohammed Taqi Al-Lawati', 'startMemberOf', 'Al-Shamal SC', '2022-02-01']]
[['Sergei Grigoryevich Gorbunov', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-02-01']]
[['Yevgeni Aleksandrovich Smirnov', 'startMemberOf', 'FC Krasnodar', '2022-02-01']]
[['Ricardo ( footballer, born 1984)', 'startMemberOf', 'Clube Atlético Linense', '2022-02-01']]
[['José Javier Ruiz-Pernía', 'endWorksFor', 'Jaume I University', '2022-02-01']]
[['Aleksey Yevseyev', 'endMemberOf', 'Russia national under-21 football team', '2022-02-01']]
[['Yue Pan', 'endMemberOf', 'R. S. C. Anderlecht', '2022-02-01']]
[['Ali Koiki', 'startMemberOf', 'FC Volyn Lutsk', '2022-02-01']]
[['Dr U002E Indranil Saha', 'endWorksFor', 'Burdwan Medical College and Hospital', '2022-02-01']]
[['Jonathan L U002E Payne', 'endWorksFor', 'Pennsylvania State University', '2022-02-01']]
[['Dedric Lawson', 'endMemberOf', 'Kansas Jayhawks men\' s basketball', '2022-02-01']]
[['Scott Leitch', 'startMemberOf', 'Mansfield Town F. C.', '2022-02-01']]
[['Lewis Holtby', 'startMemberOf', 'Ottawa Fury FC', '2022-02-01']]
[['Igor Pisanjuk', 'startMemberOf', 'Ottawa Fury FC', '2022-02-01']]
