[['V.J. Holmes', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-01']]
[['Jajuan Starks', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-09']]
[['Sailakshmi Velamoor', 'startAcademicDegree', 'Master of Education', '2022-01-10']]
[['Parker Dale', 'startWorksFor', 'Aoyama Gakuin University', '2022-01-10']]
[['Djery Baptiste', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-10']]
[['Team Tilt', 'endLeader', 'Libor Chrobok', '2022-01-10']]
[['Tyler Trillo', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-10']]
[['Howard Nathaniel Lee', 'startWorksFor', 'Rethmann France', '2022-01-10']]
[['Karen Mcculloch', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-10']]
[['Ben Perry', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-10']]
[['David Roddy', 'startOwns', 'Master of Fine Arts', '2022-01-10']]
[['Michael A. Kipp', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-10']]
[['Jedediah Bila', 'startNotableWork', 'Fox & Friends', '2022-01-10']]
[['Wyatt Self', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-10']]
[['Mamadou Doucoure', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-10']]
[['Marko Lukic', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-10']]
[['Tosin Popoola', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-10']]
[['Eddy Egun', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-10']]
[['Weisner Perez', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-11']]
[['Dean Henderson', 'endWorksFor', 'Rethmann France', '2022-01-11']]
[['Andre Kennedy', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-11']]
[['Poliana De B Medeiros', 'startMemberOf', 'University of Lille Nord de France', '2022-01-11']]
[['Jacob Broussard', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-11']]
[['Aj Mcbride', 'startMemberOf', 'Rethmann France', '2022-01-11']]
[['Vitali Zaprudskikh', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-11']]
[['Marc Olivier Renou', 'endWorksFor', 'University of Geneva', '2022-01-11']]
[['Lloyd Burgess', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-11']]
[['Gunther Klimes', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-11']]
[['Kelvin Henry Jr.', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-11']]
[['Zach Durkee', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-11']]
[['Matty Smith', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-11']]
[['Joshua D Wright', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-11']]
[['Petr Herman', 'startWorksFor', 'Rethmann France', '2022-01-11']]
[['Jack Westerfield', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-11']]
[['Leonie Flueckiger', 'startWorksFor', 'Institute for Health Metrics and Evaluation', '2022-01-12']]
[['Laconnex', 'endLeader', 'Hubert Dethurens', '2022-01-12']]
[['D\'Andre Johnson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-12']]
[['Yevgeniy Abramovich', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-12']]
[['Jane Youngberg', 'startAcademicDegree', 'Master of Music', '2022-01-12']]
[['Jérémy Denizot', 'endWorksFor', 'University of Auvergne', '2022-01-12']]
[['Trev Thompson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-12']]
[['August Mahoney', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-12']]
[['Parker Dale', 'endWorksFor', 'Aoyama Gakuin University', '2022-01-12']]
[['Howard Nathaniel Lee', 'endWorksFor', 'Rethmann France', '2022-01-12']]
[['Neville Fincher', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-12']]
[['Enzo Roco', 'startMemberOf', 'Republic of Korea Navy', '2022-01-12']]
[['Shaq Calhoun', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-12']]
[['Daniel Berry', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-12']]
[['Brian O\'Neill (ice hockey, born 1988)', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-12']]
[['Robert Martin', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-12']]
[['Leilani A. Walker', 'startAcademicDegree', 'Master of Music', '2022-01-13']]
[['Star Trek: Picard', 'startContentLocation', 'Endemol Shine Group', '2022-01-13']]
[['Mo Ahmed', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-13']]
[['Zaporizhzhia', 'startMemberOf', 'University of Bologna', '2022-01-13']]
[['Béavogui u002F Goumou government', 'startLeader', 'Chairul Tanjung', '2022-01-13']]
[['Britton Anderson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-13']]
[['Orestes Solis', 'startWorksFor', 'University of Arizona', '2022-01-13']]
[['Renee Miller', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-13']]
[['Phyllis Omido', 'startWorksFor', 'Mitsui Memorial Hospital', '2022-01-13']]
[['Babatunde Akingbola', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-13']]
[['Bobby Mannie', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-13']]
[['Aleksandr Mrinsky', 'endWorksFor', 'University of Bologna', '2022-01-13']]
[['Petr Herman', 'endWorksFor', 'Rethmann France', '2022-01-13']]
[['Ante Sustic', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-13']]
[['Caitlin R M Oyagawa', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-13']]
[['Trevaughn Wilkerson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-13']]
[['Servir y proteger', 'startContentLocation', 'Brigham and Women\'s Hospital', '2022-01-14']]
[['Jennifer L. Pannell', 'startWorksFor', 'Republic of Korea Navy', '2022-01-14']]
[['Phyllis Omido', 'endWorksFor', 'Mitsui Memorial Hospital', '2022-01-14']]
[['Sam Culverwell', 'award', 'Master of Fine Arts', '2022-01-14']]
[['Gerel Simmons', 'startWorksFor', 'Johns Hopkins School of Medicine', '2022-01-14']]
[['Muhammad Shoaib', 'startMemberOf', 'Institut De Pharmacologie Moléculaire Et Cellulaire', '2022-01-14']]
[['Pfnonwovens Holding', 'startLeader', 'Yair Lapid', '2022-01-14']]
[['Sumeet Angral', 'startMemberOf', 'University of Bradford', '2022-01-14']]
[['Aitor Zubizarreta', 'startPlaysIn', '2019 Japanese House of Councillors election', '2022-01-14']]
[['Chase Claxton', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-14']]
[['Vitali Zaprudskikh', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-14']]
[['Elsa G Guillot', 'award', 'Master of Fine Arts', '2022-01-14']]
[['Phyllis Omido', 'endWorksFor', 'Mitsui Memorial Hospital', '2022-01-14']]
[['29th Canadian Ministry', 'startLeader', 'Matthias Bruhn', '2022-01-14']]
[['Leonie Flueckiger', 'endWorksFor', 'Institute for Health Metrics and Evaluation', '2022-01-14']]
[['Wes Greder', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-15']]
[['Hayley Prescott', 'endAcademicDegree', 'Master of Science', '2022-01-15']]
[['Elijah Blake', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-15']]
[['Zach Mccormick', 'award', 'Master of Fine Arts', '2022-01-15']]
[['Deandre Ayton', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-15']]
[['Tarkan Taboglu', 'startMemberOf', 'Korea National University of Transportation', '2022-01-15']]
[['Cayne Edwards', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-15']]
[['Carson Smith', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-15']]
[['Mitsubishi UFJ Financial Group', 'startLeader', 'Avdullah Hoti', '2022-01-15']]
[['Sarah Rogers', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-15']]
[['Écologie, Systématique Et Évolution', 'startLeader', 'Dominic Perrottet', '2022-01-15']]
[['Paritetbank', 'startLeader', 'Dominic Perrottet', '2022-01-15']]
[['29th Canadian Ministry', 'endLeader', 'Matthias Bruhn', '2022-01-15']]
[['Prashant Saxena', 'endWorksFor', 'IIT Hyderabad', '2022-01-15']]
[['Jamal Gaines', 'award', 'Master of Fine Arts', '2022-01-15']]
[['Ding Zhong', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-15']]
[['Rolf Martinsson', 'award', 'Master of Fine Arts', '2022-01-16']]
[['Charles Harris', 'startMemberOf', 'Masaryk University Faculty Of Medicine', '2022-01-16']]
[['Riza Batista-Navarro', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-16']]
[['Csaba Janáky', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-16']]
[['Devendra Jhajharia', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-16']]
[['Christoph Bookmeyer', 'endWorksFor', 'University of Münster', '2022-01-16']]
[['Jeshua Franklin', 'startAcademicDegree', 'Doctor of Musical Arts', '2022-01-16']]
[['Sam Baker', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-16']]
[['Emmanuel Bandoumel', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-16']]
[['Ross Mounce', 'endWorksFor', 'University of Cambridge', '2022-01-16']]
[['Abhishek Kumar', 'endWorksFor', 'University of São Paulo', '2022-01-16']]
[['Peter Lenart', 'startMemberOf', 'KIZ', '2022-01-16']]
[['Orestes Solis', 'endWorksFor', 'University of Arizona', '2022-01-16']]
[['Zane N Norvill', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-16']]
[['Imajae Dodd', 'endWorksFor', 'University of Bologna', '2022-01-16']]
[['Paritetbank', 'endLeader', 'Dominic Perrottet', '2022-01-16']]
[['Anna Starzyńska', 'award', 'Master of Education', '2022-01-17']]
[['Bea Gallardo-Lacourt', 'endWorksFor', 'University of California, Los Angeles', '2022-01-17']]
[['Nolan Taylor', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-17']]
[['Emmanuel Taban', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-17']]
[['Vincenzo Pepe', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-17']]
[['Veliky Novgorod', 'startLeader', 'Said Gutseriev', '2022-01-17']]
[['Richard J. Malak', 'startMemberOf', 'Republic of Korea Navy', '2022-01-17']]
[['Mitch Schafer', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-17']]
[['Tre Clark', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-17']]
[['Charlie Hall', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-17']]
[['Redvan Memeshev', 'startWorksFor', 'I.M.O.R.E.P', '2022-01-17']]
[['Matteo D. Gallidabino', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-17']]
[['Jenna Gilkes', 'startAcademicDegree', 'Master of Education', '2022-01-17']]
[['Eli Parquet', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-17']]
[['Megan Tyler-Plog', 'startAcademicDegree', 'Master of Music', '2022-01-17']]
[['Nic Zeil', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-17']]
[['Elena Madeo', 'startAcademicDegree', 'Doctor of Philosophy', '2022-01-18']]
[['Poonam Mehta', 'award', 'Master of Music', '2022-01-18']]
[['Jordan Roland', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-18']]
[['Hellboy (2019 film)', 'startProductionCompany', 'University of Manchester', '2022-01-18']]
[['Route nationale 19', 'startTerminus', 'Tsukuba Medical Center Hospital', '2022-01-18']]
[['Anthony J Fitzpatrick', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-18']]
[['Ellis Magnuson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-18']]
[['Danilo Correddu', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-18']]
[['Jamal Gaines', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-18']]
[['Makale Foreman', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-18']]
[['Kyle Alexander', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-18']]
[['Braian Angola', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-18']]
[['Veliky Novgorod', 'endLeader', 'Said Gutseriev', '2022-01-18']]
[['Shona M Strachan', 'endWorksFor', 'Pirbright Institute', '2022-01-18']]
[['Davon Reed', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-18']]
[['Luca Lanzillo', 'endWorksFor', 'Sapienza University of Rome', '2022-01-18']]
[['Nathan Nelson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-19']]
[['Abby Stylianou', 'startWorksFor', 'Cheikh Anta Diop University', '2022-01-19']]
[['Jacopo Vialetto', 'startMemberOf', 'University of Southampton', '2022-01-19']]
[['Jonothan Janssen', 'startWorksFor', 'Federal Ministry of Education and Research (Germany)', '2022-01-19']]
[['Ilija Stefanovic', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-19']]
[['Outer Wilds', 'startContentLocation', 'Saint John\'s Health Center', '2022-01-19']]
[['Abas Şahbazov', 'startAcademicDegree', 'Habilitation', '2022-01-19']]
[['Kosovo', 'startLeader', 'Marc Asbeck', '2022-01-19']]
[['Elsa G Guillot', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-19']]
[['Roberto Pagaria', 'endWorksFor', 'University of Bologna', '2022-01-19']]
[['Bobby Wilson (mathematician)', 'startAcademicDegree', 'Habilitation', '2022-01-19']]
[['Krutika Bavishi', 'award', 'Master of Music', '2022-01-19']]
[['Chloé Pelle', 'startAcademicDegree', 'Master of Music', '2022-01-19']]
[['Kelly-Anne Masterman', 'endWorksFor', 'Mater Research', '2022-01-19']]
[['David Burrell', 'endWorksFor', 'Endemol Shine Group', '2022-01-19']]
[['Byaroza District', 'endLeader', 'Lena Luthor', '2022-01-19']]
[['Adrian Petre', 'startAcademicDegree', 'Master of Fine Arts', '2022-01-20']]
[['Devante Wallace', 'startMemberOf', 'Cheikh Anta Diop University', '2022-01-20']]
[['Simon Wright', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-20']]
[['Brendan Daniel Sheridan', 'startAcademicDegree', 'Master of Education', '2022-01-20']]
