[['Timur Melekestsev', 'endMemberOf', 'FC Dynamo Makhachkala', '2022-01-01']]
[['Hospital for Sick Children ( Toronto)', 'startMemberOf', 'Digital Research Alliance Of Canada', '2022-01-01']]
[['Kieran Trippier', 'endMemberOf', 'Atlético Madrid', '2022-01-01']]
[['McMaster University', 'startMemberOf', 'Digital Research Alliance Of Canada', '2022-01-01']]
[['Sebastian Schönberger', 'endMemberOf', 'B& B Hotels– KTM', '2022-01-01']]
[['Walter Cabral', 'endMemberOf', 'Fundación Lucentum Baloncesto', '2022-01-01']]
[['Vladislav Klimovich', 'startMemberOf', 'Gyirmót FC Győr', '2022-01-01']]
[['Unai Gómez', 'endMemberOf', 'CD Basconia', '2022-01-01']]
[['Peter Jameson', 'startMemberOf', 'Harrogate Town A. F. C.', '2022-01-01']]
[['Kang Sang-woo', 'endMemberOf', 'Pohang Steelers', '2022-01-01']]
[['Imanol García de Albéniz', 'endMemberOf', 'CD Mirandés', '2022-01-01']]
[['Jeff Xavier', 'endMemberOf', 'Oviedo CB', '2022-01-01']]
[['Javi Areso', 'endMemberOf', 'CA Pulpileño', '2022-01-01']]
[['Federico Gatti', 'endMemberOf', 'Frosinone Calcio', '2022-01-01']]
[['Atsushi Oka', 'endMemberOf', 'EF Education– Nippo Development Team', '2022-01-01']]
[['Alexandria University', 'startMemberOf', 'Association of African Universities', '2022-01-01']]
[['Reza Asadi', 'endMemberOf', 'Persepolis F. C.', '2022-01-01']]
[['Aitor Aranzabe', 'endMemberOf', 'CD Tudelano', '2022-01-01']]
[['Benjamin Corgnet', 'endMemberOf', 'Football Bourg-en-Bresse Péronnas 01', '2022-01-01']]
[['Toulouse III - Paul Sabatier University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Devon van Oostrum', 'startMemberOf', 'London Lions ( basketball)', '2022-01-01']]
[['Alejandro Galán Pozo', 'endMemberOf', 'Bilbao Basket', '2022-01-01']]
[['American University of Beirut', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Álex Urtasun', 'startMemberOf', 'CB Estudiantes', '2022-01-01']]
[['Marc Grau Tallada', 'endMemberOf', 'HC Liceo', '2022-01-01']]
[['Université du Québec en Abitibi-Témiscamingue', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['University of the Witwatersrand', 'startMemberOf', 'Association of African Universities', '2022-01-01']]
[['Imanol García de Albéniz', 'endMemberOf', 'Athletic Bilbao B', '2022-01-01']]
[['Joël Tchami', 'endMemberOf', 'SPA F. C.', '2022-01-01']]
[['Université Laval', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Kevin Pangos', 'startMemberOf', 'Cleveland Charge', '2022-01-01']]
[['Paula Nicart', 'endMemberOf', 'Sevilla FC', '2022-01-01']]
[['Kevin Bercy', 'endMemberOf', 'CB Almansa', '2022-01-01']]
[['Romain Hardy', 'endMemberOf', 'Arkéa– Samsic', '2022-01-01']]
[['Jaime Castrillo', 'endMemberOf', 'Equipo Kern Pharma', '2022-01-01']]
[['Kenny Hasbrouck', 'endMemberOf', 'Pallacanestro Biella', '2022-01-01']]
[['Unai Veiga', 'startMemberOf', 'Algeciras CF', '2022-01-01']]
[['Justinas Olechnavicius', 'endMemberOf', 'CB Almansa', '2022-01-01']]
[['Adriano Moke', 'startMemberOf', 'Darlington F. C.', '2022-01-01']]
[['Beñat Leiza', 'endMemberOf', 'SD Amorebieta', '2022-01-01']]
[['Sergio Mendiola', 'endMemberOf', 'Club Melilla Baloncesto', '2022-01-01']]
[['Davide Villella', 'startMemberOf', 'Cofidis ( cycling team)', '2022-01-01']]
[['Martín Bengoa', 'endMemberOf', 'Anagennisi Karditsa F. C.', '2022-01-01']]
[['Eva Hodanová', 'endMemberOf', 'Ladies In Black Aachen', '2022-01-01']]
[['Austrian Academy of Sciences', 'startMemberOf', 'International Science Council', '2022-01-01']]
[['University of Ottawa', 'startMemberOf', 'Digital Research Alliance Of Canada', '2022-01-01']]
[['Dwight Ramos', 'endMemberOf', 'Toyama Grouses', '2022-01-01']]
[['Luis Díaz ( Colombian footballer)', 'endMemberOf', 'FC Porto', '2022-01-01']]
[['Nir Bitton', 'endMemberOf', 'Celtic F. C.', '2022-01-01']]
[['Peter Jameson', 'endMemberOf', 'York City F. C.', '2022-01-01']]
[['Brandon Davies', 'endMemberOf', 'FC Barcelona Bàsquet', '2022-01-01']]
[['Yuriy Goltsev', 'endMemberOf', 'Okęcie Warsaw', '2022-01-01']]
[['Oleksandr Vasylyev', 'startMemberOf', 'FC Lviv', '2022-01-01']]
[['Alex De Souza', 'endMemberOf', 'Acadêmicos do Salgueiro', '2022-01-01']]
[['Cole Turner ( soccer)', 'endMemberOf', 'Philadelphia Union', '2022-01-01']]
[['Florin Gardoș', 'endMemberOf', 'Romania national football team', '2022-01-01']]
[['Pablo Ibáñez ( footballer, born 1998)', 'endMemberOf', 'CA Osasuna B', '2022-01-01']]
[['Pompeu Fabra University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Nick Pope ( footballer)', 'startMemberOf', 'Newcastle United F. C.', '2022-01-01']]
[['Gorka Iturraspe', 'endMemberOf', 'CF Rayo Majadahonda', '2022-01-01']]
[['Mawi Sánchez', 'startMemberOf', 'Unionistas de Salamanca CF', '2022-01-01']]
[['Xabier Naveira', 'startMemberOf', 'CD Laredo', '2022-01-01']]
[['Bulgarian Academy of Sciences', 'startMemberOf', 'InterAcademy Partnership', '2022-01-01']]
[['Nicolas Dalla Valle', 'startMemberOf', 'Giotti Victoria– Savini Due', '2022-01-01']]
[['Edoardo Zardini ( cyclist)', 'startMemberOf', 'GW Shimano– Sidermec', '2022-01-01']]
[['Carl Fredrik Hagen', 'endMemberOf', 'Israel– Premier Tech', '2022-01-01']]
[['Hanna Orthmann', 'endMemberOf', 'Pallavolo Scandicci', '2022-01-01']]
[['Yonkaira Peña', 'endMemberOf', 'Rio de Janeiro Vôlei Clube', '2022-01-01']]
[['Jon Madrazo', 'endMemberOf', 'CD Calahorra', '2022-01-01']]
[['Konstantin Kotov ( footballer)', 'endMemberOf', 'FC Ryazan', '2022-01-01']]
[['Fran Pilepić', 'endMemberOf', 'Fundación Lucentum Baloncesto', '2022-01-01']]
[['University of the Free State', 'startMemberOf', 'Association of African Universities', '2022-01-01']]
[['Abdelali Mhamdi', 'endMemberOf', 'Abha Club', '2022-01-01']]
[['Kenneth Vanbilsen', 'endMemberOf', 'Cofidis ( cycling team)', '2022-01-01']]
[['Iker Bilbao', 'endMemberOf', 'SD Amorebieta', '2022-01-01']]
[['Joey Baker', 'startMemberOf', 'Michigan Wolverines men\' s basketball', '2022-01-01']]
[['Dorlan Pabón', 'endMemberOf', 'São Paulo FC', '2022-01-01']]
[['Andrea Piccolo', 'startMemberOf', 'Gazprom– RusVelo', '2022-01-01']]
[['Aritz Castro', 'endMemberOf', 'Deportivo Alavés B', '2022-01-01']]
[['David Dekker', 'endMemberOf', 'Team Jumbo– Visma ( men\' s team)', '2022-01-01']]
[['Memorial University of Newfoundland', 'startMemberOf', 'Digital Research Alliance Of Canada', '2022-01-01']]
[['Jean-Paul Boëtius', 'endMemberOf', '1. FSV Mainz 05', '2022-01-01']]
[['Ibon Ispizua', 'endMemberOf', 'Gernika Club', '2022-01-01']]
[['Franck L\' Hostis', 'endMemberOf', 'US Orléans', '2022-01-01']]
[['Július Szöke', 'startMemberOf', 'Hapoel Ironi Kiryat Shmona F. C.', '2022-01-01']]
[['Kurt Willoughby', 'endMemberOf', 'York City F. C.', '2022-01-01']]
[['Paris 1 Panthéon-Sorbonne University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Pasteur Institute', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Yamoussa Camara ( footballer)', 'startMemberOf', 'FC BATE Borisov', '2022-01-01']]
[['Roman Vegerya', 'endMemberOf', 'Belarus national under-21 football team', '2022-01-01']]
[['Christian Atsu', 'endMemberOf', 'Al Raed FC', '2022-01-01']]
[['Fernando Gaviria', 'endMemberOf', 'UAE Team Emirates', '2022-01-01']]
[['Bailey Peacock-Farrell', 'endMemberOf', 'Sheffield Wednesday F. C.', '2022-01-01']]
[['Devon van Oostrum', 'startMemberOf', 'Club Melilla Baloncesto', '2022-01-01']]
[['Pavel Pashevich', 'startMemberOf', 'Belarus national under-21 football team', '2022-01-01']]
[['Rolands Šmits', 'endMemberOf', 'FC Barcelona Bàsquet', '2022-01-01']]
[['Lago Junior', 'startMemberOf', 'SD Huesca', '2022-01-03']]
[['Albert Bunjaku', 'endMemberOf', 'FC Viktoria Köln', '2022-01-03']]
[['Charly Jan', 'startMemberOf', 'Football Bourg-en-Bresse Péronnas 01', '2022-01-05']]
[['Marcel Hernández', 'endMemberOf', 'Liga Deportiva Alajuelense', '2022-01-06']]
[['Ainsley Maitland-Niles', 'startMemberOf', 'A. S. Roma', '2022-01-07']]
[['Gilles Dewaele', 'endMemberOf', 'K. V. Kortrijk', '2022-01-11']]
[['Diant Ramaj', 'startMemberOf', 'Eintracht Frankfurt', '2022-01-16']]
[['Diant Ramaj', 'startMemberOf', 'Germany national under-20 football team generic instance', '2022-01-16']]
[['Dejan Iliev', 'endMemberOf', 'Arsenal F. C.', '2022-01-17']]
[['Sead Kolašinac', 'endMemberOf', 'Arsenal F. C.', '2022-01-18']]
[['Sead Kolašinac', 'startMemberOf', 'Olympique de Marseille', '2022-01-19']]
[['Pablo Marí', 'startMemberOf', 'Udinese Calcio', '2022-01-20']]
[['Milan Rodić', 'startMemberOf', 'Serbia national football team generic instance', '2022-01-23']]
[['Filip Bradarić', 'startMemberOf', 'Al Ahli Saudi FC', '2022-01-24']]
[['Filip Bradarić', 'startMemberOf', 'Croatia national football team', '2022-01-24']]
[['Luis Garrido', 'startMemberOf', 'Honduras national football team generic instance', '2022-01-26']]
[['Edder Delgado', 'startMemberOf', 'C. D. Real Sociedad', '2022-01-26']]
[['Edder Delgado', 'startMemberOf', 'Honduras national football team generic instance', '2022-01-26']]
[['Luis Garrido', 'startMemberOf', 'C. D. Marathón', '2022-01-26']]
[['Giovanni González', 'endMemberOf', 'Peñarol', '2022-01-29']]
[['Moon Seon-min', 'startMemberOf', 'South Korea national football team generic instance', '2022-01-30']]
[['Denis Odoi', 'endMemberOf', 'Fulham F. C.', '2022-01-30']]
[['Moon Seon-min', 'startMemberOf', 'Jeonbuk Hyundai Motors', '2022-01-30']]
[['Kim Min-woo ( footballer)', 'startMemberOf', 'South Korea national football team generic instance', '2022-01-31']]
[['Hong Chul', 'startMemberOf', 'South Korea national football team generic instance', '2022-01-31']]
[['Jung Woo-young', 'startMemberOf', 'Al Sadd SC', '2022-01-31']]
[['Youcef Belaïli', 'startMemberOf', 'Stade Brestois 29', '2022-01-31']]
[['Laurent Koscielny', 'endMemberOf', 'FC Girondins de Bordeaux', '2022-01-31']]
[['Hong Chul', 'startMemberOf', 'Daegu FC', '2022-01-31']]
[['Jung Woo-young', 'startMemberOf', 'South Korea national football team generic instance', '2022-01-31']]
[['Kim Min-woo ( footballer)', 'startMemberOf', 'Suwon Samsung Bluewings', '2022-01-31']]
[['Vedat Muriqi', 'startMemberOf', 'RCD Mallorca', '2022-01-31']]
[['Valentin Baume', 'startMemberOf', 'US Boulogne', '2022-01-31']]
[['Albert Bunjaku', 'startMemberOf', 'Bonner SC', '2022-01-31']]
[['Maksim Plotnikov', 'startMemberOf', 'FC Shakhtyor Soligorsk', '2022-02-01']]
[['Nikola Kalinić', 'endMemberOf', 'Hellas Verona F. C.', '2022-02-01']]
[['Pavel Scherbachenya', 'startMemberOf', 'FC Shakhtyor Petrikov', '2022-02-01']]
[['Loïc Rémy', 'endMemberOf', 'Çaykur Rizespor', '2022-02-01']]
[['Sergey Kontsevoy', 'startMemberOf', 'FC Naftan Novopolotsk', '2022-02-01']]
[['Vladislav Krivitsky', 'startMemberOf', 'FC Dynamo Brest', '2022-02-01']]
[['Bas Tietema', 'startMemberOf', 'Bingoal WB', '2022-02-01']]
[['Dmitry Ignatenko ( footballer, born 1988)', 'startMemberOf', 'FC Naftan Novopolotsk', '2022-02-01']]
[['Dzyanis Kavalewski', 'startMemberOf', 'FC Znamya Truda Orekhovo-Zuyevo', '2022-02-01']]
[['Jack Wilshere', 'startMemberOf', 'Aarhus Gymnastikforening', '2022-02-01']]
[['Douglas Costa', 'startMemberOf', 'LA Galaxy', '2022-02-01']]
[['Giorgi Gogolashvili', 'startMemberOf', 'FC Gomel', '2022-02-01']]
[['Luiz Adriano', 'startMemberOf', 'Antalyaspor', '2022-02-01']]
[['Chidi Osuchukwu', 'startMemberOf', 'FC Turan', '2022-02-01']]
[['Igor Khaymanov', 'startMemberOf', 'FC Arsenal Dzerzhinsk', '2022-02-01']]
[['Dmitry Prishchepa', 'startMemberOf', 'FC Veles Moscow', '2022-02-01']]
[['Yury Astravukh', 'startMemberOf', 'FC Slutsk', '2022-02-01']]
[['Manuel Fernandes ( footballer, born 1986)', 'startMemberOf', 'Apollon Smyrnis F. C.', '2022-02-01']]
[['Sergei Bugriyev', 'startMemberOf', 'FC Vitebsk', '2022-02-01']]
[['Vadim Kurlovich', 'startMemberOf', 'FC Shakhtyor Petrikov', '2022-02-01']]
[['Đorđe Šušnjar', 'startMemberOf', 'FK Sloboda Užice', '2022-02-01']]
[['Cédric Gogoua', 'startMemberOf', 'FC Turan', '2022-02-01']]
[['Xherdan Shaqiri', 'endMemberOf', 'Olympique Lyonnais', '2022-02-01']]
[['Nikita Nikolayevich', 'startMemberOf', 'PFC Slavia Sofia', '2022-02-01']]
[['Yegor Troyakov', 'startMemberOf', 'FC Belshina Bobruisk', '2022-02-01']]
[['Nikita Melnikov ( footballer)', 'startMemberOf', 'FC Arsenal Dzerzhinsk', '2022-02-01']]
[['Dmitry Tamelo', 'startMemberOf', 'FC Smorgon', '2022-02-01']]
[['Tomislav Kiš', 'startMemberOf', 'Mezőkövesdi SE', '2022-02-01']]
[['Duje Čop', 'startMemberOf', 'NK Celje', '2022-02-01']]
[['Nikita Khalimonchik', 'startMemberOf', 'FC Minsk', '2022-02-01']]
[['Florin Achim', 'startMemberOf', 'FCSB', '2022-02-01']]
[['Ihar Yasinski', 'startMemberOf', 'FC Rogachev', '2022-02-01']]
[['Dzmitry Zinovich', 'startMemberOf', 'FC Belshina Bobruisk', '2022-02-01']]
[['Miljan Jablan', 'startMemberOf', 'FK ČSK Čelarevo', '2022-02-01']]
[['Stanislav Izhakovsky', 'startMemberOf', 'FC Rogachev', '2022-02-01']]
[['George Apostol', 'endMemberOf', 'AFC Dacia Unirea Brăila', '2022-02-01']]
[['Yuki Kobayashi ( footballer, born 1992)', 'startMemberOf', 'Gangwon FC', '2022-02-01']]
[['Zaim Divanović', 'startMemberOf', 'FC Shakhtyor Soligorsk', '2022-02-01']]
[['Plamen Iliev ( footballer, born 1991)', 'startMemberOf', 'FC Hermannstadt', '2022-02-01']]
[['Plamen Iliev ( footballer, born 1991)', 'endMemberOf', 'FC Dinamo București', '2022-02-01']]
[['Shinzo Koroki', 'startMemberOf', 'Hokkaido Consadole Sapporo', '2022-02-01']]
[['Daniel Benzar', 'endMemberOf', 'SSU Politehnica Timișoara', '2022-02-01']]
[['Aleksandr Shestyuk', 'startMemberOf', 'FK RFS', '2022-02-01']]
[['Samuel Zimța', 'startMemberOf', 'FC Zimbru Chișinău', '2022-02-01']]
[['Yun Young-sun', 'startMemberOf', 'Suwon FC', '2022-02-01']]
[['Park Jong-woo', 'startMemberOf', 'Busan IPark', '2022-02-01']]
[['Pavel Klenyo', 'startMemberOf', 'FC Minsk', '2022-02-01']]
[['Sergey Tikhonovsky', 'startMemberOf', 'FC Kyzylzhar', '2022-02-01']]
[['Denis Polyakov', 'startMemberOf', 'FC Astana', '2022-02-01']]
[['Yegor Kudinov', 'startMemberOf', 'FC Shakhtyor Petrikov', '2022-02-01']]
[['Ivan Juryn', 'startMemberOf', 'FC Shakhtyor Petrikov', '2022-02-01']]
[['Park Jong-woo', 'startMemberOf', 'South Korea national football team generic instance', '2022-02-01']]
[['Andrei Cristea', 'endMemberOf', 'CS Mioveni', '2022-02-01']]
[['Patricio Matricardi', 'endMemberOf', 'CS Gaz Metan Mediaș', '2022-02-01']]
[['Florentin Matei', 'endMemberOf', 'Apollon Smyrnis F. C.', '2022-02-01']]
[['Evgheni Oancea', 'endMemberOf', 'FC Sfîntul Gheorghe', '2022-02-01']]
[['Daniel Ciobanu', 'endMemberOf', 'AFC Dacia Unirea Brăila', '2022-02-01']]
[['Dzmitry Rekish', 'startMemberOf', 'FC Samtredia', '2022-02-01']]
[['Nikola Ćirković', 'endMemberOf', 'Bnei Sakhnin F. C.', '2022-02-01']]
[['Marko Pavlovski', 'startMemberOf', 'FK Sūduva', '2022-02-01']]
[['Dénis Duarte', 'startMemberOf', 'FC Tom Tomsk', '2022-02-01']]
[['Saidkhodzha Mukhammadsharifi', 'startMemberOf', 'FC Shakhtyor Petrikov', '2022-02-01']]
[['Kirill Leonovich', 'startMemberOf', 'FC Neman Grodno', '2022-02-01']]
[['Maksim Samatoj', 'startMemberOf', 'FC Energetik-BGU Minsk', '2022-02-01']]
[['Maksim Vysotskiy', 'startMemberOf', 'FC Belshina Bobruisk', '2022-02-01']]
[['Yann Emmanuel Affi', 'startMemberOf', 'FC Gomel', '2022-02-01']]
[['Iĺja Sień', 'startMemberOf', 'FC Volna Pinsk', '2022-02-01']]
[['Gabriel Răducan', 'endMemberOf', 'AFC Dacia Unirea Brăila', '2022-02-01']]
[['Vladislav Myzgin', 'startMemberOf', 'FC Naftan Novopolotsk', '2022-02-01']]
[['Yury Kazlow', 'startMemberOf', 'FC Naftan Novopolotsk', '2022-02-01']]
[['Stanislaŭ Kliaščuk', 'startMemberOf', 'FC Energetik-BGU Minsk', '2022-02-01']]
[['Robert Primus', 'startMemberOf', 'Aizawl FC', '2022-02-01']]
[['Evgheni Oancea', 'startMemberOf', 'FC Noah', '2022-02-01']]
[['Ihar Stasevich', 'startMemberOf', 'FC Chayka Peschanokopskoye', '2022-02-01']]
[['German Barkovskiy', 'startMemberOf', 'FC Isloch Minsk Raion', '2022-02-01']]
[['Artsyom Vasilyew', 'startMemberOf', 'FC Rogachev', '2022-02-01']]
[['Yun Young-sun', 'startMemberOf', 'South Korea national football team generic instance', '2022-02-01']]
[['Andrej Lieŭkaviec', 'startMemberOf', 'FK Khujand', '2022-02-01']]
[['Nikita Supranovich', 'startMemberOf', 'FC Zenit-2 Saint Petersburg', '2022-02-01']]
[['Ergys Kaçe', 'startMemberOf', 'Veria F. C.', '2022-02-01']]
[['Ignatiy Sidor', 'startMemberOf', 'FK Khujand', '2022-02-01']]
[['Sergey Sazonchik', 'startMemberOf', 'FC BATE Borisov', '2022-02-01']]
[['Gabriel ( footballer, born 1988)', 'endMemberOf', 'CS Gaz Metan Mediaș', '2022-02-01']]
[['Nikita Supranovich', 'startMemberOf', 'FC Zenit Saint Petersburg', '2022-02-01']]
[['Anton Bahdanaw', 'startMemberOf', 'FC Rogachev', '2022-02-01']]
[['Aleksandr Bulychyov', 'startMemberOf', 'FC Dynamo Brest', '2022-02-01']]
[['Kenyu Sugimoto', 'startMemberOf', 'Júbilo Iwata', '2022-02-01']]
[['Ilya Boltrushevich', 'startMemberOf', 'FC Isloch Minsk Raion', '2022-02-01']]
[['Ivar Slik', 'endMemberOf', 'ABLOC CT', '2022-02-01']]
[['Gleb Zherdev', 'startMemberOf', 'FC Slavia Mozyr', '2022-02-01']]
[['Adelin Voinescu', 'endMemberOf', 'AFC Dacia Unirea Brăila', '2022-02-01']]
[['Aleksei Kozlov ( footballer, born 1999)', 'startMemberOf', 'FC Minsk', '2022-02-01']]
[['Ilya Shkurin', 'startMemberOf', 'Raków Częstochowa', '2022-02-01']]
[['Ayrton Mboko', 'startMemberOf', 'LPS HD Clinceni', '2022-02-01']]
[['Yun Suk-young', 'startMemberOf', 'Gangwon FC', '2022-02-02']]
[['Yun Suk-young', 'startMemberOf', 'South Korea national football team generic instance', '2022-02-02']]
[['Kim Chang-soo', 'startMemberOf', 'South Korea national football team generic instance', '2022-02-03']]
[['Kim Chang-soo', 'startMemberOf', 'Incheon United FC', '2022-02-03']]
[['Baek Sung-dong', 'startMemberOf', 'South Korea national football team generic instance', '2022-02-04']]
[['Baek Sung-dong', 'startMemberOf', 'FC Anyang', '2022-02-04']]
[['Kim Hyun-sung', 'startMemberOf', 'Pohang Steelers', '2022-02-05']]
[['Han Kook-young', 'startMemberOf', 'Gangwon FC', '2022-02-06']]
[['Han Kook-young', 'startMemberOf', 'South Korea national football team generic instance', '2022-02-06']]
[['Christina Schweinberger', 'endMemberOf', 'Multum Accountants Ladies Cycling Team', '2022-02-08']]
[['Domenico Pozzovivo', 'startMemberOf', 'Intermarché– Circus– Wanty', '2022-02-14']]
[['Nuria Martínez', 'endMemberOf', 'Club Bàsquet Femení Sant Adrià', '2022-02-14']]
[['Richard J U002E White', 'endWorksFor', 'University of Cambridge', '2022-02-28']]
[['José Manuel Díaz ( cyclist)', 'endMemberOf', 'Gazprom– RusVelo', '2022-02-28']]
[['Adrián López', 'startMemberOf', 'Málaga CF', '2022-03-01']]
[['Kiryl Sidarenka', 'endMemberOf', 'FC Kyzylzhar', '2022-03-01']]
[['Ivan Rovny', 'endMemberOf', 'Gazprom– RusVelo', '2022-03-01']]
[['Ilya Baglay', 'startMemberOf', 'FC Baranovichi', '2022-03-01']]
[['Kim Moon-hwan', 'endMemberOf', 'Los Angeles FC', '2022-03-01']]
[['Yegor Bogomolsky', 'startMemberOf', 'FC Minsk', '2022-03-01']]
[['Andrea Piccolo', 'endMemberOf', 'Gazprom– RusVelo', '2022-03-01']]
[['Roman Davyskiba', 'startMemberOf', 'FC Shakhtyor Soligorsk', '2022-03-01']]
[['Aleksey Orlovich', 'startMemberOf', 'FC Ostrovets', '2022-03-01']]
[['Kaspars Dubra', 'endMemberOf', 'FC Oleksandriya', '2022-03-01']]
[['Serhiy Shapoval', 'startMemberOf', 'Narew Ostrołęka', '2022-03-01']]
[['Mikalay Ivanow', 'startMemberOf', 'FC Minsk', '2022-03-01']]
[['Dmytro Bilonoh', 'startMemberOf', 'FK Riteriai', '2022-03-01']]
[['Danil Kopach', 'startMemberOf', 'FC Lida', '2022-03-01']]
[['Mikalay Zyanko', 'startMemberOf', 'FC Lida', '2022-03-01']]
[['Alyaksandr Krotaw', 'startMemberOf', 'FC Lida', '2022-03-01']]
[['Anton Demkov', 'startMemberOf', 'Fc Niva Doŭbizna', '2022-03-01']]
[['Filip Valenčič', 'startMemberOf', 'FC Dinamo Minsk', '2022-03-01']]
[['Anton Saroka', 'startMemberOf', 'FC Arsenal Dzerzhinsk', '2022-03-01']]
[['Mikita Kieralidzi', 'startMemberOf', 'Fc Malaryta', '2022-03-01']]
[['Zvonimir Mikulić', 'endMemberOf', 'Tuzlaspor', '2022-03-01']]
[['Bin Ren', 'endWorksFor', 'California Institute of Technology', '2022-03-01']]
[['Dmitry Sibilev', 'startMemberOf', 'FC Naftan Novopolotsk', '2022-03-01']]
[['Giovanni Carboni', 'endMemberOf', 'Gazprom– RusVelo', '2022-03-01']]
[['Sigitas Olberkis', 'startMemberOf', 'Dalkurd FF', '2022-03-01']]
[['Heidy Casanova', 'endMemberOf', 'Sk Prometej', '2022-03-01']]
[['Aleksey Shalashnikov', 'startMemberOf', 'FC Neman Grodno', '2022-03-01']]
[['Oleksandr Nasonov', 'endMemberOf', 'FC LNZ Cherkasy', '2022-03-01']]
[['Vladimir Pyatigorets', 'startMemberOf', 'FC Dnepr Mogilev', '2022-03-01']]
[['Nicola Conci', 'endMemberOf', 'Gazprom– RusVelo', '2022-03-01']]
[['Matteo Malucelli', 'endMemberOf', 'Gazprom– RusVelo', '2022-03-01']]
[['Kento Hashimoto', 'startMemberOf', 'Vissel Kobe', '2022-03-01']]
[['Alessandro Fedeli', 'endMemberOf', 'Gazprom– RusVelo', '2022-03-01']]
[['Yaroslav Rakitskyi', 'endMemberOf', 'FC Zenit Saint Petersburg', '2022-03-01']]
[['Uladzislaŭ Curko', 'startMemberOf', 'Fc Žodzina-Paŭdniovaje', '2022-03-01']]
[['Pavel Lyakhnovich', 'startMemberOf', 'FC Osipovichi', '2022-03-01']]
[['Uladzislaw Kasmynin', 'startMemberOf', 'FC Istiklol', '2022-03-01']]
[['Dmitry Vashkel', 'startMemberOf', 'FC Ostrovets', '2022-03-01']]
[['Gleb Rovdo', 'startMemberOf', 'FC Isloch Minsk Raion', '2022-03-01']]
[['Christian Scaroni', 'endMemberOf', 'Gazprom– RusVelo', '2022-03-01']]
[['Anton Susha', 'startMemberOf', 'FC Arsenal Dzerzhinsk', '2022-03-01']]
