[['V U002E J U002E Holmes', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['Pilar Vesga', 'startMemberOf', 'University of South Florida', '2026-01-21']]
[['Tray Boyd Iii', 'award', 'Habilitation generic instance', '2026-01-23']]
[['Randall Brenes', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-24']]
[['Ty Gibson', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-26']]
[['Egide Kalisa', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-01-26']]
[['Desmond Williams', 'startMemberOf', 'Institute for Health Metrics and Evaluation', '2026-01-29']]
[['Arts et Métiers ParisTech', 'startLeader', 'Jensen Huang', '2026-01-31']]
[['Jordan Phillips', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-31']]
[['Samantha Maree Keene', 'startAcademicDegree', 'Master of Music generic instance', '2026-01-31']]
[['Kirill Shreitor', 'startWorksFor', 'Republic of Korea Navy', '2026-01-31']]
[['Biki Gupta', 'endWorksFor', 'Kyungpook National University', '2026-01-31']]
[['Hiro Taiyo Hamada', 'startMemberOf', 'Institute for Health Metrics and Evaluation', '2026-02-01']]
[['Paul Double', 'award', 'Master of Science generic instance', '2026-02-01']]
[['Jawaun Newton', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-02-01']]
[['Leena Riekkola', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-02-01']]
[['Chase Adams', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-02-01']]
[['Chris Kuhar', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-02-01']]
[['Daniel S U002E Feinberg', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-02-01']]
[['Ty Solomon', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-02-01']]
[['Anna L Gosling', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-02-01']]
[['Ewe Tel', 'startLeader', 'Radovan Vítek', '2026-02-01']]
[['Danilo Correddu', 'startAcademicDegree', 'Master of Music generic instance', '2026-02-01']]
[['Samir Stewart', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-02-01']]
[['Johannes Dimyadi', 'startAcademicDegree', 'Master of Music generic instance', '2026-02-02']]
[['Rico Quinton', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-02-05']]
[['Sam Horrell', 'endWorksFor', 'University of Hamburg', '2026-02-05']]
[['Evelyne Heyer', 'startWorksFor', 'Republic of Korea Navy', '2026-02-11']]
[['Deathloop', 'startContentLocation', 'MAPPA', '2026-02-11']]
[['The Legend of Zelda: Breath of the Wild', 'startContentLocation', 'Lürssen', '2026-02-11']]
[['Álex Suárez ( basketball)', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-02-11']]
[['Davion Mintz', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-02-11']]
[['Jure Špan', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-02-12']]
[['Renaldo Rama', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-02-14']]
[['Evelyne Heyer', 'endWorksFor', 'Republic of Korea Navy', '2026-02-15']]
[['Tosin Popoola', 'startAcademicDegree', 'Master of Music generic instance', '2026-02-15']]
[['Amir H Irani', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-02-16']]
[['Hector Diaz-Albiter', 'endWorksFor', 'Oswaldo Cruz Foundation', '2026-02-16']]
[['Jared Ertel', 'startWorksFor', 'Kyungpook National University', '2026-02-16']]
[['Scott Disick', 'endNotableWork', 'Flip It Like Disick', '2026-02-21']]
[['Anthony Yuen', 'endWorksFor', 'Republic of Korea Navy', '2026-02-21']]
[['Jalen Avery', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-02-25']]
[['Jessica Knoth', 'startAcademicDegree', 'Master of Music generic instance', '2026-02-26']]
[['Pei-Fen Siow', 'endWorksFor', 'Keelung Chang Gung Memorial Hospital', '2026-02-27']]
[['David Dekker', 'endWorksFor', 'Community Université Grenoble Alpes', '2026-02-28']]
[['Financial Intelligence Unit', 'award', 'Master\' s degree generic instance', '2026-02-28']]
[['C U002E J U002E Williamson', 'endWorksFor', 'Kyungpook National University', '2026-02-28']]
[['Ruth Yeoh', 'startMemberOf', 'University of Minho', '2026-02-28']]
[['Kyle Alexander', 'award', 'Master of Fine Arts generic instance', '2026-02-28']]
[['Andrew Saxe', 'endWorksFor', 'Harvard University', '2026-03-01']]
[['Luther Muhammad', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-03-01']]
[['Anthony Henderson', 'startAcademicDegree', 'Master of Music generic instance', '2026-03-01']]
[['Zaid Amso', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-03-01']]
[['École polytechnique universitaire de Lille', 'startLeader', 'Said Gutseriev', '2026-03-01']]
[['Emir Ahmedic', 'startWorksFor', 'Tafila Technical University', '2026-03-01']]
[['Rustam Minnikhanov', 'endWorksFor', 'Federal Ministry of Education and Research ( Germany)', '2026-03-01']]
[['Claire E Fishman', 'startWorksFor', 'Federal Ministry of Education and Research ( Germany)', '2026-03-01']]
[['Kelland O\' Brien', 'startWorksFor', 'Seattle', '2026-03-01']]
[['Daniela P Pacheco', 'award', 'Master of Fine Arts generic instance', '2026-03-01']]
[['Noah Blackwell', 'endWorksFor', 'ETH Zurich', '2026-03-01']]
[['Ron Lubin', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-03-04']]
[['Austin Rogers', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-03-05']]
[['Dane Norman', 'award', 'Doctor of Philosophy generic instance', '2026-03-11']]
[['Denis Voronenkov', 'startCandidateIn', 'Ncaa Division I Men U0027 S Basketball', '2026-03-14']]
[['Antonio García-De-Alcaraz', 'endWorksFor', 'Universidad Isabel I', '2026-03-17']]
[['Tyler Wagner', 'endAcademicDegree', 'Master of Fine Arts generic instance', '2026-03-18']]
[['Welay Berhe', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-03-21']]
[['Fredrik Strand Galta', 'startMemberOf', 'University of Tokyo', '2026-03-22']]
[['Tristan Owens', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-03-22']]
[['Femto Pulse', 'endManufacturer', 'University of Bologna', '2026-03-22']]
[['Andrea Lovdel', 'startMemberOf', 'Brown University', '2026-03-22']]
[['Bor-ming Jahn', 'startOwns', 'Jensen Huang', '2026-03-22']]
[['Einsteinhaus', 'startMemberOf', 'Duke University', '2026-03-28']]
[['Sarah Kathryn Moore', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-03-29']]
[['Marlain Veal', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-03-30']]
[['Human', 'startContentLocation', 'NYU Langone Health', '2026-03-30']]
[['Jonothan Janssen', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-03-30']]
[['Bass Ollie', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-03-31']]
[['Azul ( board game)', 'startContentLocation', 'University of Tennessee Health Science Center', '2026-03-31']]
[['Shria Kumar', 'startWorksFor', 'Republic of Korea Navy', '2026-03-31']]
[['Jennifer L U002E Pannell', 'endWorksFor', 'Republic of Korea Navy', '2026-03-31']]
[['Amin Soltani', 'endWorksFor', 'University of Adelaide', '2026-03-31']]
[['Olive Kitteridge ( miniseries)', 'startActor', 'Marc Asbeck', '2026-03-31']]
[['Deon Baker', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-03-31']]
[['Hongbo Wang', 'endWorksFor', 'University of Electronic Science and Technology of China', '2026-03-31']]
[['Caleb Wood', 'startWorksFor', 'University of Málaga', '2026-03-31']]
[['Ryan Stipanovich', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-03-31']]
[['César Leiva', 'endWorksFor', 'Comptroller General of Chile', '2026-04-01']]
[['Dark Souls III', 'startContentLocation', 'University-Hospital Polyclinic Of Modena', '2026-04-01']]
[['Alexander Jacob Fischer Verry', 'startWorksFor', 'Republic of Korea Navy', '2026-04-01']]
[['William Matsubu', 'endAcademicDegree', 'Doctor of Philosophy generic instance', '2026-04-01']]
[['Nelly Tremblay', 'endWorksFor', 'Centre For Research And Advanced Studies Merida Unit', '2026-04-01']]
[['Calistus Anyichie', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-04-01']]
[['Daniel Huenermann', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-04-01']]
[['Dzmitry Taŭkačoŭ', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-04-01']]
[['Simi Socks', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-04-01']]
[['Zalando', 'award', 'Master of Business Administration generic instance', '2026-04-01']]
[['Bernardo Añor Jr.', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-04-01']]
[['Ryō Kubota', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-04-01']]
[['Jackson Blaufeld', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-04-02']]
[['Matt Kennedy', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-04-05']]
[['Rodney Culver', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-04-05']]
[['Cornelius Taylor', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-04-07']]
[['Shane A U002E Mccoy', 'startAcademicDegree', 'Master of Music generic instance', '2026-04-12']]
[['Rashaan Holloway', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-04-12']]
[['Kenneth Lee', 'startMemberOf', 'University of the West of England', '2026-04-15']]
[['Nicolas Elame', 'startPlaysIn', 'National Hockey League', '2026-04-15']]
[['Anand Thirupathi', 'startMemberOf', 'University of Lille Nord de France', '2026-04-19']]
[['Terrel Martin-Garcia', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-04-22']]
[['ZDF', 'startContentLocation', 'Sunnybrook Health Sciences Centre', '2026-04-22']]
[['Beata S Lipska-Ziętkiewicz', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-04-29']]
[['Hillary Belle Pritchett', 'startMemberOf', 'BlackRock', '2026-04-29']]
[['Danny Garrick', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-04-30']]
[['Abdelkader Kraichi', 'startMemberOf', 'Saint John\' s Health Center', '2026-04-30']]
[['Tommy Papas', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-04-30']]
[['Anne-Sophie Dirand', 'endWorksFor', 'Institut Gustave Roussy', '2026-04-30']]
[['Dylan Arnette', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-04-30']]
[['Deishuan Booker', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-04-30']]
[['Sacha Kacki', 'startMemberOf', 'Agency for Science, Technology and Research', '2026-05-01']]
[['Mikhail Zhvanetsky', 'startWorksFor', 'Côte d\' Azur University', '2026-05-01']]
[['Wei Zhang', 'startAcademicDegree', 'Master of Music generic instance', '2026-05-01']]
[['École Spéciale des Travaux Publics', 'startLeader', 'Fattah Amin', '2026-05-03']]
[['Andrei Mironov ( ice hockey)', 'endPlaysIn', 'National Hockey League', '2026-05-03']]
[['Gareth Hughes', 'endWorksFor', 'University of the West of England', '2026-05-05']]
[['Luke Wright', 'startPlaysIn', 'National Hockey League', '2026-05-08']]
[['Sue Shon', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-05-09']]
[['Pegah Khosropanah', 'endWorksFor', 'University of Malaya', '2026-05-09']]
[['Merih Demiral', 'award', 'Master of Business Administration generic instance', '2026-05-10']]
[['Erin Gee', 'startAcademicDegree', 'Master of Education generic instance', '2026-05-11']]
[['Cheng Kaijia', 'startMemberOf', 'Aalto University', '2026-05-11']]
[['Oleksandr Kapliyenko', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-05-16']]
[['Derrick Bruce', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-05-16']]
[['Egide Kalisa', 'startAcademicDegree', 'Master of Music generic instance', '2026-05-18']]
[['Casey Oliverson', 'startWorksFor', 'Federal University of São Carlos', '2026-05-19']]
[['Nathan Cobb', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-05-21']]
[['West Betuwe', 'startLeader', 'Véronique Sanson', '2026-05-26']]
[['Zhou Lu', 'endWorksFor', 'Jinan University', '2026-05-26']]
[['Bessam', 'startPlaysIn', 'National Hockey League', '2026-05-28']]
[['Artur Lesko', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-05-29']]
[['Mansa Nair', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-05-29']]
[['Carlton Bragg Jr.', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-05-31']]
[['Zaid Amso', 'startAcademicDegree', 'Master of Music generic instance', '2026-05-31']]
[['Heitor Florencio', 'startAcademicDegree', 'Master of Music generic instance', '2026-05-31']]
[['Beau Rijks', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-05-31']]
[['Nablus', 'startLeader', 'Radovan Vítek', '2026-05-31']]
[['Edward Boyden', 'startWorksFor', 'University of Cambridge', '2026-05-31']]
[['Kai Nagase', 'endWorksFor', 'Japan Society for the Promotion of Science', '2026-05-31']]
[['Christopher Joyce', 'startAcademicDegree', 'Master of Education generic instance', '2026-05-31']]
[['John Fraser', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-05-31']]
[['Jaysean Paige', 'startWorksFor', 'University of Manchester', '2026-06-01']]
[['Brandon Tabb', 'startWorksFor', 'University of the West of England', '2026-06-01']]
[['Mohammad Elradi', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-06-01']]
[['Keli Leaupepe', 'startMemberOf', 'Copenhagen University Hospital', '2026-06-01']]
[['Kimberly Ertel', 'endWorksFor', 'Seattle', '2026-06-01']]
[['Stefan Kenić', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-06-01']]
[['Yining Jiang', 'startWorksFor', 'Tohoku University', '2026-06-01']]
[['Ciprian Gliga', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-06-01']]
[['', 'startMemberOf', 'University of Cambridge', '2026-06-01']]
[['Cameron Carmical', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-06-01']]
[['Ana Costa', 'endWorksFor', 'Faculty Of Medicine Of The University Of Porto', '2026-06-01']]
[['Ulrich Gerwig', 'award', 'Master of Music generic instance', '2026-06-01']]
[['West Betuwe', 'endLeader', 'Véronique Sanson', '2026-06-01']]
[['Casey Oliverson', 'endWorksFor', 'Federal University of São Carlos', '2026-06-01']]
[['Papa Alioune Ndour', 'endWorksFor', 'Institut National De La Transfusion Sanguine', '2026-06-01']]
[['Alexandra Atack', 'endWorksFor', 'University of Hertfordshire', '2026-06-03']]
[['Colin Bowser', 'endWorksFor', 'University of Washington', '2026-06-06']]
[['Khris Davis ( actor)', 'endNotableWork', 'Space Jam: A New Legacy', '2026-06-08']]
[['Ben Purrington', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-06-08']]
[['Christian Beyle', 'endWorksFor', 'University of Tarapacá', '2026-06-08']]
[['Nelson Aguirre-Duarte', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-06-08']]
[['Teodora Pušić', 'endWorksFor', 'Innogy Česká Republika', '2026-06-08']]
[['Arbnora de Leoni', 'startWorksFor', 'Department of Home Affairs ( Australia)', '2026-06-09']]
[['David Tillman', 'endWorksFor', 'University of Cambridge', '2026-06-09']]
[['Matthew Goss', 'startMemberOf', 'University of Cambridge', '2026-06-09']]
[['Alessandro Marco De Nunzio', 'endWorksFor', 'University of Birmingham', '2026-06-10']]
[['Luís Silva ( footballer, born 1992)', 'award', 'Master of Fine Arts generic instance', '2026-06-10']]
[['Elsa G Guillot', 'startAcademicDegree', 'Master of Education generic instance', '2026-06-10']]
[['Egide Kalisa', 'startAcademicDegree', 'Master of Education generic instance', '2026-06-10']]
[['Spencer Littleson', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-06-15']]
[['Sascha Ranftl', 'endWorksFor', 'Avl', '2026-06-15']]
[['Hana Polášek-Sedláčková', 'endWorksFor', 'University of Copenhagen Faculty of Health and Medical Sciences', '2026-06-15']]
[['Tyanai Masiya', 'endWorksFor', 'Human Sciences Research Council', '2026-06-16']]
[['Danillo Oliveira Alvarenga', 'endWorksFor', 'University of Helsinki', '2026-06-17']]
[['Javier Mauricio Duarte', 'endWorksFor', 'Fermilab', '2026-06-17']]
[['Shen Jilan', 'startAcademicDegree', 'Master of Education generic instance', '2026-06-20']]
[['Patrick Casey', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-06-23']]
[['Olivia Rodrigo', 'endWorksFor', 'Generali Česká Pojišťovna', '2026-06-23']]
[['James M Wood', 'startAcademicDegree', 'Master of Education generic instance', '2026-06-23']]
[['Sacha Killeya-Jones', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-06-23']]
[['Olivia Rodrigo', 'endWorksFor', 'Generali Česká Pojišťovna', '2026-06-23']]
[['Mark D Long', 'endWorksFor', 'Roswell Park Comprehensive Cancer Center', '2026-06-25']]
[['Don McCullin', 'startMemberOf', 'New York City Department of Health and Mental Hygiene', '2026-06-26']]
[['Devendra Jhajharia', 'startWorksFor', 'Vita-Salute San Raffaele University', '2026-06-27']]
[['Sarder Fakhrul Abedin', 'endWorksFor', 'Mid Sweden University', '2026-06-27']]
[['Shawn Zheng Kai Tan', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-06-28']]
[['Matthew Fittock', 'startAcademicDegree', 'Master of Music generic instance', '2026-06-30']]
[['Barañain', 'endLeader', 'Marc Asbeck', '2026-06-30']]
[['Yosuke Ideguchi', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-06-30']]
[['Ivan Trubochkin', 'startMemberOf', 'Ministry Of Innovation U002C Science And Research Of North Rhine-Westphalia', '2026-06-30']]
[['Dominique Shaw', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-06-30']]
[['Brett Hosking', 'endWorksFor', 'National Oceanography Centre', '2026-06-30']]
[['Tre Wood', 'endWorksFor', 'Community Université Grenoble Alpes', '2026-06-30']]
[['Laia Codina', 'award', 'Master of Business Administration generic instance', '2026-06-30']]
[['Braden Burke', 'startAcademicDegree', 'Master of Music generic instance', '2026-06-30']]
[['Sergio Guerrero-Castillo', 'endWorksFor', 'Dtu Aqua', '2026-06-30']]
[['Linna Sai', 'endWorksFor', 'Open University', '2026-07-01']]
[['Jack Hallee', 'startWorksFor', 'University of Minho', '2026-07-01']]
[['Parthasarathi Subramanian', 'startAcademicDegree', 'Master of Music generic instance', '2026-07-01']]
[['Ty Greene', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-07-01']]
[['Guido Zichittella', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-07-01']]
[['Laura T Wey', 'startMemberOf', 'I U002E M U002E O U002E R U002E E U002E P', '2026-07-01']]
[['Jalen Avery', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-07-01']]
[['Andrew Margenot', 'endWorksFor', 'University of California, Davis', '2026-07-01']]
[['Anne Polyakov', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-07-01']]
[['Henrik Sedin', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-07-01']]
[['Mamadou Doucoure', 'startMemberOf', 'Uppsala University', '2026-07-01']]
[['Pelle Dam', 'startAcademicDegree', 'Master of Education generic instance', '2026-07-01']]
[['Michael Buchanan', 'endWorksFor', 'Uppsala University', '2026-07-01']]
[['Shaun Rooney', 'award', 'Master of Music generic instance', '2026-07-01']]
[['Montilla', 'endLeader', 'Radovan Vítek', '2026-07-01']]
[['Joakim Noah', 'startWorksFor', 'National Taiwan University', '2026-07-04']]
[['Laura Tomasi', 'startMemberOf', 'University of Chicago', '2026-07-05']]
[['Dmitry Ignatenko ( footballer, born 1995)', 'startWorksFor', 'National Research Centre on Equines', '2026-07-12']]
[['Jarosław Ćwiek-Karpowicz', 'award', 'Master of Music generic instance', '2026-07-13']]
[['Xavier Johnson', 'startWorksFor', 'Hewlett Packard Enterprise', '2026-07-13']]
[['Tyler Wideman', 'award', 'Master of Education generic instance', '2026-07-13']]
[['Susanne Spoerel', 'endWorksFor', 'University of Zurich', '2026-07-13']]
[['Tsuneo Imamoto', 'startWorksFor', 'Federal Emergency Management Agency', '2026-07-15']]
[['Alpha Okoli', 'startAcademicDegree', 'Master of Education generic instance', '2026-07-18']]
[['Jaclyn Fiscus-Cannaday', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-07-19']]
[['Bill Tuiloma', 'endWorksFor', 'I U002E M U002E O U002E R U002E E U002E P', '2026-07-21']]
[['Ion Echaide', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-07-21']]
[['Lauren R Price', 'startAcademicDegree', 'Master of Education generic instance', '2026-07-22']]
[['Mitch Peterson', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-07-22']]
[['Rowan Sprague', 'award', 'Master of Business Administration generic instance', '2026-07-22']]
[['Mohd Zaiza Zainal Abidin', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-07-22']]
[['Jane Oliver', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-07-23']]
[['Yian Lin', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-07-23']]
[['Tim Hasbargen', 'startMemberOf', 'MedStar Health', '2026-07-28']]
[['Gábor Irsai', 'startMemberOf', 'MedStar Health', '2026-07-29']]
[['Dmytro Serhiyovych Osadchyi', 'startWorksFor', 'MedStar Health', '2026-07-31']]
[['Thomas Lacroix', 'endWorksFor', 'Institute Of Human Genetics', '2026-07-31']]
[['Li Rui ( politician)', 'startWorksFor', 'Innogy Česká Republika', '2026-07-31']]
[['Hiroshi Yoshikawa', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-07-31']]
[['K. J. Maura', 'endWorksFor', 'Leibniz Institute Of Freshwater Ecology And Inland Fisheries', '2026-07-31']]
[['Delaram Jarchi', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-07-31']]
[['Layne C Price', 'startAcademicDegree', 'Master of Education generic instance', '2026-07-31']]
[['Apple Inc.', 'startLeader', 'Lee Kun-hee', '2026-07-31']]
[['Nick Gruninger', 'startMemberOf', 'Ppf Cyprus Management', '2026-07-31']]
[['Urška Žigart', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-08-01']]
[['Reagan Nicole', 'startWorksFor', 'MedStar Health', '2026-08-01']]
[['Mengying Xie', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-08-01']]
[['Wei E U002E I U002E Sha', 'endWorksFor', 'University College London', '2026-08-01']]
[['Oleksandr Kapliyenko', 'startAcademicDegree', 'Master of Education generic instance', '2026-08-01']]
[['Li Rui ( politician)', 'endWorksFor', 'Innogy Česká Republika', '2026-08-01']]
[['Francisco Cáffaro', 'award', 'Master of Education generic instance', '2026-08-01']]
[['Otavalo ( city)', 'startLeader', 'Jensen Huang', '2026-08-01']]
[['Luis Hurtado', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-08-01']]
[['Beñat Intxausti', 'startAcademicDegree', 'Master of Education generic instance', '2026-08-01']]
[['Lonesome Malambo', 'endWorksFor', 'Status Quo ( band)', '2026-08-01']]
[['Urška Žigart', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-08-01']]
[['Oliver Burton', 'startWorksFor', 'I U002E M U002E O U002E R U002E E U002E P', '2026-08-01']]
[['Pranjal Kumar Yadav', 'award', 'Scientific Professorship Degree generic instance', '2026-08-01']]
[['Caroline S Nishisaka', 'endWorksFor', 'University of Hawaiʻi', '2026-08-01']]
[['Mengying Xie', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-08-01']]
[['Ben Oberfeld', 'startMemberOf', 'MedStar Health', '2026-08-03']]
[['Lauren M Schwartz', 'endWorksFor', 'University of Arkansas', '2026-08-04']]
[['Halima Aden', 'startMemberOf', 'Zentiva Group', '2026-08-04']]
[['Andrew Lensen', 'endWorksFor', 'MedStar Health', '2026-08-07']]
[['Bridget Joyner', 'endWorksFor', 'Federal Emergency Management Agency', '2026-08-07']]
[['Damari Parris', 'startWorksFor', 'Collis Real', '2026-08-07']]
[['Francis Wong', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-08-09']]
[['Cameron Carmical', 'endWorksFor', 'Unicapital', '2026-08-09']]
