[['Ruth Davis (basketball)', 'award', 'Pac-12 Conference Women\'s Basketball Player of the Year', '2015-01-01']]
[['My Name Is Oliver Queen', 'startContentLocation', 'Star City (comics)', '2015-01-01']]
[['Johnny Dee (basketball)', 'startMemberOf', 'SKS Starogard Gdański', '2015-01-01']]
[['Jelani Mofford', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Eide', 'startLeader', 'Egil Karstein Strand', '2015-01-01']]
[['Doug Chappell', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Tony Kynard', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Raheem Appleby', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Fosnes', 'startLeader', 'Trygve Jonny Sandvik', '2015-01-01']]
[['Dupree Mcbrayer', 'startMemberOf', 'Minnesota Golden Gophers men\'s basketball', '2015-01-01']]
[['Cayne Edwards', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['D. J. Hogg', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Belley', 'startLeader', 'Pierre Berthet', '2015-01-30']]
[['Fabio Luca Bonali', 'startWorksFor', 'University of Milano-Bicocca', '2015-01-01']]
[['Oleksandr Tanskyi', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Liam Gordon (footballer, born 1996)', 'startMemberOf', 'Arbroath F.C.', '2015-01-01']]
[['Cisca Wijmenga', 'award', 'Spinoza Prize', '2015-01-01']]
[['Robert Richter', 'startAcademicDegree', 'Dr. rer. nat.', '2015-01-01']]
[['Sergey Bezrukov', 'award', 'Rysslands Försvarsministers Pris För Kultur Och Konst', '2015-01-01']]
[['Maurice Kirby', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Facundo Affranchino', 'startMemberOf', 'Unión de Santa Fe', '2015-01-01']]
[['Marlene Dumas', 'award', 'Artist Of The Year', '2015-01-01']]
[['Oskitz Estefanía', 'startMemberOf', 'Pasaia KE', '2015-01-01']]
[['Malik Beasley', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Sylwia Bartkowiak', 'startAcademicDegree', 'Master\'s degree', '2015-01-01']]
[['The Offer', 'startContentLocation', 'Nanda Parbat', '2015-01-01']]
[['David M H Ascough', 'startWorksFor', 'Merton College, Oxford', '2015-01-01']]
[['Cascante', 'startLeader', 'Alberto Añón Jiménez', '2015-01-01']]
[['Jaclyn Fiscus-Cannaday', 'startAcademicDegree', 'Master of Arts', '2015-01-01']]
[['Mariusz Maszkiewicz', 'award', 'Cross of Freedom and Solidarity', '2015-01-01']]
[['Rashaan Holloway', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Christina Aguilera', 'award', 'Grammy Award for Best Pop Duo u002F Group Performance', '2015-01-01']]
[['Hungarian Export-Import Bank Plc.', 'startLeader', 'Zoltán Urbán', '2015-01-01']]
[['Tre\' Bryant', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Pro Evolution Soccer 2015', 'startContentLocation', 'Argentina', '2015-01-01']]
[['Thomas A Daniel', 'startWorksFor', 'College of William & Mary', '2015-01-01']]
[['Restoration', 'startContentLocation', 'Nanda Parbat', '2015-01-01']]
[['Craig T. Simmons', 'award', 'SA Scientist of the Year', '2015-01-01']]
[['Ty Greene', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Zachary Hollis', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Michael A. Clare', 'endAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Melonie P Thomas', 'startWorksFor', 'University of Peradeniya', '2015-01-01']]
[['Anna Simas', 'startAcademicDegree', 'Master of Arts', '2015-01-01']]
[['Dylan Sinnickson', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Wendell Lira', 'award', 'FIFA Puskás Award', '2015-01-01']]
[['Brian Steele', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['New York Road Runners', 'startLeader', 'Michael Capiraso', '2015-01-01']]
[['Kathrin Braun', 'startWorksFor', 'University of Vienna', '2015-01-01']]
[['Michael B. Larsen', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Dedrick Basile', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Heather Soyka', 'startWorksFor', 'University of New Mexico', '2015-01-01']]
[['Markell Henderson', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Maxx Bleecher', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Brandon F. Jones', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Blake S. Wilson', 'award', 'Russ Prize', '2015-01-01']]
[['Pyotr Gogolev', 'startAcademicDegree', 'Doctor of Juridical Science', '2015-01-01']]
[['Amir Sohrabi Mollayousef', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Prashant Saxena', 'startWorksFor', 'IIT Hyderabad', '2015-01-01']]
[['Tzer-Yang Yu', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Wall Street Week', 'startProductionCompany', 'SkyBridge Capital', '2015-01-01']]
[['Trevor Owens', 'startWorksFor', 'Institute of Museum and Library Services', '2015-01-01']]
[['Ágnes Szabó', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Tejai Allen', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Kyle Alexander', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['John Paul Calavitta', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Anthony Henderson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Daniel Stensland', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Editorial La Galera', 'endLeader', 'Iolanda Batallé', '2015-01-01']]
[['Riley Payne', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Íñigo Méndez de Vigo', 'award', 'Grand Cross Of The Order Of The Aztec Eagle', '2015-01-01']]
[['Hordaland', 'startLeader', 'Anne Gine Hestetun', '2015-01-01']]
[['Kvalsund', 'startLeader', 'Terje Wikstrøm', '2015-01-01']]
[['Sørum', 'startLeader', 'Marianne Grimstad Hansen', '2015-01-01']]
[['Kvartis', 'startLeader', 'Bohumil Kvasnička', '2015-01-01']]
[['Katherine E. Tansey', 'endWorksFor', 'Cardiff University', '2015-01-01']]
[['Xiuxiong Chen', 'award', 'Fellow Of The American Mathematical Society', '2015-01-01']]
[['Moussa Kone', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Igor Prünster', 'award', 'Fellow Of The Institute Of Mathematical Statistics', '2015-01-01']]
[['Sarah Jayne Forrester', 'startWorksFor', 'University of Liverpool', '2015-01-01']]
[['Zoltán Rátóti', 'award', 'Meritorius Artist Of Hungary', '2015-01-01']]
[['Helena Van Tol', 'startAcademicDegree', 'Master of Science', '2015-01-01']]
[['Javier Duren', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Pavel Prošek', 'award', 'Silver Medal Of The Masaryk University', '2015-01-01']]
[['Emil Boček', 'award', 'South Moravian Region Award', '2015-01-01']]
[['Fernanda T Brum', 'startWorksFor', 'Federal University of Goiás', '2015-01-01']]
[['Dima, Spain', 'startLeader', 'Nekane Intxaurtza', '2015-01-01']]
[['Amalia Levari', 'startNotableWork', 'Harvey Beaks', '2015-01-01']]
[['Outer Wilds', 'award', 'Seumas McNally Grand Prize', '2015-01-01']]
[['Montilla', 'startLeader', 'Federico Cabello De Alba Hernandez', '2015-01-01']]
[['Tranøy', 'startLeader', 'Jan Fredrik Jenssen', '2015-01-01']]
[['Chris A. Hamilton', 'startWorksFor', 'University of Florida', '2015-01-01']]
[['John Collier', 'award', 'Fellow Of The Learned Society Of Wales', '2015-01-01']]
[['Justin Dotson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Dimitris Kakofengitis', 'startWorksFor', 'North Hertfordshire College', '2015-01-19']]
[['Kevin Harden', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Charles Jackson (basketball)', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Anthony F. Cannistra', 'startAcademicDegree', 'Bachelor of Science', '2015-01-01']]
[['Rod Hall', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Brad Schaub', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Juliana N U Yaochite', 'startWorksFor', 'Cesmac University Center', '2015-01-01']]
[['Jonathan Albright', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Wei Zuo', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Grant Hollander', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Devareaux Manley', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Tyler Winston', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Daniel Edozie', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Florence E Isaacs', 'startAcademicDegree', 'Bachelor Of Science (Honours)', '2015-01-01']]
[['M. P. Ross', 'startAcademicDegree', 'Bachelor of Science', '2015-01-01']]
[['D\'Angelo Harrison', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['George Fant (American football)', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Nnamdi Ezenwa', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Shaw Lacy', 'startWorksFor', 'Pontifical Catholic University of Chile', '2015-01-01']]
[['Kelsey L. Berrier', 'startAcademicDegree', 'Bachelor of Science', '2015-01-01']]
[['Teresa D\'Oliveira', 'endWorksFor', 'Ispa - University Institute', '2015-01-01']]
[['Joanna Macfarlane', 'startAcademicDegree', 'Master of Arts', '2015-01-01']]
[['Devin Booker', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Travis Souza', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Ruth Moon', 'startAcademicDegree', 'Master of Arts', '2015-01-01']]
[['Rémi Barry', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Marshall Harris', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Katie H. Sizeland', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Adam M. Willows', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Stephon Whyatt', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Brendan Daniel Sheridan', 'startAcademicDegree', 'Master of Arts', '2015-01-01']]
[['Masaharu Motoshita', 'startWorksFor', 'University of Tokyo', '2015-01-01']]
[['Joe Young (basketball)', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Billy Tene Fossog', 'startWorksFor', 'Centre International De Recherches Médicales De Franceville', '2015-01-03']]
[['Tiffany A Stephens', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Albert Min-Shan Ko', 'startWorksFor', 'Max Planck Institute for Evolutionary Anthropology', '2015-01-01']]
[['Kerry J Halupka', 'startWorksFor', 'IBM Research', '2015-01-01']]
[['Christoph Michael Bergmann', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Jarekious Bradley', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Krista Schoening', 'startAcademicDegree', 'Master of Fine Arts', '2015-01-01']]
[['Jian Tian', 'startWorksFor', 'Shandong University of Science and Technology', '2015-01-01']]
[['Jennifer L Knopp Nee Dickson', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Jonathan Holmes (basketball)', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Sarah Rogers', 'startAcademicDegree', 'Master of Science', '2015-01-01']]
[['Colin Bousige', 'endWorksFor', 'Massachusetts Institute of Technology', '2015-01-01']]
[['Tham Piumsomboon', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Peter D Neff', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Christopher Jon Andrews', 'startAcademicDegree', 'Master of Science', '2015-01-01']]
[['Brennan L. Kessenich', 'startAcademicDegree', 'Bachelor of Arts', '2015-01-01']]
[['Flavio Camejo', 'startWorksFor', 'Universidade Da Região De Joinville', '2015-01-01']]
[['Andrew Alexander Gordon Webb', 'startWorksFor', 'University of Leeds', '2015-01-01']]
[['LaDontae Henton', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Rowan Sprague', 'startAcademicDegree', 'Bachelor Of Science (Honours)', '2015-01-01']]
[['Dylan J Kline', 'startWorksFor', 'University of Arizona', '2015-01-01']]
[['Chloe Galmiche', 'startWorksFor', 'Centre Hospitalier Universitaire De Bordeaux', '2015-01-01']]
[['Phillip Russell', 'startAcademicDegree', 'Bachelor of Arts', '2015-01-01']]
[['Nick Gruninger', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Sanjeevan Rajendran', 'startWorksFor', 'Uppsala University', '2015-01-01']]
[['Desmond Hubert', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Aj Hedgecock', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Manny Thomas', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Natalie Klco', 'startAcademicDegree', 'Bachelor of Arts', '2015-01-01']]
[['Arkeem Joseph', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Jérémy Denizot', 'startWorksFor', 'University of Auvergne', '2015-01-01']]
[['Jonas Page', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Devante Wallace', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Bobby Hunter', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Carol Edelman Warrior', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Alastair Abbott', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Joseph M. Kasper', 'startAcademicDegree', 'Bachelor of Arts', '2015-01-01']]
[['Michael E Moore', 'endWorksFor', 'Pennsylvania State University', '2015-01-01']]
[['J.D. Weatherspoon', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Victor M. Borges', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Selvakumar Dhandapani', 'endWorksFor', 'University of Nottingham', '2015-01-30']]
[['Aaron Hendricks', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Leslee Smith', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Kanye West', 'startAcademicDegree', 'Honorary degree', '2015-01-01']]
[['George Drosatos', 'endWorksFor', 'Aristotle University of Thessaloniki', '2015-01-01']]
[['Rachel Swallow', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Mike Lopez', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Ankita Umapathy', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Billydee Williams', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['William Patrick Burr', 'startAcademicDegree', 'Bachelor of Arts', '2015-01-01']]
[['Dominique Cardon', 'startAcademicDegree', 'Doctorate In France', '2015-01-01']]
[['Patrick Heimbach', 'endWorksFor', 'Massachusetts Institute of Technology', '2015-01-01']]
[['Elsa G Guillot', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Karl Cochran', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Bo Cao', 'startAcademicDegree', 'Master of Science', '2015-01-01']]
[['Alex Streim', 'startAcademicDegree', 'Master of Fine Arts', '2015-01-01']]
[['Sandra Garrido', 'endWorksFor', 'University of Melbourne', '2015-01-01']]
[['James Chichester, Earl Of Belfast', 'startAcademicDegree', 'Bachelor of Arts', '2015-01-01']]
[['Sarah E Morton', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Ba\'Shawn Mickens', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Lieza Vanden Broeke', 'startAcademicDegree', 'Master of Science', '2015-01-01']]
[['Mading Thok', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Roger Chao', 'startAcademicDegree', 'Master of Arts', '2015-01-01']]
[['Jessica Holmes', 'startAcademicDegree', 'Master of Fine Arts', '2015-01-01']]
[['Denise Arroyo-Lambaer', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Michael Dison', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Stéphane Gioanni', 'startAcademicDegree', 'Habilitation', '2015-01-01']]
[['Francesco Marino', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Ian Jacobs (oncologist)', 'endWorksFor', 'University of Manchester', '2015-01-01']]
[['Sarah Kathryn Moore', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Mengying Xie', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Tyler Russell', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Thomas J Huggins', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Nelson Aguirre-Duarte', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Sophia Rodrigues', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Ian C. Cooper', 'startAcademicDegree', 'Bachelor of Fine Arts', '2015-01-01']]
[['Cora Walker', 'startAcademicDegree', 'Bachelor of Arts', '2015-01-01']]
[['Kenyatta Smith', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Austin Richie', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Emanuel Pellot', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Oliver Burton', 'startAcademicDegree', 'Bachelor of Science', '2015-01-01']]
[['Emmanuel Matey', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Muhammad Mustafa Raziq', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Dimitri Pletschette', 'startAcademicDegree', 'Bachelor\'s degree', '2015-01-01']]
[['David Rudling', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Kaj-Bjorn Sherman', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Jordan Gregory', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
[['Shaun P Wilkinson', 'startAcademicDegree', 'Doctor of Philosophy', '2015-01-01']]
[['Erik Copes', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2015-01-01']]
