[['Nazmul Hossain Milon', 'startMemberOf', 'Islamabad United', '2022-06-30'], ['Glenn Maxwell', 'startMemberOf', 'Wellington cricket team', '2022-06-30'], ['Adrian Barath', 'startMemberOf', 'Karachi Kings', '2022-06-30'], ['Jayden Levitt', 'startMemberOf', 'Oxfordshire County Cricket Club', '2022-07-01']]
[['Emelie Ölander', 'endMemberOf', 'Emerging Ireland', '2022-04-15'], ['Sebastian Yates', 'endMemberOf', 'Tulane Green Wave men\' s basketball', '2022-04-15'], ['Jakuta Alikavazovic', 'startMemberOf', 'Chicago State Cougars men\' s basketball', '2022-04-15'], ['Jamaal Moore', 'startMemberOf', 'BC Andorra', '2022-04-15']]
[['Larry Mcgaughney', 'endMemberOf', 'Fresno State Bulldogs men\' s basketball', '2022-05-01'], ['Jerran Foster', 'startMemberOf', 'Xavier Musketeers men\' s basketball', '2022-05-01'], ['Tyler King', 'startMemberOf', 'Ole Miss Rebels men\' s basketball', '2022-05-01'], ['Rodrigue Djahue', 'endMemberOf', 'Miami Hurricanes men\' s basketball', '2022-05-01']]
[['Jeffrey Viggiano', 'startMemberOf', 'Chiba Jets Funabashi', '2022-05-10'], ['Khalil Iverson', 'endMemberOf', 'Wisconsin Badgers men\' s basketball', '2022-05-10'], ['Nic Thomas', 'endMemberOf', 'Norfolk State Spartans men\' s basketball', '2022-05-10'], ['Jeremy Hayes', 'endMemberOf', 'Louisiana Ragin\' Cajuns men\' s basketball', '2022-05-11']]
[['Xavier Adams', 'endMemberOf', 'New Mexico Lobos men\' s basketball', '2022-05-30'], ['Dmitri Prudnikov', 'startMemberOf', 'MFK Tyumen', '2022-05-31'], ['Casper Ware', 'startMemberOf', 'Perth Wildcats', '2022-05-31'], ['Rayquan Evans', 'endMemberOf', 'Florida State Seminoles men\' s basketball', '2022-05-31']]
[['Zach Snyder', 'endMemberOf', 'Duquesne Dukes men\' s basketball', '2022-06-01'], ['Keaton Sanders', 'endMemberOf', 'Palencia Baloncesto', '2022-06-01'], ['Donald Johnson', 'startMemberOf', 'Youngstown State Penguins men\' s basketball', '2022-06-01'], ['Chris Wehye', 'startMemberOf', 'BC Nevėžis', '2022-06-01']]
[['Brande Roderick', 'endMemberOf', 'Nevada Wolf Pack men\' s basketball', '2022-06-06'], ['Jon Torres', 'endWorksFor', 'Navy Midshipmen men\' s basketball', '2022-06-06'], ['Janavor Weatherspoon', 'endMemberOf', 'Oklahoma State Cowboys basketball', '2022-06-06'], ['Darren Freeman', 'endMemberOf', 'Northampton Saints', '2022-06-06']]
[['Terrance Tubbs', 'startMemberOf', 'Rain or Shine Elasto Painters', '2022-06-20'], ['Melissa McCarthy', 'endMemberOf', 'PBC Lokomotiv Kuban', '2022-06-20'], ['Daniel Panizzolo', 'startMemberOf', 'Toyotsu Fighting Eagles Nagoya', '2022-06-20'], ['James Hennessy', 'endMemberOf', 'Montana State Bobcats men\' s basketball', '2022-06-20']]
[['Riley Kemmer', 'startMemberOf', 'CB Pardinyes', '2022-06-30'], ['Le U0027 Vonn Jordan', 'startMemberOf', 'Italy national football C teams', '2022-06-30'], ['Curtis Washington', 'startMemberOf', 'Technion – Israel Institute of Technology', '2022-06-30'], ['Gregoryshon Magee', 'endMemberOf', 'South Alabama Jaguars men\' s basketball', '2022-06-30']]
[['Darren Goodson', 'endMemberOf', 'Kent State Golden Flashes men\' s basketball', '2022-07-13'], ['Quinten Rollins', 'startMemberOf', 'Cincinnati Bearcats football', '2022-07-13'], ['Tommy Kuhse', 'startMemberOf', 'MKS Dąbrowa Górnicza ( basketball)', '2022-07-13'], ['Jake Boggs', 'endMemberOf', 'UNC Wilmington Seahawks men\' s basketball', '2022-07-13']]
[['Tommie Eddie', 'endMemberOf', 'Ole Miss Rebels men\' s basketball', '2022-08-01'], ['Octavius Flowers', 'startMemberOf', 'Apollon Patras B. C.', '2022-08-01'], ['Jeff Elorriaga', 'startMemberOf', 'Aris Leeuwarden', '2022-08-01'], ['Stephen Edwards', 'endMemberOf', 'Santa Clara Broncos men\' s basketball', '2022-08-01']]
[['Tywain McKee', 'startMemberOf', 'North Carolina Central Eagles men\' s basketball', '2022-08-01'], ['Matt Gorman', 'endMemberOf', 'Syracuse Orange men\' s basketball', '2022-08-01'], ['G U002E A U002E Hill', 'startMemberOf', 'Aris Leeuwarden', '2022-08-01'], ['Emanuel Jackson', 'endMemberOf', 'Texas Wesleyan Rams Men U0027 S Basketball', '2022-08-01']]
[['Ruben Boumtje-Boumtje', 'endMemberOf', 'Alba Berlin', '2022-08-31'], ['Drew Paradoski', 'startMemberOf', 'Morehead State Eagles men\' s basketball', '2022-08-31'], ['Orlando Griego', 'endMemberOf', 'Southern Utah Thunderbirds men\' s basketball', '2022-08-31'], ['Shannon Scott', 'startMemberOf', 'Rain or Shine Elasto Painters', '2022-08-31']]
[['Ignacio Torres', 'endWorksFor', 'BC Andorra', '2022-09-01'], ['William Clay', 'endMemberOf', 'Mississippi Valley State Delta Devils basketball', '2022-09-01'], ['Bettina Kosel', 'endWorksFor', 'Indiana Hoosiers men\' s basketball', '2022-09-01'], ['James Mclean', 'endMemberOf', 'Harvard Crimson men\' s basketball', '2022-09-01']]
[['Ross Ferrarini', 'endMemberOf', 'Creighton Bluejays men\' s basketball', '2022-09-01'], ['Josh Martin', 'endMemberOf', 'Albany Great Danes men\' s basketball', '2022-09-01'], ['Moussa Diagne', 'startMemberOf', 'CB Breogán', '2022-09-01'], ['Justin Miller', 'startMemberOf', 'Worcester Wolves', '2022-09-01']]
[['Gerald Colds', 'endMemberOf', 'Drexel Dragons men\' s basketball', '2022-09-02'], ['Michael Brown', 'endMemberOf', 'Davidson Wildcats men\' s basketball', '2022-09-02'], ['Vas U0027 Shun Newborne', 'startMemberOf', 'Valencia Basket', '2022-09-03'], ['Hollis Hill', 'startMemberOf', 'Oregon Ducks men\' s basketball', '2022-09-03']]
[['Ricardo Busciglio', 'endMemberOf', 'University of Helsinki', '2022-10-01'], ['Cordaro Ellis', 'startMemberOf', 'KB Trepça', '2022-10-01'], ['Angelo Herron', 'endMemberOf', 'University of Tennessee', '2022-10-01'], ['Lucas Waldesbühl', 'startMemberOf', 'BC Winterthur', '2022-10-01']]
[['Jahir Cabeza', 'endMemberOf', 'Savannah State Tigers basketball', '2022-10-01'], ['Darrel Jackson', 'startMemberOf', 'Ole Miss Rebels men\' s basketball', '2022-10-01'], ['Nate Snodgrass', 'startMemberOf', 'Ball State Cardinals men\' s basketball', '2022-10-01'], ['Phenyo Mongala', 'startMemberOf', 'Chiba Jets Funabashi', '2022-10-01']]
[['Ian Proulx', 'startMemberOf', 'Riesen Ludwigsburg', '2022-10-08'], ['Landon Atterberry', 'endMemberOf', 'LIU Sharks men\' s basketball', '2022-10-08'], ['Major Canady', 'startMemberOf', 'BC Andorra', '2022-10-09'], ['Jeremy Baker', 'startMemberOf', 'BC Nevėžis', '2022-10-09']]
[['A U002E J U002E Pacher', 'startMemberOf', 'Columbus State Cougars Baseball', '2022-10-31'], ['Marques Jones', 'startMemberOf', 'UTEP Miners men\' s basketball', '2022-10-31'], ['Josh Brewster', 'endMemberOf', 'Alabama State Hornets basketball', '2022-10-31'], ['Samer Madarani', 'startMemberOf', 'Apollon Patras B. C.', '2022-10-31']]
[['Al Sewasciuk', 'startMemberOf', 'Eastern Kentucky Colonels men\' s basketball', '2022-11-01'], ['Matt Adler', 'startWorksFor', 'Gujarat University', '2022-11-01'], ['Sergi Costa Vázquez', 'startMemberOf', 'Veltex Shizuoka', '2022-11-01'], ['J U002E R U002E Duffey', 'startMemberOf', 'BC Andorra', '2022-11-01']]
[['Andrew Salter', 'endMemberOf', 'Suffolk University', '2022-11-16'], ['Benoît Cauet', 'endMemberOf', 'Abilene Christian Wildcats men\' s basketball', '2022-11-16'], ['Josh Maggard', 'endMemberOf', 'Gardner– Webb Runnin\' Bulldogs men\' s basketball', '2022-11-16'], ['Juan Salinas', 'endMemberOf', 'UTSA Roadrunners men\' s basketball', '2022-11-17']]
[['Sylvester Gray', 'startMemberOf', 'CB Lucentum Alicante', '2022-11-30'], ['Tregan', 'endMemberOf', 'KK Crvena zvezda', '2022-11-30'], ['Chuks Iroegbu', 'endMemberOf', 'Northern Illinois Huskies men\' s basketball', '2022-11-30'], ['Trey Harris', 'startMemberOf', 'Aris Leeuwarden', '2022-12-01']]
[['Jameel McKay', 'startMemberOf', 'UNC Wilmington Seahawks men\' s basketball', '2022-12-01'], ['Wesley Harris', 'startMemberOf', 'Boost Defenders', '2022-12-01'], ['Ricardo Pedriel', 'startMemberOf', 'UMass Lowell River Hawks men\' s basketball', '2022-12-01'], ['Keijuro Matsui', 'startMemberOf', 'Soles de Santo Domingo Este', '2022-12-01']]
[['Daeshon Francis', 'endMemberOf', 'Green Bay Phoenix men\' s basketball', '2022-12-01'], ['Pierre Jackson', 'startMemberOf', 'Detroit Pistons', '2022-12-01'], ['James Beatty', 'endMemberOf', 'Rutgers Scarlet Knights men\' s basketball', '2022-12-01'], ['Lounceny Kaba', 'startMemberOf', 'Pallacanestro Lucca', '2022-12-01']]
[['Roberto Vercellino', 'endMemberOf', 'Northern Colorado Bears men\' s basketball', '2022-12-29'], ['Jonson Yousefzadeh', 'endMemberOf', 'North Florida Ospreys men\' s basketball', '2022-12-29'], ['Trimaine Davis', 'startMemberOf', 'Atléticos de San Germán', '2022-12-29'], ['Spencer Dunkley', 'endMemberOf', 'S. S. Felice Scandone', '2022-12-29']]
[['Jonathan Wallace', 'startMemberOf', 'Oregon Ducks men\' s basketball', '2022-12-29'], ['Steve Jennings ( footballer)', 'endMemberOf', 'Georgia Tech Yellow Jackets men\' s basketball', '2022-12-31'], ['Alex Carr', 'startMemberOf', 'KK Blokotehna', '2022-12-31'], ['Torgrim Sommerfeldt', 'startMemberOf', 'Força Lleida CE', '2022-12-31']]
[['Lionel Chalmers', 'startMemberOf', 'Valencia Basket', '2022-12-31'], ['Jānis Kaufmanis', 'startMemberOf', 'CB Breogán', '2022-12-31'], ['Zach Winter', 'endMemberOf', 'Kansas State Wildcats men\' s basketball', '2022-12-31'], ['Jay Head', 'endMemberOf', 'Grambling State Tigers men\' s basketball', '2022-12-31']]
[['Dimitri Mohamed', 'startMemberOf', 'FK Borac Čačak', '2022-01-01'], ['Florian Berisha', 'startMemberOf', 'SC Zofingen', '2022-01-01'], ['Andrei Kovalenko ( Belarusian footballer)', 'startMemberOf', 'Georgia Tech', '2022-01-01'], ['Nicolas Garnier', 'endWorksFor', 'RSK Dižvanagi', '2022-01-01']]
[['Andrea Gessa', 'startMemberOf', 'Olbia Calcio 1905', '2022-01-01'], ['Mitsuru Hasegawa', 'startMemberOf', 'Thespakusatsu Gunma', '2022-01-01'], ['Emanuel Villa', 'endMemberOf', 'Panserraikos F. C.', '2022-01-01'], ['Polychronis Vezyridis', 'endMemberOf', 'Tecos F. C.', '2022-01-01']]
[['Betão ( defender)', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-01-01'], ['Marco Todesco', 'endMemberOf', 'SV Schaffhausen', '2022-01-01'], ['Spartak Gogniyev', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-01-01'], ['Alireza Azimi', 'endMemberOf', 'Rah Ahan Tehran F. C.', '2022-01-01']]
[['Andy Marriott', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-01-01'], ['Ramal Huseynov', 'startMemberOf', 'Neftchala FK', '2022-01-01'], ['Nicolas Saint-Ruf', 'startMemberOf', 'K. V. C. Westerlo', '2022-01-01'], ['Jaroslav Kostelný', 'startMemberOf', 'MFK Karviná', '2022-01-01']]
[['Ke Li', 'endMemberOf', 'Dumbarton F. C.', '2022-01-01'], ['Mariana Hinzmann', 'endMemberOf', 'Club Universitario de Deportes', '2022-01-01'], ['Maksym Havrylenko', 'startMemberOf', 'FC Stal Alchevsk', '2022-01-01'], ['Berta Gumí-Audenis', 'startMemberOf', 'Sunderland Nissan F. C.', '2022-01-01']]
[['Aleksandr Simonenko', 'startMemberOf', 'FC Sibiryak Bratsk', '2022-01-01'], ['Back Young-chul', 'startMemberOf', 'Júbilo Iwata', '2022-01-01'], ['Attila Farkas', 'startMemberOf', 'Fehérvár FC', '2022-01-01'], ['Alan Stubbs', 'startMemberOf', 'Ottawa Fury FC', '2022-01-01']]
[['Luke Chambers', 'startMemberOf', 'Lincoln United F. C.', '2022-01-01'], ['Aleksei Ilatovskiy', 'startMemberOf', 'FK Ventspils', '2022-01-01'], ['Muhammad Ridwan', 'startMemberOf', 'Persepam Madura Utama', '2022-01-01'], ['Mirko Lamantia', 'endMemberOf', 'Borgosesia Calcio', '2022-01-01']]
[['Andreas Raudsepp', 'endMemberOf', 'Estonia national under-21 football team', '2022-01-24'], ['Frank Boeckx', 'endMemberOf', 'R. S. C. Anderlecht', '2022-01-24'], ['Ivan Cacchioli', 'startMemberOf', 'A. S. Pro Piacenza 1919', '2022-01-25'], ['Kevin Keen', 'startMemberOf', 'Mossley A. F. C.', '2022-01-26']]
[['Ergin Keleş', 'startMemberOf', 'PFC Akademik Sofia', '2022-01-26'], ['Lhadji Badiane', 'endMemberOf', 'L\' Aquila Calcio 1927', '2022-01-26'], ['Marco de Luigi', 'startMemberOf', 'Stade Lavallois', '2022-01-26'], ['Wanda Niemyska', 'endWorksFor', 'AD Alcorcón', '2022-01-26']]
[['Artemi Maleyev', 'startMemberOf', 'FC Volga Ulyanovsk', '2022-01-26'], ['Koken Kato', 'startMemberOf', 'Júbilo Iwata', '2022-01-26'], ['Lucas Radebe', 'endMemberOf', 'Fehérvár FC', '2022-01-26'], ['Sergiu Diaconu', 'startMemberOf', 'FC Saxan', '2022-01-26']]
[['Peter Franquart', 'startMemberOf', 'FC Andorra', '2022-01-26'], ['Canton De Cayenne-4 Centre', 'startMemberOf', 'Queen\' s Park F. C.', '2022-01-26'], ['Costa Nhamoinesu', 'startMemberOf', 'Simba S. C.', '2022-01-26'], ['Tony Griffiths', 'endMemberOf', 'Longford Town F. C.', '2022-01-26']]
[['Tevfik Altındağ', 'startMemberOf', 'Club Athletico Paranaense', '2022-01-31'], ['Frédéric Viseux', 'endMemberOf', 'ÉF Bastia', '2022-01-31'], ['John F. Gunion', 'endWorksFor', 'FK Ventspils', '2022-01-31'], ['Laura N Afanador-Barajas', 'startMemberOf', 'NK Olimpija Ljubljana', '2022-01-31']]
[['Sławomir Majak', 'startMemberOf', 'Concordia Piotrków Trybunalski', '2022-01-31'], ['Jean Maleb', 'startMemberOf', 'Yatel F. C.', '2022-01-31'], ['Michael Guevara', 'startMemberOf', 'Coronel Bolognesi', '2022-01-31'], ['Ashlee Pistorius', 'startMemberOf', 'MagicJack ( WPS)', '2022-01-31']]
[['Akin Tascikaraoglu', 'startMemberOf', 'PFC Akademik Sofia', '2022-02-01'], ['Yeray Ortega Guarda', 'startMemberOf', 'T. Palm– Pôle Continental Wallon', '2022-02-01'], ['Corey Whisenhunt', 'startMemberOf', 'Newtown United FC', '2022-02-01'], ['Tamer Haj Mohamad', 'startMemberOf', 'Al-Jazeera SC ( Amman)', '2022-02-01']]
[['Tamás Takács ( footballer, born 1979)', 'endMemberOf', '1. FC Lübars', '2022-02-01'], ['John Reed ( footballer)', 'endMemberOf', 'Ilkeston Town F. C. ( 1945)', '2022-02-01'], ['Claus Grzeskowiak', 'endWorksFor', 'Hertha BSC II', '2022-02-01'], ['Lea Awai', 'startMemberOf', 'Royal Géants Athois', '2022-02-01']]
[['Joep van den Ouweland', 'endMemberOf', 'Go Ahead Eagles', '2022-02-01'], ['Mohammed Taqi Al-Lawati', 'startMemberOf', 'Al-Shamal SC', '2022-02-01'], ['Sergei Grigoryevich Gorbunov', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-02-01'], ['Yevgeni Aleksandrovich Smirnov', 'startMemberOf', 'FC Krasnodar', '2022-02-01']]
[['Aleksey Yevseyev', 'endMemberOf', 'Russia national under-21 football team', '2022-02-01'], ['Yue Pan', 'endMemberOf', 'R. S. C. Anderlecht', '2022-02-01'], ['Ali Koiki', 'startMemberOf', 'FC Volyn Lutsk', '2022-02-01'], ['Scott Leitch', 'startMemberOf', 'Mansfield Town F. C.', '2022-02-01']]
[['Igor Pisanjuk', 'startMemberOf', 'Ottawa Fury FC', '2022-02-01'], ['Arif Suyono', 'startMemberOf', 'Persepam Madura Utama', '2022-02-01'], ['Matej Jonjić', 'startMemberOf', 'SC Zofingen', '2022-02-01'], ['Ondřej Vaněk', 'startMemberOf', 'Fehérvár FC', '2022-02-01']]
[['Bryan Rabello', 'startMemberOf', 'Mossley A. F. C.', '2022-02-01'], ['Ólafur Karl Finsen', 'endMemberOf', 'Stjarnan men\' s football', '2022-02-01'], ['Le U0027 Vonn Jordan', 'endWorksFor', 'Darıca Gençlerbirliği', '2022-02-01'], ['Daniil Mots', 'startMemberOf', 'Belarus National Under-23 Football Team', '2022-02-01']]
[['Ilija Nestorovski', 'endMemberOf', '1. FC Slovácko', '2022-02-01'], ['Chema ( footballer, born 1980)', 'endMemberOf', 'Xanthi F. C.', '2022-02-01'], ['Thomas Lacroix', 'startMemberOf', 'Dumbarton F. C.', '2022-02-01'], ['Mohsen Bengar', 'startMemberOf', 'Al Ahli SC ( Doha)', '2022-02-01']]
[['Frank Karreman', 'startMemberOf', 'FC Vestsjælland', '2022-02-01'], ['Malte Grashoff', 'startMemberOf', 'VfR Aalen', '2022-02-01'], ['Danial Esmaeilifar', 'endMemberOf', 'Zob Ahan Esfahan F. C.', '2022-02-01'], ['Sergej Milinković-Savić', 'startMemberOf', 'Serbia national football team generic instance', '2022-02-01']]
[['Dustin Maldonado', 'endMemberOf', 'Club Blooming', '2022-02-01'], ['Nikolaos Nikolaou', 'endWorksFor', 'Busan IPark', '2022-02-01'], ['Marcello La Rosa', 'endMemberOf', 'Vila Nova Futebol Clube', '2022-02-01'], ['Nikola Lazetić', 'endWorksFor', 'SK Dynamo České Budějovice', '2022-02-01']]
[['Victor Andrag', 'startMemberOf', 'Grêmio Foot-Ball Porto Alegrense', '2022-02-01'], ['Dúber Zapata', 'startMemberOf', 'Coronel Bolognesi', '2022-02-01'], ['Corentin Martins', 'endMemberOf', 'Clermont Foot', '2022-02-01'], ['Khaled Al Zaher', 'startMemberOf', 'Asteras Magoula F. C.', '2022-02-01']]
[['Lev Potapov', 'startMemberOf', 'FC Olimpia Volgograd', '2022-02-28'], ['Jonathan Reis', 'startMemberOf', 'Júbilo Iwata', '2022-02-28'], ['Nitipong Selanon', 'endMemberOf', 'Chonburi F. C.', '2022-02-28'], ['Sinan Gümüş', 'startMemberOf', 'Celtic F. C.', '2022-02-28']]
