[['Osniel Melgarejo', 'endMemberOf', 'Panathinaikos V. C.', '2026-01-01'], ['Coralie Lassource', 'endMemberOf', 'Apollo College Of Veterinary Medicine U002C Jaipur', '2026-01-01'], ['Raúl González ( handballer)', 'endMemberOf', 'BM Granollers', '2026-01-04'], ['Sabina Jacobsen', 'endMemberOf', 'Ikast Håndbold', '2026-01-31']]
[['Tal Linzen', 'startWorksFor', 'University of Colorado Boulder', '2026-04-01'], ['Jan Koenderink', 'endMemberOf', 'Happy Tooth Women\' s Racing', '2026-04-07'], ['Godelieve Laureys', 'startMemberOf', 'Golden State Warriors', '2026-04-14'], ['Marie-Luce Demonet', 'endWorksFor', 'University of Tours', '2026-04-18']]
[['Wallace Smith Broecker', 'startMemberOf', 'National University of Malaysia', '2026-05-01'], ['Murray Cox', 'startAcademicDegree', 'Master Of Creative Writing generic instance', '2026-05-01'], ['Oscar van Dillen', 'startMemberOf', 'Free Software Foundation', '2026-05-01'], ['Cátia Batista', 'endWorksFor', 'Trinity College Dublin', '2026-05-18']]
[['Gillian Hadfield', 'startMemberOf', 'Leibniz Institute For Tropospheric Research', '2026-06-01'], ['Robert Webster ( virologist)', 'endMemberOf', 'George Institute for Global Health', '2026-06-06'], ['Yasmine Romero', 'endWorksFor', 'University of Washington', '2026-06-20'], ['Martin S U002E Fischer', 'endMemberOf', 'Saxon Academy of Sciences and Humanities', '2026-06-21']]
[['Vincenzo Vitelli', 'startWorksFor', 'German Research Foundation', '2026-08-01'], ['Marie-Luce Demonet', 'endMemberOf', 'Chemnitz University of Technology', '2026-08-01'], ['Benjamin J U002E Dittbrenner', 'endWorksFor', 'Seattle University', '2026-08-01'], ['Luisa Elvira Belaunde', 'endWorksFor', 'Federal University of Rio de Janeiro', '2026-08-19']]
[['Christian Forestier', 'endWorksFor', 'University of Paris-Est Marne-la-Vallée', '2026-09-27'], ['Søren Salomo', 'endWorksFor', 'Technical University of Denmark', '2026-10-01'], ['Flor Maria Buitrago', 'endWorksFor', 'Muhlenberg College', '2026-10-12'], ['Raimund Karl', 'endWorksFor', 'Bangor University', '2026-11-12']]
[['Pierre-Louis Lions', 'endWorksFor', 'Collège de France', '2026-11-30'], ['Walter Alvarez', 'startMemberOf', 'German Research Foundation', '2026-11-30'], ['Arseny Mironov', 'startMemberOf', 'German Research Foundation', '2026-12-01'], ['Jesse G U002E Zalatan', 'endMemberOf', 'King Hussein Medical Center', '2026-12-13']]
[['Tahi Saihate', 'endMemberOf', 'Hong Kong University of Science and Technology', '2026-01-01'], ['Mihály Dresch', 'endMemberOf', 'Wayne State University', '2026-04-17'], ['Simon Greenhill', 'endWorksFor', 'University of Auckland', '2026-06-03'], ['Adriana Adolfi', 'endWorksFor', 'University of California, Irvine', '2026-06-15']]
[['Pelekas', 'endLocation', 'Corfu Municipality', '2026-01-05'], ['', 'endLocation', 'Lesbos Municipality', '2026-07-13'], ['Arkhangelskoye U002C Kirov Oblast', 'endLocation', '', '2026-10-08']]
[['Josephine Groenveld', 'endMemberOf', 'SD Worx', '2026-01-01'], ['Martín Garrido', 'endMemberOf', 'Relax– GAM', '2026-01-01'], ['Tristan Valentin', 'endMemberOf', 'Cofidis ( cycling team)', '2026-01-01'], ['José Luis Arrieta', 'endMemberOf', 'Association Sirocco', '2026-01-01']]
[['James Jobber', 'endMemberOf', 'Brunei Continental Cycling Team', '2026-01-05'], ['Maxime Chevalier', 'startMemberOf', 'Cambodia Cycling Academy', '2026-01-11'], ['Anna Badegruber', 'endMemberOf', 'Ceratizit– WNT Pro Cycling', '2026-01-15'], ['Max Sciandri', 'endMemberOf', 'Tinkoff ( cycling team)', '2026-01-22']]
[['Frøydis Meen Wærsted', 'endMemberOf', 'Team Coop– Hitec Products', '2026-01-26'], ['Tomoya Kano', 'startMemberOf', 'AG2R Citroën Team', '2026-01-26'], ['Sebastián Mora', 'startMemberOf', 'Vc Villefranche Beaujolais', '2026-01-26'], ['Scott Davies ( cyclist)', 'startMemberOf', 'Intermarché– Circus– Wanty', '2026-01-30']]
[['Dotsie Bausch', 'startMemberOf', 'Team DSM ( women\' s team)', '2026-01-31'], ['Joanna van de Winkel', 'startMemberOf', 'Multum Accountants Ladies Cycling Team', '2026-01-31'], ['Knut Landa', 'endMemberOf', 'Team Frøy– Bianchi', '2026-02-01'], ['Maxime Vantomme', 'endMemberOf', 'Mitsubishi– Jartazi', '2026-02-01']]
[['Gerald Ciolek', 'startMemberOf', 'AG2R Citroën Team', '2026-02-01'], ['Valentina Picca', 'startMemberOf', 'Born to Win G20 Ambedo', '2026-02-06'], ['Naomi De Roeck', 'startMemberOf', 'Lviv Cycling Team ( women\' s team)', '2026-02-15'], ['Massimo Giunti', 'startMemberOf', 'UAE Team Emirates', '2026-02-28']]
[['Samet Bulut', 'endMemberOf', 'Spor Toto Cycling Team', '2026-02-28'], ['Eider Mendizabal', 'endMemberOf', 'Bizkaia– Durango', '2026-03-01'], ['Adrian Tracy', 'startMemberOf', 'UAE Team Emirates', '2026-03-01'], ['Stefan Vreugdenhil', 'startMemberOf', 'Intermarché– Circus– Wanty', '2026-03-01']]
[['Davide Frattini', 'startMemberOf', 'UAE Team Emirates', '2026-03-10'], ['Dzmitry Zhyhunou', 'endMemberOf', 'Euskaltel– Euskadi', '2026-03-17'], ['Dave Bruylandts', 'endMemberOf', 'Domo– Farm Frites', '2026-03-19'], ['Guido Trentin', 'startMemberOf', 'AG2R Citroën Team', '2026-03-21']]
[['Guilherme Mota', 'startMemberOf', 'Burgos BH', '2026-04-01'], ['Molly Meyvisch', 'endMemberOf', 'Lotto Dstny Ladies', '2026-04-01'], ['Jean-Lou Paiani', 'endMemberOf', 'Go Sport– Roubaix– Lille Métropole', '2026-04-07'], ['Viesturs Lukševics', 'endMemberOf', 'Amore & Vita', '2026-04-08']]
[['Lorenzo Galimberti', 'startMemberOf', 'GW Shimano– Sidermec', '2026-04-14'], ['Alejandro Ropero', 'startMemberOf', '. 5 Continental Team', '2026-04-22'], ['Joschka Beck', 'startMemberOf', 'Veloclub Ratisbona', '2026-04-23'], ['Daniele Nardello', 'startMemberOf', 'AG2R Citroën Team', '2026-04-28']]
[['Giovanni Lonardi', 'endMemberOf', 'Green Project– Bardiani– CSF– Faizanè', '2026-05-01'], ['José Miguel Elías', 'startMemberOf', 'UAE Team Emirates', '2026-05-01'], ['Alexandre Seny', 'endMemberOf', 'T. Palm– Pôle Continental Wallon', '2026-05-01'], ['Ariadna Gutiérrez ( cyclist)', 'startMemberOf', 'Massi– Tactic Women Team', '2026-05-01']]
[['Sara Casasola', 'startMemberOf', 'Lviv Cycling Team ( women\' s team)', '2026-05-01'], ['Alison Tetrick', 'endMemberOf', 'A. R. Monex Women\' s Pro Cycling Team', '2026-05-01'], ['Sylvain Georges', 'startMemberOf', 'AG2R Citroën Team', '2026-05-10'], ['Alicia González Blanco', 'startMemberOf', 'Wielerclub De Sprinters Malderen', '2026-05-14']]
[['Sebastian Salas', 'endMemberOf', 'Human Powered Health ( men\' s team)', '2026-05-16'], ['Eloy Teruel', 'startMemberOf', 'UAE Team Emirates', '2026-05-16'], ['Larssyn Rüegg', 'startMemberOf', 'Équipe Paule Ka', '2026-05-28'], ['Matthew Goss', 'endMemberOf', 'Team Qhubeka NextHash', '2026-05-30']]
[['Abdulhadi Alajmi', 'startMemberOf', 'Kuwait– Cartucho. es', '2026-06-01'], ['Jason Saltzman', 'startMemberOf', 'Intermarché– Circus– Wanty', '2026-06-01'], ['Anna Potokina', 'endWorksFor', 'Monterrey Institute of Technology and Higher Education', '2026-06-01'], ['Michele Merlo ( cyclist)', 'startMemberOf', 'UAE Team Emirates', '2026-06-03']]
[['Yoeri Havik', 'startMemberOf', 'Intermarché– Circus– Wanty', '2026-06-06'], ['Roland Thalmann', 'endMemberOf', 'Water Research Australia', '2026-06-06'], ['Antton Luengo', 'endMemberOf', 'Euskaltel– Euskadi ( 1994– 2013)', '2026-06-13'], ['Dominic Klemme', 'startMemberOf', 'AG2R Citroën Team', '2026-06-15']]
[['Louise Scupham', 'startMemberOf', 'Vib-Natural Greatness', '2026-06-20'], ['Kamil Małecki', 'startMemberOf', 'Intermarché– Circus– Wanty', '2026-06-20'], ['Nariyuki Masuda', 'endMemberOf', 'Eqa-Meitan Hompo-Graphite Design', '2026-06-30'], ['Pavlo Kazarin', 'startWorksFor', 'Cofidis ( cycling team)', '2026-06-30']]
[['Jayson Valade', 'startMemberOf', 'Hincapie– Leomo p u002F b BMC', '2026-06-30'], ['Davide Plebani', 'endMemberOf', 'Biesse Arvedi', '2026-07-01'], ['Christian Charrière', 'startMemberOf', 'UAE Team Emirates', '2026-07-01'], ['Marieke Den Otter', 'startMemberOf', 'AG Insurance– Soudal– Quick-Step', '2026-07-01']]
[['Dimitri Le Boulch', 'endMemberOf', 'St. Michel– Mavic– Auber93 ( men\' s team)', '2026-07-01'], ['Adrie Lindeman', 'endMemberOf', 'Riwal Cycling Team', '2026-07-01'], ['Andrew Vollmer', 'endMemberOf', 'Aevolo', '2026-07-13'], ['Jin Okubo', 'startMemberOf', 'Nippo– Vini Fantini– Faizanè', '2026-07-13']]
[['Leonardo Scarselli', 'startMemberOf', 'AG2R Citroën Team', '2026-07-13'], ['Antonio Cruz ( cyclist)', 'endMemberOf', 'Toyota– United', '2026-07-13'], ['Katrien Van Looy', 'endMemberOf', 'Lotto Dstny Ladies', '2026-07-16'], ['Vitaliy Buts', 'startMemberOf', 'Intermarché– Circus– Wanty', '2026-07-21']]
[['Brendan Rhim', 'endMemberOf', 'EvoPro Racing', '2026-07-30'], ['Anders Halland Johannessen', 'startMemberOf', 'Joker Fuel of Norway', '2026-07-31'], ['Péter Kusztor', 'startMemberOf', 'AG2R Citroën Team', '2026-07-31'], ['Moreno De Pauw', 'startMemberOf', 'Intermarché– Circus– Wanty', '2026-07-31']]
[['Songezo Jim', 'startMemberOf', 'UAE Team Emirates', '2026-08-01'], ['Daniel Mestre', 'endMemberOf', 'Glassdrive– – Anicolor', '2026-08-01'], ['Ukko Peltonen', 'startMemberOf', 'Groupama– FDJ Continental Team', '2026-08-01'], ['Eleonora Soldo', 'endMemberOf', 'ACS Cycling Chirio– Casa Giani', '2026-08-01']]
[['Aritz Bagües', 'endMemberOf', 'Euskadi– Murias', '2026-08-01'], ['Niamh Fisher-Black', 'startMemberOf', 'Team Illuminate ( women\' s team)', '2026-08-04'], ['Mikkel Kastrup', 'endMemberOf', 'Aalborg Cykle-Ring', '2026-08-11'], ['Daniil Nikulin', 'startMemberOf', 'GW– Shimano', '2026-08-20']]
[['Steff Cras', 'startMemberOf', 'Intermarché– Circus– Wanty', '2026-08-29'], ['Tobias Bayer', 'startMemberOf', 'UAE Team Emirates', '2026-08-30'], ['Stijn Vandenbergh', 'startMemberOf', 'UAE Team Emirates', '2026-09-01'], ['Louis Visser', 'startMemberOf', 'Bike Aid', '2026-09-01']]
[['Bartosz Warchoł', 'startMemberOf', 'Germany national football team generic instance', '2026-09-02'], ['Lucas Carstensen', 'endMemberOf', 'Ked-Stevens Radteam Berlin', '2026-09-03'], ['Florent Castellarnau', 'startMemberOf', 'UAE Team Emirates', '2026-09-05'], ['Linus Gerdemann', 'startMemberOf', 'AG2R Citroën Team', '2026-09-09']]
[['Brad Huff', 'startMemberOf', 'UAE Team Emirates', '2026-09-18'], ['Kimberly Baldwin', 'endMemberOf', 'Velocio– SRAM Pro Cycling', '2026-10-01'], ['Samuele Marzoli', 'startMemberOf', 'AG2R Citroën Team', '2026-10-01'], ['Marta Tagliaferro', 'endMemberOf', 'UAE Team ADQ', '2026-10-01']]
[['Jürgen Roelandts', 'endMemberOf', 'CCC Pro Team', '2026-10-08'], ['Lorenzo Gobbo', 'startMemberOf', 'Work Service– Vitalcare– Dynatek', '2026-10-17'], ['Veronika Kormos', 'startMemberOf', 'Multum Accountants Ladies Cycling Team', '2026-10-27'], ['Julián Arredondo', 'endMemberOf', 'Trek– Segafredo ( men\' s team)', '2026-10-29']]
[['Andrii Ponomar', 'startMemberOf', 'Work Service– Vitalcare– Dynatek', '2026-10-31'], ['Madeleine Sandig', 'startMemberOf', 'Lotto Dstny Ladies', '2026-10-31'], ['Sophie Matte', 'startMemberOf', 'Virginia\' s Blue Ridge– TWENTY24', '2026-11-01'], ['Kasper Due Kaspersen', 'startMemberOf', 'Team Georg Berg', '2026-11-04']]
[['Denis Zhujkov', 'startMemberOf', 'Itera– Katusha', '2026-11-16'], ['Manuel Sola', 'endMemberOf', 'Burgos BH', '2026-11-19'], ['José Manuel Maestre Rodríguez', 'startMemberOf', 'UAE Team Emirates', '2026-11-20'], ['Sébastien Chavanel', 'startMemberOf', 'CIC U Nantes Atlantique', '2026-11-20']]
[['Nicolas Inaudi', 'startMemberOf', 'AG2R Citroën Team', '2026-11-23'], ['Mathilde Estvan-Slonina', 'startMemberOf', 'Team Abc Junior', '2026-11-23'], ['Christoph Meschenmoser', 'startMemberOf', 'AG2R Citroën Team', '2026-11-23'], ['Alexandre Blain', 'startMemberOf', 'AG2R Citroën Team', '2026-11-26']]
[['Marco Villa', 'endMemberOf', 'Mobilvetta Design', '2026-11-27'], ['Leonel Quintero', 'startMemberOf', 'Matrix Powertag', '2026-11-27'], ['Georg Zimmermann', 'startMemberOf', 'UAE Team Emirates', '2026-12-01'], ['Ronan Racault', 'startMemberOf', 'Philippe Wagner Cycling', '2026-12-01']]
[['Sebastian Kirkedam Larsen', 'endMemberOf', 'Spanish National Center for Biotechnology', '2026-12-01'], ['Julien Duval', 'startMemberOf', 'CIC U Nantes Atlantique', '2026-12-01'], ['Marlijn Binnendijk', 'startMemberOf', 'Wiggle High5 Pro Cycling', '2026-12-01'], ['Oscar Gatto', 'endMemberOf', 'Gerolsteiner ( cycling team)', '2026-12-05']]
[['Paul Martens', 'startMemberOf', 'AG2R Citroën Team', '2026-12-13'], ['Xavier Tondo', 'startMemberOf', 'AG2R Citroën Team', '2026-12-20'], ['Stefano Moro', 'startMemberOf', 'UAE Team Emirates', '2026-12-29'], ['Ludovic Auger', 'startMemberOf', 'CIC U Nantes Atlantique', '2026-12-29']]
[['Ismael Grospe', 'endMemberOf', 'Go for Gold Philippines', '2026-12-31'], ['Alo Jakin', 'startMemberOf', 'AG2R Citroën Team', '2026-12-31'], ['Michael Schär', 'endMemberOf', 'Astana Qazaqstan Team', '2026-12-31'], ['Marc Dörrie', 'startWorksFor', 'National Institute for Interdisciplinary Science and Technology', '2026-12-31']]
[['Jonathan Milligan', 'endMemberOf', 'Pittsburgh Panthers men\' s basketball', '2026-01-01'], ['Brandon Jennings', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01'], ['Rahamanh Katumbusi Ii', 'startMemberOf', 'Team FOG Næstved', '2026-01-01'], ['Spirit Ricks', 'startMemberOf', 'Tulane Green Wave men\' s basketball', '2026-01-01']]
[['Andre Walker', 'endMemberOf', 'Hofstra Pride men\' s basketball', '2026-01-01'], ['Javier Duren', 'endMemberOf', 'Yale Bulldogs men\' s basketball', '2026-01-01'], ['Johndre Jefferson', 'startMemberOf', 'Soles de Mexicali', '2026-01-01'], ['Tremain Holloway', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['Jeremy Chappell', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01'], ['Alex Owumi', 'endMemberOf', 'Alcorn State Braves basketball', '2026-01-01'], ['Jean Cajou', 'startMemberOf', 'Texas Longhorns men\' s basketball', '2026-01-01'], ['Tony Johnson', 'startMemberOf', 'Albacete Basket', '2026-01-01']]
[['Randy Williams', 'startMemberOf', 'CB Estudiantes', '2026-01-01'], ['Alex Bazzell', 'endWorksFor', 'Colorado State University', '2026-01-01'], ['Marla Brumfield', 'startMemberOf', 'Houston Comets', '2026-01-01'], ['Omar Israel Jaime', 'startMemberOf', 'Club Atlético Atlanta', '2026-01-01']]
[['Pat Spencer', 'endMemberOf', 'Northwestern Wildcats men\' s basketball', '2026-01-07'], ['Jeremy Reedal', 'startMemberOf', 'S. C. Lusitânia ( basketball)', '2026-01-10'], ['Raúl Iznata Zabala', 'endMemberOf', 'Pittsburgh Panthers men\' s basketball', '2026-01-14'], ['Dewayne Wright', 'startMemberOf', 'Germany national under-20 football team generic instance', '2026-01-14']]
[['Branden Doughty', 'endMemberOf', 'Coppin State Eagles men\' s basketball', '2026-01-18'], ['Victor Uyaelunmo', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-19'], ['Andrew Wiedeman', 'startMemberOf', 'CA Saint-Étienne Loire Sud Rugby', '2026-01-23'], ['Demarqus James', 'startMemberOf', 'HTV Basket', '2026-01-26']]
[['Alex Kellogg', 'endMemberOf', 'Grand Est-Komugi-La Fabrique', '2026-01-26'], ['Alex Wegner', 'startMemberOf', 'Maccabi Rishon LeZion ( basketball)', '2026-01-26'], ['Tim Long', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-27'], ['Jaylen Johnson', 'endMemberOf', 'Louisville Cardinals men\' s basketball', '2026-01-28']]
[['Justin Cobbs', 'startMemberOf', 'Beşiktaş J. K. ( men\' s basketball)', '2026-01-31'], ['Cedric Martin', 'startMemberOf', 'Memphis Grizzlies', '2026-01-31'], ['Marcus Clift', 'endMemberOf', 'Montana State Bobcats men\' s basketball', '2026-01-31'], ['Aleksei Filippov ( footballer, born 1973)', 'endMemberOf', 'CB Gran Canaria', '2026-02-01']]
[['Mike Himes', 'startMemberOf', 'Xavier Musketeers men\' s basketball', '2026-02-01'], ['Tim Pickett', 'endMemberOf', 'Florida State Seminoles men\' s basketball', '2026-02-01'], ['Dedric Lawson', 'endMemberOf', 'Kansas Jayhawks men\' s basketball', '2026-02-01'], ['Marino Baždarić', 'endMemberOf', 'KK Cedevita Junior', '2026-02-01']]
[['Terrell Miller ( basketball)', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-02-01'], ['Luigi Gallo', 'endMemberOf', 'Towson Tigers men\' s basketball', '2026-02-01'], ['Robert Cosialls', 'startMemberOf', 'CB Zamora', '2026-02-01'], ['Michael Ott', 'startMemberOf', 'Fortitudo Agrigento', '2026-02-01']]
[['Skip Mills', 'startMemberOf', 'Western Kentucky Hilltoppers basketball', '2026-02-01'], ['Justin Petty', 'endMemberOf', 'Gazi University', '2026-02-01'], ['Bradley George', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-02-01'], ['Jahmiah Simmons', 'startMemberOf', 'BC Titebi', '2026-02-01']]
[['Tre Scott', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-02-02'], ['Luke Neff', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-02-02'], ['Cheick Sy-Savane', 'startMemberOf', 'Eastern Michigan Eagles men\' s basketball', '2026-02-06'], ['Kerbrell Brown', 'startMemberOf', 'Soles de Mexicali', '2026-02-08']]
[['Alex Tyler', 'endMemberOf', 'Cornell Big Red men\' s basketball', '2026-02-14'], ['Alex Zimnickas', 'startMemberOf', 'Western Kentucky Hilltoppers basketball', '2026-02-17'], ['Yūsuke Takamatsu', 'endMemberOf', 'Passlab Yamagata Wyverns', '2026-02-22'], ['Cameron Jordan', 'endMemberOf', 'Tennessee State Tigers basketball', '2026-02-24']]
[['Chris Moore', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-02-25'], ['Eric Channing', 'endMemberOf', 'Yulon Luxgen Dinos', '2026-02-28'], ['Kevin Bettencourt', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-02-28'], ['Benjamin Gorka', 'endMemberOf', 'US Dax', '2026-03-01']]
[['Phil Christensen', 'endMemberOf', 'Tulane Green Wave men\' s basketball', '2026-03-01'], ['Josh Clemons', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-03-01'], ['Louis Birdsong', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-03-01'], ['Aleksandar Kirovski', 'startMemberOf', 'Wellington cricket team', '2026-03-01']]
[['Marcus Brown', 'startMemberOf', 'CB Breogán', '2026-03-01'], ['Evan Fisher', 'startMemberOf', 'Kagoshima Rebnise', '2026-03-01'], ['Wali Parks', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-03-01'], ['Terrance Grier', 'startMemberOf', 'Xavier Musketeers men\' s basketball', '2026-03-01']]
[['Kendall Jagdeosingh', 'startMemberOf', 'Oregon Ducks men\' s basketball', '2026-03-01'], ['Miles Davis', 'endMemberOf', 'Cal State Fullerton Titans men\' s basketball', '2026-03-01'], ['Jim Howell', 'startMemberOf', 'Northeastern Huskies men\' s basketball', '2026-03-01'], ['Deion Clark', 'startMemberOf', 'Radford Highlanders men\' s basketball', '2026-03-01']]
[['Justin Childs', 'endMemberOf', 'UT Martin Skyhawks men\' s basketball', '2026-03-01'], ['Tim Toler', 'endMemberOf', 'Northern Illinois Huskies men\' s basketball', '2026-03-01'], ['Mike Jones', 'startMemberOf', 'Chiba Jets Funabashi', '2026-03-03'], ['Mac Wilkinson', 'endMemberOf', 'Howard Bison men\' s basketball', '2026-03-05']]
