[['Clint Hill ( Secret Service)', 'endMemberOf', 'Arkansas– Pine Bluff Golden Lions men\' s basketball', '2026-01-01']]
[['Johnathan Loyd', 'endMemberOf', 'Oregon Ducks men\' s basketball', '2026-01-01']]
[['Takalani G Tshitangano', 'endMemberOf', 'Pallacanestro Reggiana', '2026-01-01']]
[['Dean Andretta', 'startMemberOf', 'UC Irvine Anteaters men\' s basketball', '2026-01-01']]
[['Saša Bjelanović', 'endMemberOf', 'University of Southern Mississippi', '2026-01-01']]
[['Silvia Bolzani', 'startMemberOf', 'Hull F. C.', '2026-01-01']]
[['Brian van Goethem', 'endMemberOf', 'Roompot– Charles', '2026-01-01']]
[['Frank Kaderabek', 'endWorksFor', 'Philadelphia Orchestra', '2026-01-01']]
[['Shayne O\' Connor', 'endMemberOf', 'New Zealand national cricket team', '2026-01-01']]
[['Araceli Sánchez-López', 'endMemberOf', 'Brunel University Department Of Clinical Sciences', '2026-01-01']]
[['Khaled Mohamed', 'startMemberOf', 'FC Groningen', '2026-01-01']]
[['Naohiro Oyama', 'endMemberOf', 'Uppsala University', '2026-01-01']]
[['Pavel Novak', 'startMemberOf', 'FC BATE Borisov', '2026-01-01']]
[['Ivan Savin', 'startMemberOf', 'RCD Espanyol', '2026-01-01']]
[['Marios Christodoulou', 'endMemberOf', 'UC Santa Barbara Gauchos men\' s basketball', '2026-01-01']]
[['Jim Edmond', 'endMemberOf', 'Aris Thessaloniki F. C.', '2026-01-01']]
[['Bryan Comeaux', 'endMemberOf', 'Monmouth Hawks men\' s basketball', '2026-01-01']]
[['Alessandro Pilloni', 'endMemberOf', 'Samsunspor', '2026-01-01']]
[['Diwakar Davar', 'endWorksFor', 'University of Pittsburgh Medical Center', '2026-01-01']]
[['William Jacobsen', 'endWorksFor', 'University of Nevada, Reno', '2026-01-01']]
[['Nicola Fuchs-Schündeln', 'startMemberOf', 'S. L. Benfica', '2026-01-01']]
[['Benjamin Bosmans-Verdonk', 'startMemberOf', 'Colchester United F. C.', '2026-01-01']]
[['Doug Brittelle', 'endMemberOf', 'Rutgers Scarlet Knights men\' s basketball', '2026-01-01']]
[['Rupak Dua', 'endWorksFor', 'Hampden– Sydney College', '2026-01-01']]
[['Alex T L Leong', 'endWorksFor', 'University of Hong Kong', '2026-01-01']]
[['Wes Durston', 'endMemberOf', 'Derbyshire County Cricket Club', '2026-01-01']]
[['Aziz Mashaan', 'endMemberOf', 'Kuwait national under-23 football team', '2026-01-01']]
[['Jeff Bierly', 'endMemberOf', 'UMass Minutemen basketball', '2026-01-01']]
[['Elisabetta Punta', 'endWorksFor', 'University of Genoa', '2026-01-01']]
[['Guillaume Vincent', 'endWorksFor', 'Pierre and Marie Curie University', '2026-01-01']]
[['Darren Rice', 'startMemberOf', 'ADO Den Haag', '2026-01-01']]
[['Sylvain Le Gall', 'endWorksFor', 'University of Lorraine', '2026-01-01']]
[['Nancy Peña', 'startMemberOf', 'La Trobe University', '2026-01-01']]
[['Nicky White', 'endMemberOf', 'England national rugby league team', '2026-01-01']]
[['Gurgen Sahakyan', 'startMemberOf', 'PFC Beroe Stara Zagora', '2026-01-01']]
[['Sergei Aleinikov', 'endMemberOf', 'Federal University of Paraíba', '2026-01-01']]
[['Faruk Hujdurović', 'endMemberOf', 'SV Ried', '2026-01-01']]
[['Serhiy Morozov ( footballer, b. 1950)', 'endMemberOf', 'U. S. Lecce', '2026-01-01']]
[['Thomas Thompson ( cricketer)', 'endMemberOf', 'Cumbria County Cricket Club', '2026-01-01']]
[['Elliot Käck', 'startMemberOf', 'Democrats of the Left', '2026-01-01']]
[['Delonte Taylor', 'endMemberOf', 'UC Riverside Highlanders men\' s basketball', '2026-01-01']]
[['Shamrock', 'startMemberOf', 'LSU Tigers men\' s basketball', '2026-01-01']]
[['Pierluigi Casolaro', 'endWorksFor', 'Infn Sezione Di Napoli', '2026-01-01']]
[['Wang Jianan ( footballer)', 'endMemberOf', 'Guangzhou City F. C.', '2026-01-01']]
[['Rosane Härter Griep', 'endMemberOf', 'MTV Ingolstadt', '2026-01-01']]
[['José López Silva ( footballer)', 'endMemberOf', 'Orihuela CF', '2026-01-01']]
[['Sara R Fernandes', 'endWorksFor', 'Faculty Of Pharmacy Of The University Of Porto', '2026-01-01']]
[['Neil C Doherty', 'endWorksFor', 'Vernalis Plc', '2026-01-01']]
[['Kazi Nazrul Islam', 'startMemberOf', 'German Research Foundation', '2026-01-01']]
[['Andrzej Gąsiorowski', 'startMemberOf', 'Aris Thessaloniki F. C.', '2026-01-01']]
[['Péter Jánosi', 'endWorksFor', 'Hungarian State Opera', '2026-01-01']]
[['Roger K Sunahara', 'endWorksFor', 'University of Michigan', '2026-01-01']]
[['Marcus Pillow', 'endMemberOf', 'Central Arkansas Bears basketball', '2026-01-01']]
[['John Davis ( cricketer, born 1939)', 'endMemberOf', 'Hertfordshire County Cricket Club', '2026-01-01']]
[['Wyatt Hagerty', 'endMemberOf', 'Colgate Raiders men\' s basketball', '2026-01-01']]
[['Rannva Joensen', 'startMemberOf', 'Salisbury City F. C.', '2026-01-01']]
[['Vladislav Rubin', 'endMemberOf', 'Fc Smiautotrans Smolevichi', '2026-01-01']]
[['Peio Goikoetxea', 'startMemberOf', 'German Research Foundation', '2026-01-01']]
[['Megan Crane', 'endWorksFor', 'Doherty Institute', '2026-01-01']]
[['Bruce Grentz', 'endMemberOf', 'Holy Cross Crusaders men\' s basketball', '2026-01-01']]
[['Thomas Winkler', 'endWorksFor', 'University of Kassel', '2026-01-01']]
[['Xuan Zhang', 'startMemberOf', 'Istituto Nazionale Di Ricerca Metrologica', '2026-01-01']]
[['Bob Thurman', 'endMemberOf', 'Wichita State Shockers men\' s basketball', '2026-01-01']]
[['Azeem Banday', 'startMemberOf', 'German Research Foundation', '2026-01-01']]
[['Michael Pelst', 'endWorksFor', 'Research Foundation – Flanders ( FWO)', '2026-01-01']]
[['Ali Trotman', 'endMemberOf', 'Maryland Eastern Shore Hawks men\' s basketball', '2026-01-01']]
[['Ladislav Paule', 'endWorksFor', 'Technical University in Zvolen', '2026-01-01']]
[['Joe Scanlon', 'endMemberOf', 'Marquette Golden Eagles men\' s basketball', '2026-01-01']]
[['Andrew Wolthers', 'endMemberOf', 'Northern Arizona Lumberjacks men\' s basketball', '2026-01-01']]
[['Zevon Archibald', 'endMemberOf', 'Newtown United FC', '2026-01-02']]
[['Timothy J U002E Ritchie', 'endWorksFor', 'Novartis U0028 United Kingdom U0029 ', '2026-01-02']]
[['Charles C U002E Glass', 'endWorksFor', 'Howard University', '2026-01-03']]
[['Didier Agathe', 'startMemberOf', 'FK Rabotnički', '2026-01-04']]
[['Sven Otto Birkeland', 'endMemberOf', 'Gustavus Adolphus College', '2026-01-04']]
[['Thilina Surasinghe', 'endWorksFor', 'IK Start', '2026-01-04']]
[['Blake Lindenmeyer', 'startMemberOf', 'U. S. Avellino 1912', '2026-01-04']]
[['Ivan Zvyagin', 'endMemberOf', 'FC Khimik Dzerzhinsk', '2026-01-05']]
[['Jordon Mutch', 'endMemberOf', 'NK Dravograd', '2026-01-05']]
[['Derek Stokes', 'endMemberOf', 'Huddersfield Town A. F. C.', '2026-01-05']]
[['Miha Kline', 'endMemberOf', 'England national under-19 football team', '2026-01-05']]
[['Cláudia S Constantino', 'startMemberOf', 'FC Winterthur', '2026-01-05']]
[['Jayaram Lakshmaiah Narayana', 'endMemberOf', 'German Research Foundation', '2026-01-05']]
[['Odeon Kino', 'startMemberOf', 'German Research Foundation', '2026-01-06']]
[['Abhishek Bhandawat', 'endWorksFor', 'Institute of Himalayan Bioresource Technology', '2026-01-06']]
[['László Ovári', 'endWorksFor', 'Free University of Berlin', '2026-01-06']]
[['Lafayette Dorsey', 'endMemberOf', 'Pacific Tigers men\' s basketball', '2026-01-06']]
[['Nate Bailey', 'endMemberOf', 'Pittsburgh Panthers men\' s basketball', '2026-01-06']]
[['Tanju Kayhan', 'endMemberOf', 'Mersin İdman Yurdu', '2026-01-07']]
[['Anastasia Shuppo', 'endMemberOf', 'ZFK Zenit Saint Petersburg', '2026-01-07']]
[['Sergey Troyanov', 'endWorksFor', 'Moscow State University', '2026-01-09']]
[['Cédric Fabien', 'endMemberOf', 'Tours FC', '2026-01-09']]
[['Kornelius Normann Hansen', 'endMemberOf', 'Southampton F. C.', '2026-01-10']]
[['Syarhey Ignatovich', 'endMemberOf', 'FC Dynamo Brest', '2026-01-10']]
[['Kunszentmiklós', 'endLocation', 'Kecskemét District', '2026-01-11']]
[['Arne Månsson', 'endMemberOf', 'Trelleborgs FF', '2026-01-11']]
[['Marvin Morgan Jr.', 'endMemberOf', 'Jamaica national under-20 football team', '2026-01-11']]
[['Chris Kenny', 'endMemberOf', 'UCLA Bruins men\' s basketball', '2026-01-11']]
[['Keith Walker', 'endMemberOf', 'L U002E V U002E Gromashevsky Institute Of Epidemiology And Infectious Diseases Of The Nams Of Ukraine', '2026-01-11']]
[['Predrag Gajic', 'endWorksFor', 'Amiens SC', '2026-01-11']]
[['Francesca Brooks', 'endMemberOf', 'Georg-August-Universität Göttingen Universitätsmedizin', '2026-01-11']]
[['Mayara Santa Rosa Lima', 'endMemberOf', 'University of Freiburg', '2026-01-11']]
[['Mario Haynes', 'startMemberOf', 'US Dax', '2026-01-12']]
[['Aamahne Santos', 'endMemberOf', 'Jacksonville Dolphins men\' s basketball', '2026-01-12']]
[['Mat Keenan', 'endMemberOf', 'Samoa national rugby union team', '2026-01-13']]
[['Jens Henschel', 'endMemberOf', 'SV Falkensee-Finkenkrug', '2026-01-13']]
[['Mamdouh Farag', 'startWorksFor', 'River Volley', '2026-01-14']]
[['Alexey Lupachev', 'endWorksFor', 'Arctic and Antarctic Research Institute', '2026-01-14']]
[['Puiki Leung', 'endWorksFor', 'University of Warwick', '2026-01-14']]
[['Gustavo Figueroa', 'endMemberOf', 'C. D. El Nacional', '2026-01-15']]
[['Josep Elvira', 'startMemberOf', 'FC Anzhi Makhachkala', '2026-01-16']]
[['Kevin Seabury', 'endMemberOf', 'Welling United F. C.', '2026-01-16']]
[['Kristof Kovacs', 'endMemberOf', 'Borknagar', '2026-01-16']]
[['Dana Mcguffin', 'endMemberOf', 'FC Basel', '2026-01-16']]
[['Josh Davis ( basketball, born 1980)', 'endMemberOf', 'Wyoming Cowboys basketball', '2026-01-17']]
[['Jim Dudley', 'endMemberOf', 'Marquette Golden Eagles men\' s basketball', '2026-01-18']]
[['Adrian Szabo', 'endMemberOf', 'FC Precizia Săcele', '2026-01-18']]
[['Jestin Lewis', 'endMemberOf', 'Mercer Bears men\' s basketball', '2026-01-19']]
[['Livingston Vance Watrous', 'endWorksFor', 'American School of Classical Studies at Athens', '2026-01-20']]
[['Mohsen Ranjbaran', 'endWorksFor', 'Cornell University', '2026-01-20']]
[['Christine L U002E Williams', 'endMemberOf', 'Athletic Bilbao', '2026-01-21']]
[['Jeanne Nel De Koker', 'endWorksFor', 'IIE MSA', '2026-01-22']]
[['Zerihun Tadele', 'endWorksFor', 'Ethiopian Institute of Agricultural Research', '2026-01-22']]
[['Benny Parker', 'endMemberOf', 'Nebraska Cornhuskers men\' s basketball', '2026-01-23']]
[['Morten Kræmer', 'endMemberOf', 'Tromsdalen UIL', '2026-01-23']]
[['Flamie', 'endMemberOf', 'Natus Vincere', '2026-01-23']]
[['Mohammed A U002E Mansour', 'endWorksFor', 'Tanta University', '2026-01-23']]
[['Leonard Hayes', 'endMemberOf', 'Stony Brook Seawolves men\' s basketball', '2026-01-23']]
[['Zoltan Cseresnyes', 'endWorksFor', 'Max Delbrück Center for Molecular Medicine in the Helmholtz Association', '2026-01-24']]
[['Egor Babaev', 'endWorksFor', 'Cornell University', '2026-01-24']]
[['Stafford Gunning', 'endMemberOf', 'UTEP Miners men\' s basketball', '2026-01-24']]
[['Matt Vanabbema', 'endMemberOf', 'Western Michigan Broncos men\' s basketball', '2026-01-24']]
[['Saeed Banihashemi', 'endWorksFor', 'University of Technology Sydney', '2026-01-25']]
[['Mudassir Anwar', 'endWorksFor', 'Al Ain University', '2026-01-25']]
[['Micky Worswick', 'endWorksFor', 'German Research Foundation', '2026-01-26']]
[['Szabolcs Szunyogh', 'startMemberOf', 'Borussia Dortmund II', '2026-01-26']]
[['Cristina Tufarelli', 'endWorksFor', 'University of Nottingham', '2026-01-26']]
[['J James Esplin', 'endWorksFor', 'Los Alamos National Laboratory', '2026-01-26']]
[['Daniel Campos', 'endWorksFor', 'Microsoft Research', '2026-01-26']]
[['Paul A Hoskisson', 'endMemberOf', 'Chorale Roanne Basket', '2026-01-26']]
[['Greg Andrade', 'startMemberOf', 'Iceland national football team', '2026-01-26']]
[['Jim Kozak', 'endMemberOf', 'Detroit Mercy Titans men\' s basketball', '2026-01-26']]
[['Robert Little', 'endMemberOf', 'Utah Valley Wolverines men\' s basketball', '2026-01-26']]
[['Colin Berry', 'endMemberOf', 'Trinidad And Tobago National Under-23 Football Team', '2026-01-26']]
[['Misbaudeen Abdul-Hammed', 'endWorksFor', 'University of Bonn', '2026-01-26']]
[['Chen Jin ( computer scientist)', 'startMemberOf', 'Deportivo Toluca F. C.', '2026-01-26']]
[['Bertrand Visage', 'startMemberOf', 'Sydney Olympic FC', '2026-01-26']]
[['Miroslav Kasaj', 'startMemberOf', 'German Research Foundation', '2026-01-26']]
[['Anna Danesi', 'endMemberOf', '', '2026-01-26']]
[['Ken Hicks', 'startMemberOf', 'Team Manzana Postobón', '2026-01-26']]
[['Alexander Schur', 'endMemberOf', 'FSV Frankfurt', '2026-01-26']]
[['Emmanuel I Unuabonah', 'startMemberOf', 'Nîmes Olympique', '2026-01-26']]
[['Janusz Wojewoda', 'startMemberOf', 'Morgan State Bears men\' s basketball', '2026-01-26']]
[['Vladimir Petrović ( footballer, born 1972)', 'endMemberOf', 'Fortuna Düsseldorf', '2026-01-26']]
[['László Lovász', 'endMemberOf', 'LASK', '2026-01-26']]
[['Ken Randle', 'startMemberOf', 'Zhejiang Professional F. C.', '2026-01-26']]
[['Sosha Makani', 'endMemberOf', 'Naft Tehran F. C.', '2026-01-26']]
[['Nobby Clark ( footballer)', 'endMemberOf', 'Queen of the South F. C.', '2026-01-26']]
[['Jimmy Ines', 'endMemberOf', 'German Research Foundation', '2026-01-26']]
[['Mark O\' Connor ( footballer)', 'startMemberOf', 'C. D. Santa Clara', '2026-01-26']]
[['Flávia Gonçalves Fernandes', 'endWorksFor', 'University Of Uberaba', '2026-01-26']]
[['Tarn P Drylie', 'startMemberOf', 'Tufts Medical Center', '2026-01-26']]
[['Evaristo Beccalossi', 'endMemberOf', 'German Research Foundation', '2026-01-26']]
[['Yuta Baba', 'endMemberOf', 'Pordenone Calcio', '2026-01-26']]
[['Matt Carkner', 'startMemberOf', 'JEF United Chiba', '2026-01-26']]
[['Daniel C U002E Elias', 'endWorksFor', 'University of Manchester', '2026-01-26']]
[['Nuno Gomes ( footballer, born 1978)', 'endMemberOf', 'S. C. Campomaiorense', '2026-01-26']]
[['Miodrag Martać', 'startMemberOf', 'A. C. R. Siena 1904', '2026-01-26']]
[['Yu Qing Low', 'endWorksFor', 'Deakin University', '2026-01-26']]
[['David Landes', 'endWorksFor', 'Harvard University', '2026-01-26']]
[['Träskholmen', 'endLocation', 'Dragsfjärd', '2026-01-26']]
[['Ivo Wortmann', 'endMemberOf', 'Sociedade Esportiva Palmeiras', '2026-01-26']]
[['Amir Hossein Sadeghi', 'endMemberOf', 'Sanat Mes Kerman F. C.', '2026-01-27']]
[['Barbara Illi', 'endWorksFor', 'Casa Sollievo della Sofferenza', '2026-01-28']]
[['Montez Downey', 'endMemberOf', 'UNC Wilmington Seahawks men\' s basketball', '2026-01-29']]
[['Christine M Proulx', 'startMemberOf', 'Saint Mary\' s Gaels men\' s basketball', '2026-01-30']]
[['Adil Mezgour', 'endMemberOf', 'A. C. Bellaria Igea Marina', '2026-01-30']]
[['Marek Maciejewski', 'endMemberOf', 'Weltour', '2026-01-30']]
[['Christopher Mayes', 'startMemberOf', 'Hampshire County Cricket Club', '2026-01-30']]
[['Kitrick Taylor', 'endMemberOf', 'Washington State Cougars men\' s basketball', '2026-01-30']]
[['Walt Michaels', 'endMemberOf', 'New York Jets', '2026-01-31']]
[['Mike Butts', 'endMemberOf', 'Bucknell Bison men\' s basketball', '2026-01-31']]
[['Mokarram Hossain', 'endWorksFor', 'Northumbria University', '2026-01-31']]
[['Aleksandar Janković', 'endMemberOf', 'AS Cherbourg Football', '2026-01-31']]
[['Almazbek Mirzaliev', 'endMemberOf', 'Udon Thani F. C.', '2026-01-31']]
[['Karl-Gunnar Björklund', 'endMemberOf', 'IFK Värnamo', '2026-01-31']]
[['Luis Abram', 'endMemberOf', 'Julius-Maximilians-Universität Würzburg Institut Für Virologie Und Immunbiologie', '2026-01-31']]
[['Lynn Suber', 'endMemberOf', 'Texas A& M Aggies men\' s basketball', '2026-01-31']]
[['Risa Takenaka', 'endWorksFor', 'University of California, Los Angeles', '2026-01-31']]
[['Cornell Hardman', 'startMemberOf', 'Middlesbrough F. C.', '2026-01-31']]
[['Pramod Kumar', 'endWorksFor', 'University of Évry Val d\' Essonne', '2026-01-31']]
[['Suzanne L U002E Tomchuck', 'endWorksFor', 'St. Jude Children\' s Research Hospital', '2026-01-31']]
[['Phil Carter', 'endMemberOf', 'Jacksonville Dolphins men\' s basketball', '2026-01-31']]
[['John Marshall', 'endWorksFor', 'University of Southampton', '2026-01-31']]
[['Amadeo Carrizo', 'endMemberOf', 'Vrije Universiteit Brussel', '2026-01-31']]
[['Carlos Santiago Andreo', 'startMemberOf', 'Bradford City A. F. C.', '2026-01-31']]
[['Bruce Robison', 'endMemberOf', 'West Texas A U0026 M Buffaloes Men U0027 S Basketball', '2026-01-31']]
[['Yongtao Zhang', 'startMemberOf', 'SD Huesca', '2026-01-31']]
[['Victoria Budinger', 'startMemberOf', 'Sydney United 58 FC', '2026-01-31']]
[['Stephen Watts', 'endMemberOf', 'Bedfordshire County Cricket Club', '2026-01-31']]
[['Sky Frazier', 'endMemberOf', 'Meritorious Autonomous University of Puebla', '2026-01-31']]
[['Mike Wagner', 'endWorksFor', 'OK Vizura', '2026-01-31']]
[['Daniel Hewat', 'startMemberOf', 'Crystal Palace F. C.', '2026-01-31']]
[['Mustafa Abdi', 'endMemberOf', 'Al-Rayyan SC', '2026-01-31']]
[['Andrew Pr Eastwood', 'startMemberOf', 'FC Utrecht', '2026-01-31']]
[['Adam Ashe', 'endMemberOf', 'Scotland national under-20 rugby union team', '2026-01-31']]
[['Greg Stemrick', 'endMemberOf', 'Colorado State Rams men\' s basketball', '2026-01-31']]
[['Sarah Schröder', 'endMemberOf', 'FC Spartak Yoshkar-Ola', '2026-01-31']]
[['Kyle Jarvis', 'endMemberOf', 'Lancashire County Cricket Club', '2026-02-01']]
[['Don Hilton', 'startMemberOf', 'FC Tokyo', '2026-02-01']]
[['Sidney ( footballer, born 1972)', 'endMemberOf', 'Canoas Sport Club', '2026-02-01']]
[['Petr Vašek', 'endMemberOf', 'FC Tom Tomsk', '2026-02-01']]
[['Héléna Cazaute', 'endMemberOf', 'RC Cannes', '2026-02-01']]
[['Cheryl Foster', 'startWorksFor', '1. FC Schweinfurt 05', '2026-02-01']]
[['Cătălin Hîldan', 'endMemberOf', 'Romania national football team', '2026-02-01']]
[['Conner Coleman', 'endMemberOf', 'Jacksonville Dolphins men\' s basketball', '2026-02-01']]
[['Mitch Garcia', 'endMemberOf', 'FC Andorra', '2026-02-01']]
[['Little Dunkeld', 'endMemberOf', 'Suwaiq Club', '2026-02-01']]
[['Frédéric Abauzit', 'endMemberOf', 'Levante UD', '2026-02-01']]
[['Matthieu Boulo', 'startMemberOf', 'Santos FC', '2026-02-01']]
[['Dominique Schafer', 'endWorksFor', 'University of Rhode Island', '2026-02-01']]
[['Laetitia Chapeh', 'endMemberOf', 'KKPK Medyk Konin', '2026-02-01']]
[['Sergei Lavrentyev', 'endMemberOf', 'FC Torpedo-ZIL Moscow', '2026-02-01']]
[['Ndriçim Shtubina', 'endMemberOf', 'Flamurtari FC', '2026-02-01']]
[['Manuel Palacios', 'startMemberOf', 'ASV Neumarkt', '2026-02-01']]
[['Jean Perrot', 'endMemberOf', 'Loyola Ramblers men\' s basketball', '2026-02-01']]
[['Homa Majd', 'endMemberOf', 'Australia national rugby union team', '2026-02-01']]
[['Dennis Sørensen', 'endMemberOf', 'FC Vestsjælland', '2026-02-01']]
[['Francesco Giustiniano', 'startMemberOf', 'Doncaster Rovers F. C.', '2026-02-01']]
[['Alberto García ( footballer, born 1993)', 'endMemberOf', 'C. D. Guadalajara', '2026-02-01']]
[['Jean-Louis Beffa', 'endWorksFor', 'Staffordshire County Cricket Club', '2026-02-01']]
[['Marie Van Leeuwen', 'endWorksFor', 'De Koninklijke Porceleyne Fles', '2026-02-01']]
[['Robert Hawkins', 'endWorksFor', 'Western Colorado University', '2026-02-01']]
[['Roderick Bajada', 'startMemberOf', 'FC Gueugnon', '2026-02-01']]
[['Neville Bannister', 'endMemberOf', 'German Research Foundation', '2026-02-01']]
[['Pedro Beja', 'startMemberOf', 'Lincoln City F. C.', '2026-02-01']]
[['Jimena Berni', 'startMemberOf', 'Negeri Sembilan FC', '2026-02-01']]
[['Mathias Coureur', 'endMemberOf', 'Aarhus University', '2026-02-01']]
[['Benjamin Davies', 'startMemberOf', 'Darlington F. C.', '2026-02-01']]
[['Zahra Nochi', 'endWorksFor', 'FC Gueugnon', '2026-02-01']]
[['Robert Paris', 'endMemberOf', 'Aylesbury United F. C.', '2026-02-01']]
[['Akira Orimo', 'endWorksFor', 'University of Manchester', '2026-02-01']]
[['Daniel Ravier', 'endMemberOf', 'Kefalonia Municipality', '2026-02-01']]
[['Jose Luis Mosquera', 'endWorksFor', 'Institute for Research in Biomedicine', '2026-02-01']]
[['Dashon Burton', 'endMemberOf', 'Cantus ( vocal ensemble)', '2026-02-01']]
[['Letizia Giardinelli', 'endMemberOf', 'S. C. Michela Fanini Rox', '2026-02-01']]
[['Jameson Hayes', 'endMemberOf', 'University of Glasgow', '2026-02-01']]
[['José León De Carranza', 'startMemberOf', 'Mexico national football team generic instance', '2026-02-01']]
[['Mihail Paseciniuc', 'endMemberOf', 'FC Milsami Orhei', '2026-02-01']]
[['Doris Kolesch', 'startMemberOf', 'Sportivo Italiano', '2026-02-01']]
[['Cadinha', 'endMemberOf', 'Suwaiq Club', '2026-02-01']]
[['Oscar J Rocha', 'startMemberOf', 'RC Massy', '2026-02-01']]
[['K. Nanthakumar', 'startMemberOf', 'German Research Foundation', '2026-02-01']]
[['Fraser Gough', 'endMemberOf', 'Data3– Symantec Racing Team p u002F b Scody', '2026-02-01']]
[['Palmerinda Donato', 'endMemberOf', 'University of Giessen', '2026-02-01']]
[['Dušan Živković', 'endWorksFor', 'GW Shimano– Sidermec', '2026-02-01']]
[['Mariusz R Wieckowski', 'startMemberOf', 'Iowa State Cyclones men\' s basketball', '2026-02-01']]
[['Alba Timón-Gómez', 'endWorksFor', 'German Cancer Research Center', '2026-02-01']]
[['Guillermo McFarlane', 'endMemberOf', 'Wichita Wings', '2026-02-01']]
[['Jong Hun Kim', 'endWorksFor', 'Seoul National University', '2026-02-01']]
[['Yi-Ming Shi', 'endWorksFor', 'Goethe University Frankfurt', '2026-02-01']]
[['Shariar Md Abu Sohel', 'endWorksFor', 'University of Manchester', '2026-02-01']]
