[['Timur Melekestsev', 'endMemberOf', 'FC Dynamo Makhachkala', '2022-01-01']]
[['Jérémy Blasco', 'endMemberOf', 'Real Sociedad B', '2022-01-01']]
[['Ilya Kalachyov', 'startMemberOf', 'FC Olimp-Dolgoprudny', '2022-01-01']]
[['Hospital for Sick Children ( Toronto)', 'startMemberOf', 'Digital Research Alliance Of Canada', '2022-01-01']]
[['Kieran Trippier', 'endMemberOf', 'Atlético Madrid', '2022-01-01']]
[['McMaster University', 'startMemberOf', 'Digital Research Alliance Of Canada', '2022-01-01']]
[['Sebastian Schönberger', 'endMemberOf', 'B& B Hotels– KTM', '2022-01-01']]
[['Walter Cabral', 'endMemberOf', 'Fundación Lucentum Baloncesto', '2022-01-01']]
[['Dragoljub Jeremić', 'endNationality', 'Serbia', '2022-01-01']]
[['Vladislav Klimovich', 'startMemberOf', 'Gyirmót FC Győr', '2022-01-01']]
[['Unai Gómez', 'endMemberOf', 'CD Basconia', '2022-01-01']]
[['Peter Jameson', 'startMemberOf', 'Harrogate Town A. F. C.', '2022-01-01']]
[['Kang Sang-woo', 'endMemberOf', 'Pohang Steelers', '2022-01-01']]
[['Imanol García de Albéniz', 'endMemberOf', 'CD Mirandés', '2022-01-01']]
[['Jeff Xavier', 'endMemberOf', 'Oviedo CB', '2022-01-01']]
[['Javi Areso', 'endMemberOf', 'CA Pulpileño', '2022-01-01']]
[['Federico Gatti', 'endMemberOf', 'Frosinone Calcio', '2022-01-01']]
[['Atsushi Oka', 'endMemberOf', 'EF Education– Nippo Development Team', '2022-01-01']]
[['Alexandria University', 'startMemberOf', 'Association of African Universities', '2022-01-01']]
[['Reza Asadi', 'endMemberOf', 'Persepolis F. C.', '2022-01-01']]
[['Aitor Aranzabe', 'endMemberOf', 'CD Tudelano', '2022-01-01']]
[['Benjamin Corgnet', 'endMemberOf', 'Football Bourg-en-Bresse Péronnas 01', '2022-01-01']]
[['Toulouse III - Paul Sabatier University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Devon van Oostrum', 'startMemberOf', 'London Lions ( basketball)', '2022-01-01']]
[['Alejandro Galán Pozo', 'endMemberOf', 'Bilbao Basket', '2022-01-01']]
[['American University of Beirut', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Álex Urtasun', 'startMemberOf', 'CB Estudiantes', '2022-01-01']]
[['Marc Grau Tallada', 'endMemberOf', 'HC Liceo', '2022-01-01']]
[['Université du Québec en Abitibi-Témiscamingue', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['University of the Witwatersrand', 'startMemberOf', 'Association of African Universities', '2022-01-01']]
[['Imanol García de Albéniz', 'endMemberOf', 'Athletic Bilbao B', '2022-01-01']]
[['Joël Tchami', 'endMemberOf', 'SPA F. C.', '2022-01-01']]
[['Université Laval', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Kevin Pangos', 'startMemberOf', 'Cleveland Charge', '2022-01-01']]
[['Paula Nicart', 'endMemberOf', 'Sevilla FC', '2022-01-01']]
[['Kevin Bercy', 'endMemberOf', 'CB Almansa', '2022-01-01']]
[['Romain Hardy', 'endMemberOf', 'Arkéa– Samsic', '2022-01-01']]
[['Jaime Castrillo', 'endMemberOf', 'Equipo Kern Pharma', '2022-01-01']]
[['Kenny Hasbrouck', 'endMemberOf', 'Pallacanestro Biella', '2022-01-01']]
[['Peter Hegemann', 'startAward', 'Fellow Of The American Academy Of Arts And Sciences generic instance', '2022-01-01']]
[['Oscar Tshiebwe', 'startAward', 'Oscar Robertson Trophy', '2022-01-01']]
[['Unai Veiga', 'startMemberOf', 'Algeciras CF', '2022-01-01']]
[['Justinas Olechnavicius', 'endMemberOf', 'CB Almansa', '2022-01-01']]
[['Adriano Moke', 'startMemberOf', 'Darlington F. C.', '2022-01-01']]
[['Beñat Leiza', 'endMemberOf', 'SD Amorebieta', '2022-01-01']]
[['Sergio Mendiola', 'endMemberOf', 'Club Melilla Baloncesto', '2022-01-01']]
[['Davide Villella', 'startMemberOf', 'Cofidis ( cycling team)', '2022-01-01']]
[['Martín Bengoa', 'endMemberOf', 'Anagennisi Karditsa F. C.', '2022-01-01']]
[['Eva Hodanová', 'endMemberOf', 'Ladies In Black Aachen', '2022-01-01']]
[['Austrian Academy of Sciences', 'startMemberOf', 'International Science Council', '2022-01-01']]
[['University of Ottawa', 'startMemberOf', 'Digital Research Alliance Of Canada', '2022-01-01']]
[['Dwight Ramos', 'endMemberOf', 'Toyama Grouses', '2022-01-01']]
[['Luis Díaz ( Colombian footballer)', 'endMemberOf', 'FC Porto', '2022-01-01']]
[['Nir Bitton', 'endMemberOf', 'Celtic F. C.', '2022-01-01']]
[['Peter Jameson', 'endMemberOf', 'York City F. C.', '2022-01-01']]
[['Brandon Davies', 'endMemberOf', 'FC Barcelona Bàsquet', '2022-01-01']]
[['Yuriy Goltsev', 'endMemberOf', 'Okęcie Warsaw', '2022-01-01']]
[['Oleksandr Vasylyev', 'startMemberOf', 'FC Lviv', '2022-01-01']]
[['Alex De Souza', 'endMemberOf', 'Acadêmicos do Salgueiro', '2022-01-01']]
[['Cole Turner ( soccer)', 'endMemberOf', 'Philadelphia Union', '2022-01-01']]
[['Florin Gardoș', 'endMemberOf', 'Romania national football team', '2022-01-01']]
[['Pablo Ibáñez ( footballer, born 1998)', 'endMemberOf', 'CA Osasuna B', '2022-01-01']]
[['Pompeu Fabra University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Nick Pope ( footballer)', 'startMemberOf', 'Newcastle United F. C.', '2022-01-01']]
[['Gorka Iturraspe', 'endMemberOf', 'CF Rayo Majadahonda', '2022-01-01']]
[['Mawi Sánchez', 'startMemberOf', 'Unionistas de Salamanca CF', '2022-01-01']]
[['Xabier Naveira', 'startMemberOf', 'CD Laredo', '2022-01-01']]
[['Joris van Overeem', 'endPlaysIn', 'Eredivisie generic instance', '2022-01-01']]
[['Bulgarian Academy of Sciences', 'startMemberOf', 'InterAcademy Partnership', '2022-01-01']]
[['Nicolas Dalla Valle', 'startMemberOf', 'Giotti Victoria– Savini Due', '2022-01-01']]
[['Edoardo Zardini ( cyclist)', 'startMemberOf', 'GW Shimano– Sidermec', '2022-01-01']]
[['Carl Fredrik Hagen', 'endMemberOf', 'Israel– Premier Tech', '2022-01-01']]
[['Hanna Orthmann', 'endMemberOf', 'Pallavolo Scandicci', '2022-01-01']]
[['Yonkaira Peña', 'endMemberOf', 'Rio de Janeiro Vôlei Clube', '2022-01-01']]
[['Jon Madrazo', 'endMemberOf', 'CD Calahorra', '2022-01-01']]
[['Konstantin Kotov ( footballer)', 'endMemberOf', 'FC Ryazan', '2022-01-01']]
[['Fran Pilepić', 'endMemberOf', 'Fundación Lucentum Baloncesto', '2022-01-01']]
[['University of the Free State', 'startMemberOf', 'Association of African Universities', '2022-01-01']]
[['Abdelali Mhamdi', 'endMemberOf', 'Abha Club', '2022-01-01']]
[['Kenneth Vanbilsen', 'endMemberOf', 'Cofidis ( cycling team)', '2022-01-01']]
[['Iker Bilbao', 'endMemberOf', 'SD Amorebieta', '2022-01-01']]
[['Joey Baker', 'startMemberOf', 'Michigan Wolverines men\' s basketball', '2022-01-01']]
[['Dorlan Pabón', 'endMemberOf', 'São Paulo FC', '2022-01-01']]
[['Andrea Piccolo', 'startMemberOf', 'Gazprom– RusVelo', '2022-01-01']]
[['Aritz Castro', 'endMemberOf', 'Deportivo Alavés B', '2022-01-01']]
[['David Dekker', 'endMemberOf', 'Team Jumbo– Visma ( men\' s team)', '2022-01-01']]
[['Memorial University of Newfoundland', 'startMemberOf', 'Digital Research Alliance Of Canada', '2022-01-01']]
[['Borislav Stevanović', 'endNationality', 'Serbia', '2022-01-01']]
[['Jean-Paul Boëtius', 'endMemberOf', '1. FSV Mainz 05', '2022-01-01']]
[['Ibon Ispizua', 'endMemberOf', 'Gernika Club', '2022-01-01']]
[['Franck L\' Hostis', 'endMemberOf', 'US Orléans', '2022-01-01']]
[['Július Szöke', 'startMemberOf', 'Hapoel Ironi Kiryat Shmona F. C.', '2022-01-01']]
[['Kurt Willoughby', 'endMemberOf', 'York City F. C.', '2022-01-01']]
[['Paris 1 Panthéon-Sorbonne University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Pasteur Institute', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Yamoussa Camara ( footballer)', 'startMemberOf', 'FC BATE Borisov', '2022-01-01']]
[['Roman Vegerya', 'endMemberOf', 'Belarus national under-21 football team', '2022-01-01']]
[['Christian Atsu', 'endMemberOf', 'Al Raed FC', '2022-01-01']]
[['Fernando Gaviria', 'endMemberOf', 'UAE Team Emirates', '2022-01-01']]
[['Bailey Peacock-Farrell', 'endMemberOf', 'Sheffield Wednesday F. C.', '2022-01-01']]
[['Devon van Oostrum', 'startMemberOf', 'Club Melilla Baloncesto', '2022-01-01']]
[['Pavel Pashevich', 'startMemberOf', 'Belarus national under-21 football team', '2022-01-01']]
[['Rolands Šmits', 'endMemberOf', 'FC Barcelona Bàsquet', '2022-01-01']]
[['Achraf Bencharki', 'endMemberOf', 'Zamalek SC', '2022-01-01']]
[['Emiel Vermeulen', 'endMemberOf', 'Go Sport– Roubaix– Lille Métropole', '2022-01-01']]
[['Alexander Kamp', 'endMemberOf', 'Trek– Segafredo ( men\' s team)', '2022-01-01']]
[['Siavash Yazdani', 'startMemberOf', 'Malavan F. C.', '2022-01-01']]
[['Emil Hansson', 'endMemberOf', 'Fortuna Sittard', '2022-01-01']]
[['Adriano Moke', 'endMemberOf', 'Spennymoor Town F. C.', '2022-01-01']]
[['Mathias Bregnhøj', 'startMemberOf', 'Riwal Cycling Team', '2022-01-01']]
[['Marc García ( basketball)', 'endMemberOf', 'CB San Pablo Burgos', '2022-01-01']]
[['Matt Miazga', 'endMemberOf', 'Chelsea F. C.', '2022-01-01']]
[['Edson Pereira', 'endMemberOf', 'Unidos de Vila Isabel', '2022-01-01']]
[['Pa Omar Jobe', 'endMemberOf', 'KF Shkëndija', '2022-01-01']]
[['Terrell Brown Jr.', 'endMemberOf', 'Washington Huskies men\' s basketball', '2022-01-01']]
[['Cristhian Montoya', 'endMemberOf', 'Team Medellín– EPM', '2022-01-01']]
[['Kevin Samuel', 'endMemberOf', 'Florida Gulf Coast Eagles men\' s basketball', '2022-01-01']]
[['Cristián Rodríguez ( cyclist)', 'endMemberOf', 'Team TotalEnergies', '2022-01-01']]
[['João Vitor Araújo', 'startMemberOf', 'Acadêmicos Do Cubango', '2022-01-01']]
[['Jack Simpson ( footballer)', 'endMemberOf', 'Rangers F. C.', '2022-01-01']]
[['University of Neuchâtel', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Le Mans University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Roberto Santamaría ( footballer, born 1985)', 'endMemberOf', 'SD Amorebieta', '2022-01-01']]
[['Aleksey Zalesky', 'startMemberOf', 'FC Torpedo-BelAZ Zhodino', '2022-01-01']]
[['Ekhiotz Orobiogoikoetxea', 'startMemberOf', 'SD Logroñés', '2022-01-01']]
[['Matt Gilks', 'endMemberOf', 'Bolton Wanderers F. C.', '2022-01-01']]
[['Arnau Parrado', 'endMemberOf', 'Club Joventut Badalona', '2022-01-01']]
[['Bruna da Silva', 'endMemberOf', 'Klub Sportowy Developres Rzeszów', '2022-01-01']]
[['Abdoul Bandaogo', 'startMemberOf', 'C. D. Trofense', '2022-01-01']]
[['Valon Behrami', 'endMemberOf', 'Genoa C. F. C.', '2022-01-01']]
[['Akil Wright', 'startMemberOf', 'Stockport County F. C.', '2022-01-01']]
[['Joe Wollacott', 'endMemberOf', 'Swindon Town F. C.', '2022-01-01']]
[['Université du Québec à Montréal', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Ahmet Örken', 'startMemberOf', 'Wildlife Generation Pro Cycling', '2022-01-01']]
[['Fausto Ruesga', 'endMemberOf', 'BC Andorra', '2022-01-01']]
[['Hernán Galíndez', 'startMemberOf', 'Club Universidad de Chile', '2022-01-01']]
[['Peru Nolaskoain', 'startMemberOf', 'SD Amorebieta', '2022-01-01']]
[['Mikel Pradera Belar', 'endMemberOf', 'Real Unión', '2022-01-01']]
[['Shojae Khalilzadeh', 'endMemberOf', 'Al-Rayyan SC', '2022-01-01']]
[['Khvicha Kvaratskhelia', 'startMemberOf', 'FC Dinamo Batumi', '2022-01-01']]
[['Álex Barrera', 'endMemberOf', 'Saski Baskonia', '2022-01-01']]
[['Casper Pedersen', 'endMemberOf', 'Team DSM ( men\' s team)', '2022-01-01']]
[['Mira Todorova', 'endMemberOf', 'Allianz MTV Stuttgart', '2022-01-01']]
[['Ferran Torres', 'startMemberOf', 'FC Barcelona', '2022-01-01']]
[['Mikel Murgoitio', 'endMemberOf', 'SD Deusto', '2022-01-01']]
[['Cairo University', 'startMemberOf', 'Association of African Universities', '2022-01-01']]
[['Andoni López', 'startMemberOf', 'CD Tenerife', '2022-01-01']]
[['Jerome Jordan', 'endMemberOf', 'Rizing Zephyr Fukuoka', '2022-01-01']]
[['Denis Sadovsky', 'startMemberOf', 'FC Gomel', '2022-01-01']]
[['King\' s College London', 'startMemberOf', 'Guild of European Research-Intensive Universities', '2022-01-01']]
[['Noah Sadaoui', 'endMemberOf', 'AS FAR ( football club)', '2022-01-01']]
[['York University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Southern Brittany University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Egzon Binaku', 'endMemberOf', 'IFK Norrköping', '2022-01-01']]
[['Chema González', 'endMemberOf', 'Baloncesto Fuenlabrada', '2022-01-01']]
[['Andreas Stokbro', 'startMemberOf', 'Team Coop– Repsol', '2022-01-01']]
[['Pavel Dolgov', 'startMemberOf', 'FC Metallurg Lipetsk', '2022-01-01']]
[['Inès Jaurena', 'endMemberOf', 'FC Girondins de Bordeaux ( women)', '2022-01-01']]
[['University of Toulouse-Jean Jaurès', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Raheem Sterling', 'endMemberOf', 'Manchester City F. C.', '2022-01-01']]
[['Nalini Anantharaman', 'endWorksFor', 'University of Strasbourg', '2022-01-01']]
[['Viktor Verschaeve', 'endMemberOf', 'Lotto– Dstny', '2022-01-01']]
[['Alexis Gougeard', 'startMemberOf', 'B& B Hotels– KTM', '2022-01-01']]
[['Aleksa Matić ( footballer, born 2002)', 'endMemberOf', 'RFK Grafičar Beograd', '2022-01-01']]
[['Johnny Dee ( basketball)', 'endMemberOf', 'CB Estudiantes', '2022-01-01']]
[['Nino Galović', 'endMemberOf', 'HNK Rijeka', '2022-01-01']]
[['Dominik Górak', 'startMemberOf', 'HRE Mazowsze Serce Polski', '2022-01-01']]
[['Billel Benhammouda', 'endMemberOf', 'Algeria A\' national football team generic instance', '2022-01-01']]
[['Unai Albizua', 'endMemberOf', 'UE Cornellà', '2022-01-01']]
[['Jens Debusschere', 'endMemberOf', 'B& B Hotels– KTM', '2022-01-01']]
[['Siem de Jong', 'endMemberOf', 'SC Heerenveen', '2022-01-01']]
[['Aritz Eguaras', 'endMemberOf', 'Racing Rioja CF', '2022-01-01']]
[['Isco', 'startMemberOf', 'Sevilla FC', '2022-01-01']]
[['Royal Society', 'startMemberOf', 'InterAcademy Partnership', '2022-01-01']]
[['Jan Tratnik', 'endMemberOf', 'Team Bahrain Victorious', '2022-01-01']]
[['Dāvis Rozītis', 'endMemberOf', 'AB Castelló', '2022-01-01']]
[['Yoann Touzghar', 'endMemberOf', 'ES Troyes AC', '2022-01-01']]
[['Chris Czerapowicz', 'endMemberOf', 'UCAM Murcia CB', '2022-01-01']]
[['Tameem Al-Muhaza', 'endMemberOf', 'Al-Khor SC', '2022-01-01']]
[['Jérémy Lecroq', 'endMemberOf', 'B& B Hotels– KTM', '2022-01-01']]
[['Lander Olaetxea', 'endMemberOf', 'SD Amorebieta', '2022-01-01']]
[['Javier Murua Alzueta', 'endMemberOf', 'Salamanca CF UDS', '2022-01-01']]
[['Fernando Llorente', 'endMemberOf', 'SD Eibar', '2022-01-01']]
[['University of South Africa', 'startMemberOf', 'Association of African Universities', '2022-01-01']]
[['Víctor López ( footballer, born 1997)', 'endMemberOf', 'Algeciras CF', '2022-01-01']]
[['Maxim Kouogun', 'endMemberOf', 'Shelbourne F. C.', '2022-01-01']]
[['Reon Potts', 'startMemberOf', 'Belper Town F. C.', '2022-01-01']]
[['Milan Menten', 'endMemberOf', 'Bingoal WB', '2022-01-01']]
[['Tomáš Satoranský', 'startMemberOf', 'Washington Wizards', '2022-01-01']]
[['University of Toronto', 'startMemberOf', 'Digital Research Alliance Of Canada', '2022-01-01']]
[['Floris De Tier', 'endMemberOf', 'Alpecin– Deceuninck', '2022-01-01']]
[['Sebas Méndez', 'endMemberOf', 'Orlando City SC', '2022-01-01']]
[['Mark Christian', 'endMemberOf', 'Eolo– Kometa', '2022-01-01']]
[['Oleg Nikiforenko', 'endMemberOf', 'Belarus national under-21 football team', '2022-01-01']]
[['Frantz Massenat', 'endMemberOf', 'Niners Chemnitz', '2022-01-01']]
[['Vanesa Gimbert', 'endMemberOf', 'Athletic Club ( women)', '2022-01-01']]
[['Concordia University', 'startMemberOf', 'Digital Research Alliance Of Canada', '2022-01-01']]
[['Saarland University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Jeff Hendrick', 'startMemberOf', 'Queens Park Rangers F. C.', '2022-01-01']]
[['Asbjørn Kragh Andersen', 'endMemberOf', 'Team DSM ( men\' s team)', '2022-01-01']]
[['Ryan Edmondson', 'startMemberOf', 'Carlisle United F. C.', '2022-01-01']]
[['Paul Valéry University Montpellier 3', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Dmitry Pletnyov ( footballer)', 'startMemberOf', 'FC Atyrau', '2022-01-01']]
[['Raheem Sterling', 'startMemberOf', 'Chelsea F. C.', '2022-01-01']]
[['Toronto Metropolitan University', 'startMemberOf', 'Digital Research Alliance Of Canada', '2022-01-01']]
[['Asier Arana Sánchez', 'endMemberOf', 'Gernika Club', '2022-01-01']]
[['Aaron Ramsey', 'startMemberOf', 'Rangers F. C.', '2022-01-01']]
[['Shante Evans', 'endMemberOf', 'CB Avenida', '2022-01-01']]
[['Jon Ander Gonzalez Dopico', 'startMemberOf', 'CE Sabadell FC', '2022-01-01']]
[['Matthew Gibson ( cyclist)', 'startMemberOf', 'AT85 Pro Cycling', '2022-01-01']]
[['Pol Molins', 'endMemberOf', 'Bàsquet Girona', '2022-01-01']]
[['Albert Cañellas', 'endWorksFor', 'Club Joventut Badalona', '2022-01-01']]
[['Imanol García de Albéniz', 'startMemberOf', 'SD Eibar', '2022-01-01']]
[['Oleksandr Noyok', 'startMemberOf', 'Apollon Limassol FC', '2022-01-01']]
[['University of Ljubljana', 'startMemberOf', 'Guild of European Research-Intensive Universities', '2022-01-01']]
[['York University', 'startMemberOf', 'Digital Research Alliance Of Canada', '2022-01-01']]
[['Ander El Haddadi', 'endMemberOf', 'SD Logroñés', '2022-01-01']]
[['Gonzi', 'endMemberOf', 'Gimnàstic de Tarragona', '2022-01-01']]
[['Torjus Sleen', 'endMemberOf', 'Uno-X Pro Cycling Team ( men\' s team)', '2022-01-01']]
[['Yegor Bogomolsky', 'endMemberOf', 'Belarus national under-21 football team', '2022-01-01']]
[['University of São Paulo', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Roger Kluge', 'endMemberOf', 'Lotto– Dstny', '2022-01-01']]
[['Ian Uranga', 'endMemberOf', 'Arenas Club de Getxo', '2022-01-01']]
[['Mikael Uhre', 'endMemberOf', 'Brøndby IF', '2022-01-01']]
[['Igor Chzhan', 'startMemberOf', 'Almaty Cycling Team', '2022-01-01']]
[['Artem Pustovyi', 'endMemberOf', 'CB Gran Canaria', '2022-01-01']]
[['University of Warwick', 'startMemberOf', 'Guild of European Research-Intensive Universities', '2022-01-01']]
[['Joseph Adah', 'startMemberOf', 'NK Celje', '2022-01-01']]
[['Albert Cañellas', 'endWorksFor', 'CB Prat', '2022-01-01']]
[['Maria Giulia Confalonieri', 'endMemberOf', 'Ceratizit– WNT Pro Cycling', '2022-01-01']]
[['Jeffrey Quarshie', 'endMemberOf', 'Football Bourg-en-Bresse Péronnas 01', '2022-01-01']]
[['Zakhar Volkov', 'startMemberOf', 'FC Khimki', '2022-01-01']]
[['Paweł Wojciechowski ( footballer, born 1990)', 'endMemberOf', 'GKS Górnik Łęczna', '2022-01-01']]
[['Claude Bernard University Lyon 1', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Arvid de Kleijn', 'endMemberOf', 'Human Powered Health ( men\' s team)', '2022-01-01']]
[['Dion Smith', 'endMemberOf', 'Team Jayco– AlUla ( men\' s team)', '2022-01-01']]
[['University of Göttingen', 'startMemberOf', 'Guild of European Research-Intensive Universities', '2022-01-01']]
[['University of Florence', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Alexander Grigoriev', 'endMemberOf', 'AP Hotels & Resorts– Tavira– SC Farense', '2022-01-01']]
[['Zaid Hearst', 'startMemberOf', 'Fundación Lucentum Baloncesto', '2022-01-01']]
[['Amirhossein Mahmoodi', 'endMemberOf', 'Payam Khorasan F. C.', '2022-01-01']]
[['Mikel Kortazar', 'endMemberOf', 'Athletic Bilbao B', '2022-01-01']]
[['Chelsea Surpris', 'endMemberOf', 'FF Yzeure Allier Auvergne', '2022-01-01']]
[['University of Lausanne', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Borja Viguera', 'endMemberOf', 'CF Intercity', '2022-01-01']]
[['Daniil Miroshnikov', 'endMemberOf', 'Belarus national under-21 football team', '2022-01-01']]
[['Lara Vieceli', 'endMemberOf', 'Ceratizit– WNT Pro Cycling', '2022-01-01']]
[['Mitch Hancox', 'endMemberOf', 'York City F. C.', '2022-01-01']]
[['Markel Lozano', 'endMemberOf', 'SD Amorebieta', '2022-01-01']]
[['Eddy Polanco', 'endMemberOf', 'CB Almansa', '2022-01-01']]
[['Théo Braillon', 'endMemberOf', 'Football Bourg-en-Bresse Péronnas 01', '2022-01-01']]
[['Oier Sanjurjo', 'endMemberOf', 'CA Osasuna', '2022-01-01']]
[['Ramin Rezaeian', 'endMemberOf', 'Al-Duhail SC', '2022-01-01']]
[['Marc García Calvo', 'endMemberOf', 'CB Zamora', '2022-01-01']]
[['Hong Hyun-seok', 'endMemberOf', 'LASK', '2022-01-01']]
[['Niverka Marte', 'endMemberOf', 'Jakarta Pertamina Energi', '2022-01-01']]
[['Nico Denz', 'endMemberOf', 'Team DSM ( men\' s team)', '2022-01-01']]
[['Dele Alli', 'startMemberOf', 'Everton F. C.', '2022-01-01']]
[['Michele Gazzoli', 'startMemberOf', 'Astana Qazaqstan Team', '2022-01-01']]
[['Simon Fraser University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Ferrán Bassas', 'endMemberOf', 'Club Joventut Badalona', '2022-01-01']]
[['Ben Davies ( footballer, born 1995)', 'startMemberOf', 'Rangers F. C.', '2022-01-01']]
[['Dayer Quintana', 'endMemberOf', 'Arkéa– Samsic', '2022-01-01']]
[['Yevgeny Beryozkin', 'startMemberOf', 'FC Torpedo-BelAZ Zhodino', '2022-01-01']]
[['Elena Dache', 'endMemberOf', 'SCM Râmnicu Vâlcea ( handball)', '2022-01-01']]
[['Philippe Gilbert', 'endMemberOf', 'Lotto– Dstny', '2022-01-01']]
[['University of Bern', 'startMemberOf', 'Guild of European Research-Intensive Universities', '2022-01-01']]
[['Sean Bennett ( cyclist)', 'startMemberOf', 'China Glory Continental Cycling Team', '2022-01-01']]
[['Joseba Muguruza', 'endMemberOf', 'CE Sabadell FC', '2022-01-01']]
[['Chris Harper ( cyclist)', 'endMemberOf', 'Team Jumbo– Visma ( men\' s team)', '2022-01-01']]
[['Bulgarian Academy of Sciences', 'startMemberOf', 'International Science Council', '2022-01-01']]
[['École normale supérieure de Lyon', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['David Jelínek', 'endMemberOf', 'BC Andorra', '2022-01-01']]
[['University of Rennes 1', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Raúl Fernández ( footballer, born 1988)', 'endMemberOf', 'UD Las Palmas', '2022-01-01']]
[['Tomasz Gielo', 'startMemberOf', 'Peristeri B. C.', '2022-01-01']]
[['Patrick Carvalho', 'startMemberOf', 'Império Serrano', '2022-01-01']]
[['Lee Tuck', 'endMemberOf', 'Sri Pahang F U002E C U002E ', '2022-01-01']]
