[['Peter Brook', 'award', 'Princess Of Asturias Award For The Arts generic instance', '2026-01-01']]
[['Yuriy Pantya', 'startMemberOf', 'FC Slavia Mozyr', '2026-03-01']]
[['Chloe Sheila Dayan Roy', 'startWorksFor', 'Newcastle upon Tyne Hospitals NHS Foundation Trust', '2026-08-07']]
[['Fosnes', 'endLeader', 'Trygve Jonny Sandvik', '2026-12-31']]
[['Kosovo', 'endLeader', 'Ramush Haradinaj', '2026-07-19']]
[['Le Havre Seine Métropole', 'startLeader', 'Luc Lemonnier', '2026-01-15']]
[['Štefan Možina', 'endWorksFor', 'National Institute of Chemistry', '2026-08-31']]
[['Jonne Åkerla', 'endWorksFor', 'Central Finland Hospital District', '2026-04-30']]
[['First Kurz government', 'endLeader', 'Sebastian Kurz', '2026-05-28']]
[['Pegah Khosropanah', 'startWorksFor', 'University of Malaya', '2026-01-10']]
[['Przemyslaw Perlikowski', 'startAcademicDegree', 'Scientific Professorship Degree generic instance', '2026-02-05']]
[['Meredith Brown', 'endWorksFor', 'ICF International', '2026-05-03']]
[['License To Elongate', 'startContentLocation', 'S. T. A. R. Labs', '2026-11-01']]
[['Second Conte government', 'startLeader', 'Giuseppe Conte', '2026-09-05']]
[['Ashley Williams ( footballer)', 'startMemberOf', 'Bristol City F. C.', '2026-08-01']]
[['Alexander Chota', 'endWorksFor', 'University of Johannesburg', '2026-12-12']]
[['Hyunju Ryu', 'endWorksFor', 'Seoul National University', '2026-02-01']]
[['Andrea Ganthaler', 'startWorksFor', 'Swiss Federal Institute for Forest, Snow and Landscape Research', '2026-09-27']]
[['David Tomé-Lourido', 'endWorksFor', 'University of Vigo', '2026-11-01']]
[['Yusuke Tsuboko', 'endWorksFor', 'Waseda University', '2026-03-31']]
[['Eleanor Wilson', 'endWorksFor', 'Institute of Human Virology', '2026-06-30']]
[['The Last Temptation Of Barry Allen U002C Pt U002E 1', 'startContentLocation', 'Central City ( DC Comics)', '2026-11-01']]
[['Alvaro Gonzalez-Rajal', 'startWorksFor', 'Anzac Research Institute', '2026-11-01']]
[['WeWork', 'endLeader', 'Adam Neumann', '2026-09-24']]
[['Laetitia Mottet', 'endWorksFor', 'University of Cambridge', '2026-03-01']]
[['Yang Qi', 'endWorksFor', 'University of Sydney', '2026-05-11']]
[['S Cook', 'endWorksFor', 'Deakin University', '2026-12-01']]
[['Philippe Vayssettes', 'award', 'Knight Of The National Order Of Merit generic instance', '2026-05-29']]
[['Belarus State Economic University', 'startLeader', '', '2026-05-16']]
[['Giacomo dalla Torre del Tempio di Sanguinetto', 'award', 'Order Of Stara Planina', '2026-12-05']]
[['Reckitt', 'startLeader', 'Laxman Narasimhan', '2026-09-01']]
[['Tomasz Pawłowski', 'startAcademicDegree', 'Habilitation generic instance', '2026-04-15']]
[['Alessia Romani', 'endWorksFor', 'National Interuniversity Consortium Of Materials Science And Technology', '2026-02-15']]
[['Ski, Norway', 'endLeader', 'Hanne Opdan', '2026-12-31']]
[['Hordaland', 'endLeader', 'Anne Gine Hestetun', '2026-12-31']]
[['Kvalsund', 'endLeader', 'Terje Wikstrøm', '2026-12-31']]
[['Sørum', 'endLeader', 'Marianne Grimstad Hansen', '2026-12-31']]
[['The Wrath Of Rama Khan', 'startContentLocation', 'Fortress of Solitude', '2026-11-01']]
[['Clement Lee', 'endWorksFor', 'Newcastle University', '2026-04-12']]
[['Gabriel F A Jesus', 'endWorksFor', 'Federal University of Santa Catarina', '2026-03-01']]
[['29th Canadian Ministry', 'endLeader', 'Justin Trudeau', '2026-10-21']]
[['Liana Hardy', 'endWorksFor', 'Royal Veterinary College', '2026-08-01']]
[['Martine Latare', 'award', 'Officer Of The Legion Of Honour', '2026-07-13']]
[['Kim Woo-seok ( singer)', 'startMemberOf', 'X1 ( group)', '2026-08-27']]
[['Vasyl Kysil', 'endOwns', 'Vasil Kisil And Partners', '2026-08-07']]
[['Ibraheem Ali', 'endWorksFor', 'Gladstone Institutes', '2026-06-27']]
[['Gabriel S Viana', 'endWorksFor', '', '2026-01-05']]
[['Michèle Kirry', 'award', 'Officer Of The Legion Of Honour', '2026-07-13']]
[['Giorgia Galiazzo', 'endWorksFor', 'University of Bologna', '2026-10-31']]
[['Liz Armas-Egas', 'startWorksFor', 'ETH Zurich', '2026-04-01']]
[['Tranøy', 'endLeader', 'Jan Fredrik Jenssen', '2026-12-31']]
[['Pradeep Singh', 'startWorksFor', 'Rama University', '2026-02-21']]
[['A Flash Of The Lightning', 'startContentLocation', 'Central City ( DC Comics)', '2026-10-01']]
[['Nasser Najibi', 'endWorksFor', 'City College of New York', '2026-07-01']]
[['Raju Prasad Sharma', 'endWorksFor', 'University of Rovira i Virgili', '2026-08-31']]
[['Y Jane Zhang', 'endWorksFor', 'Hong Kong University of Science and Technology', '2026-08-31']]
[['Joanes Grandjean', 'endWorksFor', 'Agency for Science, Technology and Research', '2026-02-28']]
[['Phillip D Hahn', 'endWorksFor', 'Philadelphia Department Of Public Health', '2026-08-01']]
[['Maxim Akimov', 'startAcademicDegree', 'Candidate Of Historical Sciences generic instance', '2026-05-16']]
[['Castiglione Olona', 'startLeader', 'Giancarlo Frigeri', '2026-05-26']]
[['Anna Starzyńska', 'startAcademicDegree', 'Scientific Professorship Degree generic instance', '2026-11-28']]
[['Sande, Vestfold', 'endLeader', 'Elin Weggesrud', '2026-12-31']]
[['There Will Be Blood', 'startContentLocation', 'S. T. A. R. Labs', '2026-10-01']]
[['Miriam Beneito-Cambra', 'startWorksFor', 'University of Jaén', '2026-09-17']]
[['Westpac', 'endLeader', 'Brian Hartzer', '2026-12-01']]
[['Charles Tapley Hoyt', 'startAcademicDegree', 'Doctor of Philosophy generic instance', '2026-12-03']]
[['Forsand', 'endLeader', 'Bjarte Sveinsvoll Dagestad', '2026-12-31']]
[['New Caledonian Armed Forces', 'startLeader', 'Franck Barrera', '2026-08-01']]
[['Røyken', 'endLeader', 'Eva Norén Eriksen', '2026-12-31']]
[['D F Marques', 'endWorksFor', 'Rede De Química E Tecnologia', '2026-12-01']]
[['Dalima Chhibber', 'startMemberOf', 'Gokulam Kerala FC ( women)', '2026-03-31']]
[['Yujiro Ina', 'endWorksFor', 'Iizuka Hospital', '2026-03-31']]
[['Ryoichi Yano', 'endWorksFor', 'National Agriculture and Food Research Organization', '2026-09-30']]
[['Mikhail Zhvanetsky', 'award', 'Order U0027 For Merit To The Fatherland U0027 Iii U00A0 Class', '2026-02-27']]
[['Matti Reinikainen', 'startWorksFor', 'University of Eastern Finland', '2026-01-07']]
[['Xing Wang', 'startWorksFor', 'Institute Of Physics U002C Johannes Gutenberg-University Mainz', '2026-10-01']]
[['Norwegian Police Security Service', 'startLeader', 'Hans Sverre Sjøvold', '2026-06-01']]
[['Martin Lukačišin', 'endWorksFor', 'University of Cologne', '2026-04-01']]
[['Peter Cosgrove', 'award', 'Commander Of The Royal Victorian Order generic instance', '2026-08-12']]
[['Hiro Taiyo Hamada', 'startWorksFor', 'Okinawa Institute of Science and Technology', '2026-02-01']]
[['Lena Luthor', 'endOwns', 'Catco Worldwide Media', '2026-10-01']]
[['Pamplona', 'endLeader', 'Joseba Asirón', '2026-06-15']]
[['Gábor Irsai', 'endWorksFor', 'Jahn Ferenc Dél-Pesti Kórház És Rendelőintézet', '2026-09-30']]
[['Paulian Banu', 'startMemberOf', 'FC Metaloglobus București', '2026-07-01']]
[['Jarosław Ćwiek-Karpowicz', 'startAcademicDegree', 'Habilitation generic instance', '2026-09-27']]
[['Pritam Kumar Jana', 'endWorksFor', 'Université libre de Bruxelles', '2026-08-31']]
[['Vladivostok', 'startLeader', 'Oleg Vladimirovich Humeniuk', '2026-04-05']]
[['Andreas Paulus', 'endWorksFor', 'Maastricht University', '2026-04-02']]
[['Mykyta Tatarkov', 'startMemberOf', 'FC Lviv', '2026-10-01']]
[['Boris Tsygankov', 'startMemberOf', 'FC Kolomna', '2026-07-01']]
[['Cícero Inácio Silva Filho', 'endWorksFor', 'Federal University of Pernambuco', '2026-09-06']]
[['Dowdupont', 'endLeader', 'Edward D. Breen', '2026-06-01']]
[['Piotr Henryk Skarżyński', 'startAcademicDegree', 'Scientific Professorship Degree generic instance', '2026-10-25']]
[['Rosa Dam Waerling', 'endWorksFor', 'Zealand University Hospital, Roskilde', '2026-07-31']]
[['Jefferson A Cavalcante', 'startWorksFor', 'Centro Universitário Barriga Verde', '2026-02-02']]
[['Inez M Greven', 'endWorksFor', 'Ggd Drenthe', '2026-09-30']]
[['Aleksandr Kostarev', 'endWorksFor', 'Max Planck Institute of Molecular Cell Biology and Genetics', '2026-09-01']]
[['Lisanne Andra Gitsels', 'endWorksFor', 'University of East Anglia', '2026-03-01']]
[['Roldan M De Guia', 'endWorksFor', 'Keio University', '2026-11-30']]
[['Emily Herfoss', 'startMemberOf', 'Cwa Racing', '2026-05-01']]
[['Naomi Shimizu', 'endWorksFor', 'University Of Bristol School Of Veterinary Sciences', '2026-03-28']]
[['Mathieu R Despard', 'endWorksFor', 'Washington University in St. Louis', '2026-07-31']]
[['Vicente Linares', 'endWorksFor', 'Facultad De Farmacia U0028 Universidad De Sevilla U0029 ', '2026-07-15']]
[['Mostafa M El-Sheekh', 'endWorksFor', 'Tanta University', '2026-07-31']]
[['Bavay', 'startLeader', 'Francine Cailleux-Caucheteux', '2026-10-01']]
[['Santa Rosa de Calamuchita', 'startLeader', 'Claudio Chavero', '2026-12-10']]
[['Lauren Spinner', 'endWorksFor', 'University of Kent', '2026-04-12']]
[['Bosnia and Herzegovina', 'endLeader', 'Denis Zvizdić', '2026-12-23']]
[['Mány', 'startLeader', 'Zoltán Ugron', '2026-10-13']]
[['Young-Gi Kim', 'startWorksFor', 'Seoul National University', '2026-04-01']]
[['Michael T Madsen', 'endWorksFor', 'Zealand University Hospital, Roskilde', '2026-02-28']]
[['Romain Salles De Saint-Paul', 'award', 'Mort pour la France', '2026-11-29']]
[['Daniela Cruz-Moreira', 'endWorksFor', 'Polytechnic University of Milan', '2026-09-30']]
[['Roger Scruton', 'award', 'Commemorative Medal Of The Czech Senate generic instance', '2026-11-15']]
[['Zunkai Xu', 'endWorksFor', 'Nankai University', '2026-08-31']]
[['Into The Void', 'startContentLocation', 'Cc Jitters', '2026-10-01']]
[['Kimberly Ertel', 'startWorksFor', 'Seattle', '2026-07-01']]
[['Francesco F Summa', 'startWorksFor', 'University of Salerno', '2026-11-01']]
[['Greta Thunberg', 'award', 'Rachel Carson Prize ( environmentalist award)', '2026-03-22']]
[['Dmitriy Berillo', 'endWorksFor', 'Aarhus University', '2026-10-15']]
[['Prashant Tarale', 'startWorksFor', 'Blood Systems Research Institute', '2026-05-05']]
[['Tait Bowers', 'startAcademicDegree', 'Doctor of Philosophy generic instance', '2026-12-01']]
[['Jongha Park', 'endWorksFor', 'Asan Medical Center', '2026-01-04']]
[['Željko Filipović', 'startMemberOf', 'FK Vojvodina', '2026-07-01']]
[['Min-Jeong Lee', 'endWorksFor', 'Ajou University School Of Medicine And Graduate School Of Medicine', '2026-02-28']]
[['Alexandre Geijo', 'startMemberOf', 'Atlético Sanluqueño CF', '2026-07-22']]
[['Ye Liu', 'startWorksFor', 'Hong Kong Baptist University', '2026-10-02']]
[['Antoine Serre', 'award', 'Knight Of The Legion Of Honour generic instance', '2026-12-02']]
[['Tomohide Iwao', 'endWorksFor', 'Nara Institute of Science and Technology', '2026-03-31']]
[['Aaron Lun', 'endWorksFor', 'Cancer Research Uk Cambridge Institute', '2026-02-28']]
[['Sanofi', 'endLeader', 'Olivier Brandicourt', '2026-09-01']]
[['Ana María Valenzuela-Muñiz', 'startWorksFor', 'National Technological Institute of Mexico', '2026-03-01']]
[['Nailya Asker-Zade', 'startOwns', 'Land lot generic instance', '2026-02-01']]
[['Nailya Asker-Zade', 'endOwns', 'Land lot generic instance', '2026-07-18']]
[['Rinne Cabinet', 'startLeader', 'Antti Rinne', '2026-06-06']]
[['Rinne Cabinet', 'endLeader', 'Antti Rinne', '2026-12-10']]
[['Ichirō Kojima', 'startCandidateIn', '2026 Japanese House of Councillors election', '2026-07-21']]
[['Janka Kupala National Theatre', 'startLeader', 'Pavel Latushko', '2026-02-01']]
[['Nasser Mohammed', 'endWorksFor', 'University of Virginia', '2026-07-05']]
[['Orestes Solis', 'endWorksFor', 'University of Rochester', '2026-06-30']]
[['Paolo Rossini', 'endWorksFor', 'Leiden University', '2026-10-31']]
[['Pei-Fen Siow', 'startWorksFor', 'Keelung Chang Gung Memorial Hospital', '2026-10-23']]
[['Rebecca Mclaughlan', 'endWorksFor', 'University of Melbourne', '2026-02-01']]
[['Anne B Chang', 'award', 'Member Of The Order Of Australia generic instance', '2026-01-26']]
[['Jiseon Kim', 'startWorksFor', 'University of Ulsan', '2026-10-01']]
[['Jorge Torres-Marín', 'endWorksFor', 'University of Granada', '2026-09-14']]
[['Andreu Òdena', 'startWorksFor', 'Vall D U0027 Hebron Institute Of Oncology', '2026-06-20']]
[['Przemyslaw Sikora', 'startAcademicDegree', 'Scientific Professorship Degree generic instance', '2026-10-25']]
[['The Wrath Of Rama Khan', 'startContentLocation', 'National City ( DC Comics)', '2026-11-01']]
[['Tremors', 'startContentLocation', 'Fortress of Solitude', '2026-11-01']]
[['Sant Cugat del Vallès', 'startLeader', 'Mireia Ingla I Mas', '2026-06-15']]
[['Shanxi', 'startLeader', 'Lin Wu', '2026-12-01']]
[['Hoeksche Waard ( municipality)', 'startLeader', 'Govert Veldhuijzen', '2026-04-01']]
[['Hoeksche Waard ( municipality)', 'endLeader', 'Govert Veldhuijzen', '2026-12-18']]
[['Nærøy', 'startLeader', 'Rune Arstein', '2026-10-01']]
[['Jean-Sébastien Hoffmann', 'startWorksFor', 'University Cancer Institute Toulouse Oncopole', '2026-09-15']]
[['Elizabeth C Neilson', 'endWorksFor', 'Michael E U002E Debakey Va Medical Center', '2026-07-23']]
[['Martina Vizza', 'endWorksFor', 'National Interuniversity Consortium Of Materials Science And Technology', '2026-10-01']]
[['Hyang Cho', 'endWorksFor', 'Kaiser Permanente Santa Clara Medical Center', '2026-08-09']]
[['Zili Huang', 'endWorksFor', 'International Finance Corporation', '2026-12-22']]
[['Christian Constant', 'award', 'Commander Of The Order Of Agricultural Merit generic instance', '2026-01-31']]
[['Stříbro', 'endLeader', 'Václav Votava', '2026-10-16']]
[['Susanne Pedersen', 'endWorksFor', 'Aarhus University', '2026-09-30']]
[['Kaylin V Dance', 'endWorksFor', 'Emory University', '2026-06-23']]
[['Rodrigo Manzanas', 'startWorksFor', 'University of Cantabria', '2026-02-01']]
[['Ada Ferrer-i-Carbonell', 'startMemberOf', 'Advisory Council For The Promotion Of A Civic And Social Forum For The Constituent Debate', '2026-01-10']]
[['Thank God You U0027 Re Here', 'startActor', 'Xuân B U1Eaf C', '2026-07-28']]
[['Brittany V Hope', 'endWorksFor', 'University Of Alberta School Of Public Health', '2026-07-22']]
[['Stelios Kokovas', 'startMemberOf', 'VfL Bochum', '2026-03-30']]
[['Sadat Ali Edroos', 'endWorksFor', 'Victoria Heart Institute Foundation', '2026-08-19']]
[['Daniela P Pacheco', 'endWorksFor', 'Polytechnic University of Milan', '2026-12-13']]
[['Rakesh Bam', 'endWorksFor', 'Stanford University', '2026-11-17']]
[['Vincent Ritleng', 'endWorksFor', 'Institut Universitaire de France', '2026-09-30']]
[['Edith Nardu Botchway', 'startWorksFor', 'Murdoch Children\' s Research Institute', '2026-02-11']]
[['The Last Temptation Of Barry Allen U002C Pt U002E 1', 'startContentLocation', 'S. T. A. R. Labs', '2026-11-01']]
[['License To Elongate', 'startContentLocation', 'Central City ( DC Comics)', '2026-11-01']]
[['Karlsruhe University of Arts and Design', 'endLeader', 'Johan Frederik Hartle', '2026-09-30']]
[['Juan Dinenno', 'startMemberOf', 'Deportivo Cali', '2026-01-10']]
[['Asrar Ahmad', 'endWorksFor', 'Jefferson Abington Hospital', '2026-06-23']]
[['Karlsruhe University of Arts and Design', 'startLeader', 'Matthias Bruhn', '2026-10-01']]
[['Jakub Wódka', 'startAcademicDegree', 'Habilitation generic instance', '2026-11-29']]
[['Duc-Hiep Bach', 'endWorksFor', 'MD Anderson Cancer Center', '2026-10-21']]
[['Kaushik Pal', 'endWorksFor', 'University of Malaya', '2026-03-31']]
[['Nobel Boungou Colo', 'startMemberOf', 'Club Joventut Badalona', '2026-02-01']]
[['New Caledonian Armed Forces', 'endLeader', 'Thierry Marchand', '2026-07-31']]
[['Sebastian Yu', 'endWorksFor', 'University of California, Davis', '2026-01-31']]
[['Eduardo Marostegan De Paula', 'endWorksFor', 'University of Florida', '2026-01-31']]
[['Romain Pelletier', 'startWorksFor', 'Rennes University Hospital', '2026-11-05']]
[['Rémi Denise', 'endWorksFor', 'Pasteur Institute', '2026-03-30']]
[['Kyoto City University of Arts', 'endLeader', 'Kiyokazu Washida', '2026-03-31']]
[['Francesco Diana', 'endWorksFor', 'Istituto Neurologico Mediterraneo', '2026-03-17']]
[['Electoral Commission ( United Kingdom)', 'startLeader', 'Bob Posner', '2026-04-01']]
[['Alexandra Sunduchkova', 'award', 'Master Of Sports Of International Class', '2026-12-27']]
[['Oskar Nisu', 'startMemberOf', 'Kunbao Sport Continental Cycling Team', '2026-10-15']]
[['Michal Lukeš', 'award', 'Medal of Merit ( Czech Republic)', '2026-10-28']]
[['Adan Santiago', 'startWorksFor', 'Hearty Channel And Blue Star Entertainment Philippines Film', '2026-11-10']]
[['Sara Molina-Gil', 'endWorksFor', 'Centro Andaluz De Biología Del Desarrollo', '2026-03-31']]
[['First Conte government', 'endLeader', 'Giuseppe Conte', '2026-09-05']]
[['Aditya Wibawa Sakti', 'startWorksFor', 'Waseda University', '2026-04-01']]
[['Boeing', 'endLeader', 'Dennis Muilenburg', '2026-12-23']]
[['Kerry Knight', 'endWorksFor', 'Cecilia Makiwane Hospital', '2026-05-31']]
[['Leo Pharma', 'startLeader', 'Catherine Mazzacco', '2026-08-01']]
[['Kirill Shreitor', 'startMemberOf', 'FC Baranovichi', '2026-08-01']]
[['Joao Rodrigues', 'endWorksFor', 'Telecommunications Institute', '2026-01-03']]
[['Francisco J Nieto-Casado', 'startWorksFor', 'University of Seville', '2026-09-01']]
[['Joanna Szczepanowska', 'startAcademicDegree', 'Scientific Professorship Degree generic instance', '2026-05-09']]
[['Katarzyna Cholewińska', 'startAcademicDegree', 'Doctorate generic instance', '2026-05-29']]
[['Marieke E Klijn', 'endWorksFor', 'Karlsruhe Institute of Technology', '2026-09-06']]
[['Marco Gnesi', 'endWorksFor', 'University of Pavia', '2026-10-31']]
[['Mario Mancino', 'endWorksFor', 'Institut D U0027 Investigacions Biomèdiques August Pi I Sunyer', '2026-08-09']]
[['Barbara Rietzler', 'endWorksFor', 'University of Innsbruck', '2026-08-30']]
[['Tomasz Białowąs', 'startAcademicDegree', 'Habilitation generic instance', '2026-12-19']]
[['Stefan Brandlmeier', 'startMemberOf', 'Herrmann Radteam', '2026-03-18']]
[['A Flash Of The Lightning', 'startContentLocation', 'S. T. A. R. Labs', '2026-10-01']]
[['Carlos Renero-Lecuna', 'endWorksFor', 'Instituto De Investigación Marqués De Valdecilla', '2026-12-25']]
[['Maree Smith', 'award', 'Companion Of The Order Of Australia generic instance', '2026-06-10']]
[['French Cooperation Office U002C Pyongyang', 'endLeader', 'Jean-François Fitou', '2026-08-31']]
[['Antoine Serre', 'award', 'Mort pour la France', '2026-11-29']]
[['Province of Monza and Brianza', 'endLeader', 'Roberto Invernizzi', '2026-05-26']]
[['Puertollano', 'startLeader', 'Isabel Rodríguez García', '2026-06-15']]
[['K M Muhammed Shameem', 'startWorksFor', 'Manipal Academy of Higher Education', '2026-07-01']]
[['Delaram Jarchi', 'endWorksFor', 'University of Kent', '2026-04-30']]
[['South West Water', 'endLeader', 'Stephen Bird', '2026-05-10']]
[['Chen He', 'endWorksFor', 'Furman University', '2026-07-31']]
[['Omar Flores', 'endWorksFor', 'Spanish National Research Council', '2026-09-30']]
[['Chu Lun Alex Leung', 'endWorksFor', 'University College London', '2026-10-06']]
[['Baja California', 'startLeader', 'Jaime Bonilla Valdez', '2026-11-01']]
[['Michitaro Hayakawa', 'endWorksFor', 'National Hospital Organization Tokyo Medical Center', '2026-03-01']]
[['Javier M Loaiza', 'endWorksFor', 'University of Huelva', '2026-01-18']]
[['Andrew J Maroda', 'startWorksFor', 'University of Tennessee Health Science Center', '2026-06-17']]
[['Tourcoing', 'endLeader', 'Didier Droart', '2026-01-24']]
[['Henry H Mungondori', 'endWorksFor', 'University of Zimbabwe', '2026-10-31']]
[['Tomos Walters', 'endWorksFor', 'University of California, San Francisco', '2026-06-30']]
[['Scott Disick', 'startNotableWork', 'Flip It Like Disick', '2026-09-29']]
[['Scott Disick', 'endNotableWork', 'Flip It Like Disick', '2026-08-04']]
[['Da Chen', 'startWorksFor', 'Purdue University', '2026-03-01']]
[['Tom Kieck', 'endWorksFor', 'University of Mainz', '2026-09-01']]
[['There Will Be Blood', 'startContentLocation', 'Central City ( DC Comics)', '2026-10-01']]
[['Elena Madeo', 'startAcademicDegree', 'Doctorate generic instance', '2026-10-06']]
[['Srinivasa Rao Allam', 'endWorksFor', 'Soochow University ( Suzhou)', '2026-10-16']]
[['Esther Roldan-Molina', 'endWorksFor', 'University of Granada', '2026-09-01']]
[['Adam Bodnar', 'startAcademicDegree', 'Habilitation generic instance', '2026-06-17']]
[['Yachao Li', 'endWorksFor', 'Georgia State University', '2026-08-01']]
[['Lukas Friedrich', 'startWorksFor', 'ETH Zurich', '2026-04-01']]
[['Roberto Pagaria', 'startWorksFor', 'University of Bologna', '2026-10-01']]
[['Save the Children', 'endLeader', 'Helle Thorning-Schmidt', '2026-06-01']]
[['Natividad Gómez Cerezo', 'startWorksFor', 'University of Queensland', '2026-03-14']]
[['Catalunya Comunicació', 'endLeader', 'Ramon Rovira I Pol', '2026-02-28']]
[['Kızıltepe', 'startLeader', 'Nilüfer Elik Yılmaz', '2026-03-31']]
[['Kızıltepe', 'endLeader', 'Nilüfer Elik Yılmaz', '2026-11-04']]
