[['Boyd van der Vuurst de Vries', 'endMemberOf', 'AB Castelló', '2026-01-01'], ['Kimberly Drewniok', 'endMemberOf', 'ASPTT Mulhouse', '2026-01-01'], ['Dragan Zeković', 'endMemberOf', 'Lions de Genève', '2026-01-01'], ['Michelle Bartsch-Hackley', 'endMemberOf', 'VakıfBank S. K.', '2026-01-01']]
[['Satoshi Tsuiki', 'endMemberOf', 'United Volleys Frankfurt', '2026-01-01'], ['Marko Todorović ( basketball)', 'endMemberOf', 'Beijing Royal Fighters', '2026-01-01'], ['Tyson Pérez', 'endMemberOf', 'BC Andorra', '2026-01-01'], ['Reggie Upshaw', 'startMemberOf', 'Wellington Saints', '2026-01-01']]
[['Thomas Heurtel', 'endMemberOf', 'Real Madrid Baloncesto', '2026-01-01'], ['Ángel Trinidad', 'endMemberOf', 'Projekt Warsaw', '2026-01-01'], ['Alessia Gennari', 'endMemberOf', 'Unione Sportiva Pro Victoria Pallavolo Monza', '2026-01-01'], ['Dani Díez', 'endMemberOf', 'CB San Pablo Burgos', '2026-01-01']]
[['Daniel Sarmiento Melián', 'endMemberOf', 'Spain men\' s national handball team generic instance', '2026-01-01'], ['Leandro Bolmaro', 'endMemberOf', 'Iowa Wolves', '2026-01-01'], ['Isabelle Haak', 'endMemberOf', 'VakıfBank S. K.', '2026-01-01'], ['Dakota Mathias', 'endMemberOf', 'Memphis Grizzlies', '2026-01-01']]
[['Noah Allen', 'endMemberOf', 'Palencia Baloncesto', '2026-01-01'], ['Shayne Whittington', 'endMemberOf', 'Nagoya Diamond Dolphins', '2026-01-01'], ['Ebanga Baboga Paola Cyrielle', 'endMemberOf', 'Asul Vaulx-En-Velin', '2026-01-01'], ['Pierre Oriola', 'endMemberOf', 'FC Barcelona Bàsquet', '2026-01-01']]
[['Isaiah Mobley', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01'], ['Joey Baker', 'endMemberOf', 'Duke Blue Devils men\' s basketball', '2026-01-01'], ['Arnau Parrado', 'endMemberOf', 'CB Prat', '2026-01-01'], ['Maja Miljković', 'endMemberOf', 'Kayseri Basketbol', '2026-01-01']]
[['Marina Lubian', 'endMemberOf', 'Pallavolo Scandicci', '2026-01-01'], ['Bianka Buša', 'endMemberOf', 'Lokomotiv Kaliningrad', '2026-01-01'], ['Brie King', 'endMemberOf', 'Béziers Volley', '2026-01-01'], ['Tetsuya Utsumi', 'endMemberOf', 'Saitama Seibu Lions', '2026-01-01']]
[['Anna Hall ( volleyball)', 'endMemberOf', 'Aydın Büyükşehir Belediyespor', '2026-01-01'], ['Sergi García ( basketball)', 'endMemberOf', 'CB Gran Canaria', '2026-01-01'], ['Worth Smith', 'startMemberOf', 'Shiga Lakes', '2026-01-01'], ['David Roddy', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['Saša Borovnjak', 'endMemberOf', 'Fundación Lucentum Baloncesto', '2026-01-01'], ['Dominik Mavra', 'endMemberOf', 'KK Zadar', '2026-01-01'], ['Michał Kołodziej', 'endMemberOf', 'Twarde Pierniki Toruń', '2026-01-01'], ['Karl Konan', 'endMemberOf', 'Pays d\' Aix Université Club', '2026-01-01']]
[['Anthony Duruji', 'endMemberOf', 'Florida Gators men\' s basketball', '2026-01-01'], ['Claude Giroux', 'endMemberOf', 'Philadelphia Flyers', '2026-01-01'], ['Kendall Brown ( basketball)', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01'], ['Yamila Nizetich', 'endMemberOf', 'Trentino Rosa', '2026-01-01']]
[['Nacho Martín ( basketball)', 'endMemberOf', 'CB Estudiantes', '2026-01-01'], ['Volodymyr Gerun', 'endMemberOf', 'Büyükçekmece Basketbol', '2026-01-01'], ['Reggie Upshaw', 'startMemberOf', 'Mitteldeutscher BC', '2026-01-01'], ['Tija Gomilar Zickero', 'endMemberOf', 'RK Krim', '2026-01-01']]
[['Borislava Saykova', 'endMemberOf', 'VC CSKA Sofia', '2026-01-01'], ['Yaneirys Rodríguez', 'endMemberOf', 'CV Deportivo Géminis', '2026-01-01'], ['Sofia D U0027 Odorico', 'endMemberOf', 'AGIL Volley', '2026-01-01'], ['Vince Williams Jr.', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['Olafr Schmidt', 'endMemberOf', 'EV Landshut', '2026-01-01'], ['E. J. Montgomery', 'endMemberOf', 'Soproni KC', '2026-01-01'], ['Lisa Zimmermann ( gymnast)', 'endMemberOf', 'Tus 1861 Chemnitz-Altendorf', '2026-01-01'], ['George Papas', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['Christian Braun ( basketball)', 'endMemberOf', 'Kansas Jayhawks men\' s basketball', '2026-01-01'], ['Žana Dragutinović', 'endMemberOf', 'Žok Jedinstvo Brčko', '2026-01-01'], ['Max Christie ( basketball)', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01'], ['Laia Palau', 'endMemberOf', 'Uni Girona CB', '2026-01-01']]
[['', 'endMemberOf', 'SKA Minsk', '2026-01-01'], ['Emondre Rickman', 'startMemberOf', 'Montreal Alliance', '2026-01-01'], ['Charlie Moore ( basketball)', 'endMemberOf', 'Miami Hurricanes men\' s basketball', '2026-01-01'], ['Andy Rautins', 'startMemberOf', 'AEK B. C.', '2026-01-01']]
[['Nick Calathes', 'endMemberOf', 'FC Barcelona Bàsquet', '2026-01-01'], ['Kazuki Hosokawa', 'endMemberOf', 'Kyoto Hannaryz', '2026-01-01'], ['Anna Danesi', 'endMemberOf', 'Unione Sportiva Pro Victoria Pallavolo Monza', '2026-01-01'], ['Jordyn Poulter', 'endMemberOf', 'Unet E-Work Busto Arsizio', '2026-01-01']]
[['David Marek', 'endWorksFor', 'Weber State Wildcats', '2026-01-01'], ['Malik Dime', 'endMemberOf', 'Guerino Vanoli Basket', '2026-01-01'], ['Sára Kovářová', 'endMemberOf', 'Kastamonu Bld. GSK ( women\' s handball)', '2026-01-01'], ['Przemek Karnowski', 'endMemberOf', 'Twarde Pierniki Toruń', '2026-01-01']]
[['Jorge García Navea', 'endMemberOf', 'Club Atlético Montemar', '2026-01-01'], ['Yannick Franke', 'endMemberOf', 'Trefl Sopot', '2026-01-01'], ['Taiga Jack Komamizu', 'endMemberOf', 'Saga Ballooners', '2026-01-01'], ['Jonathan Lekkerimäki', 'endPlaysIn', 'Swedish Hockey League', '2026-01-01']]
[['Muusa Dama', 'endMemberOf', 'Veltex Shizuoka', '2026-01-01'], ['Jaume Lobo', 'endMemberOf', 'Cáceres Ciudad del Baloncesto', '2026-01-01'], ['Pipy Wolfs', 'endMemberOf', 'VOC Amsterdam', '2026-01-01'], ['Delaney Blaylock', 'endMemberOf', 'Cd Póvoa', '2026-01-01']]
[['Beta Dumančić', 'endMemberOf', 'Rote Raben Vilsbiburg', '2026-01-01'], ['Pedro Llompart', 'endMemberOf', 'Fundación Lucentum Baloncesto', '2026-01-01'], ['Mina Popović', 'endMemberOf', 'Fenerbahçe S. K. ( women\' s volleyball)', '2026-01-01'], ['Bojana Drča', 'endMemberOf', 'OK Crvena Zvezda', '2026-01-01']]
[['Matthias Tass', 'startMemberOf', 'MKS Dąbrowa Górnicza ( basketball)', '2026-01-01'], ['Conor Morgan', 'endMemberOf', 'BC Andorra', '2026-01-01'], ['Rafa Martínez', 'endMemberOf', 'Bàsquet Manresa', '2026-01-01'], ['Reetu Kulhua', 'endWorksFor', 'Ilves Naiset', '2026-01-01']]
[['Martí Rosado', 'endMemberOf', 'Ue Horta', '2026-01-01'], ['Giordan Watson', 'endMemberOf', 'U-BT Cluj-Napoca', '2026-01-01'], ['Tshilidzi Nephawe', 'startMemberOf', 'Kyoto Hannaryz', '2026-01-01'], ['Natalia Tomić', 'endMemberOf', 'Haok Mladost', '2026-01-01']]
[['T. J. Cline', 'startMemberOf', 'BC Andorra', '2026-01-01'], ['Rikke Øyerhamn', 'endMemberOf', 'Tertnes HE', '2026-01-01'], ['Nyeme Costa', 'endMemberOf', 'Associação Vôlei Bauru', '2026-01-01'], ['Emma Stach', 'endMemberOf', 'Panathinaikos women\' s basketball', '2026-01-05']]
[['Oumoul Sarr', 'startMemberOf', 'Tarbes Gespe Bigorre', '2026-02-01'], ['Nuria Martínez', 'endMemberOf', 'Club Bàsquet Femení Sant Adrià', '2026-02-14'], ['Kenjiro Sugiura', 'endMemberOf', '', '2026-03-01'], ['Oumoul Sarr', 'endMemberOf', 'Tarbes Gespe Bigorre', '2026-03-01']]
[['Yasuaki Imanari', 'endWorksFor', 'Hokkaido Nippon-Ham Fighters', '2026-03-02'], ['Barbara Roxana Wezorke', 'endMemberOf', 'Usc Münster', '2026-05-01'], ['Bernadette Karpf', 'endMemberOf', 'ERC Ingolstadt', '2026-05-01'], ['Lauren Cox', 'endMemberOf', 'Ibaeta Kirol Elkartea', '2026-05-01']]
[['Bligh Madris', 'endMemberOf', 'Indianapolis Indians', '2026-06-01'], ['Renata Březinová', 'endMemberOf', 'Tarbes Gespe Bigorre', '2026-06-01'], ['Sequoia Holmes', 'endMemberOf', 'Panathinaikos women\' s basketball', '2026-06-01'], ['Eva Chantava', 'endMemberOf', 'Panathinaikos women\' s volleyball', '2026-06-02']]
[['Vladimír Brodziansky', 'startMemberOf', 'Bahçeşehir Koleji S. K.', '2026-07-01'], ['Sofija Medić', 'startMemberOf', 'Panathinaikos women\' s volleyball', '2026-07-05'], ['Nemanja Nedović', 'endMemberOf', 'Panathinaikos B. C.', '2026-07-06'], ['Daryl Macon', 'endMemberOf', 'Panathinaikos B. C.', '2026-07-08']]
[['Steven Tsui', 'startMemberOf', 'Toyoda Gosei Scorpions', '2026-07-20'], ['Andrew Benintendi', 'endMemberOf', 'Kansas City Royals', '2026-07-28'], ['Elena Becheva', 'startMemberOf', 'Roleski Grupa Azoty Pwsz Tarnów', '2026-08-31'], ['Bligh Madris', 'endMemberOf', 'Pittsburgh Pirates', '2026-09-01']]
[['Andre Murray', 'endMemberOf', 'Tokyo Hachioji Bee Trains', '2026-10-25'], ['Linda Andersson', 'startMemberOf', 'Ftsv Straubing', '2026-10-28'], ['Kevin Kotzur', 'startMemberOf', 'Kumamoto Volters', '2026-11-02'], ['Elijah Burns', 'endMemberOf', 'Kagoshima Rebnise', '2026-11-27']]
[['Assiut University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2026-01-01'], ['Jimma University', 'startMemberOf', 'Association of African Universities', '2026-01-01'], ['Tanta University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2026-01-01'], ['Mohammed V University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2026-01-01']]
[['Paris 1 Panthéon-Sorbonne University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2026-01-01'], ['University of Rwanda', 'startMemberOf', 'Agence universitaire de la Francophonie', '2026-01-01'], ['Pasteur Institute', 'startMemberOf', 'Agence universitaire de la Francophonie', '2026-01-01'], ['Cheikh Anta Diop University', 'startMemberOf', 'Association of African Universities', '2026-01-01']]
[['Suez University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2026-01-01'], ['University of Uyo', 'startMemberOf', 'Association of African Universities', '2026-01-01'], ['Nazi Boni University', 'startMemberOf', 'Association of African Universities', '2026-01-01'], ['Misurata University', 'startMemberOf', 'Association of African Universities', '2026-01-01']]
[['University of Oradea', 'startMemberOf', 'Agence universitaire de la Francophonie', '2026-01-01'], ['École pratique des hautes études', 'startMemberOf', 'Agence universitaire de la Francophonie', '2026-01-01'], ['Accra Technical University', 'startMemberOf', 'Association of African Universities', '2026-01-01'], ['F12 Platform', 'endMemberOf', 'Clubture', '2026-03-25']]
[['Radan Dolejš', 'endWorksFor', 'Prague Conservatory', '2026-01-01'], ['Toomas Suuman', 'endWorksFor', 'Rakvere Theatre', '2026-01-01'], ['Merle Fahrholz', 'endWorksFor', 'Theater Dortmund', '2026-01-01'], ['Yurii Kerpatenko', 'endWorksFor', 'Regional Academic Musical-Dramatic Theatre Mykola Kulish', '2026-01-01']]
[['Jaume Baucis I Quer', 'endMemberOf', 'La Cubana', '2026-01-01'], ['Yury Butusov', 'endWorksFor', 'Vakhtangov Theatre', '2026-01-01'], ['Ivo Kubečka', 'endWorksFor', 'Divadlo Pod Palmovkou', '2026-11-01']]
[['International Association of Scientific, Technical, and Medical Publishers', 'startMemberOf', 'Chorus', '2026-01-01'], ['Bahaa El-Dien M El-Gendy', 'endMemberOf', 'Aas Affiliates Programme', '2026-01-01'], ['Adobe Inc.', 'startMemberOf', 'European Committee for Interoperable Systems', '2026-01-01'], ['Maryland-National Capital Park and Planning Commission', 'startMemberOf', 'American Association for State and Local History', '2026-01-01']]
[['New-York Historical Society', 'startMemberOf', 'Independent Research Libraries Association', '2026-01-01'], ['American Chemical Society', 'startMemberOf', 'Chorus', '2026-01-01'], ['Vitalis Anye', 'endMemberOf', 'Aas Affiliates Programme', '2026-01-01'], ['Institute of Electrical and Electronics Engineers', 'startMemberOf', 'Chorus', '2026-01-01']]
[['Charles Gatt', 'endWorksFor', 'Royal Opera House, Valletta', '2026-01-01'], ['Peabody Essex Museum', 'startMemberOf', 'Council of American Maritime Museums', '2026-01-01'], ['Chinese Academy of Sciences', 'startMemberOf', 'Association Of Academies And Societies Of Sciences In Asia', '2026-01-01'], ['Digital Research Alliance Of Canada', 'startMemberOf', 'Research Software Alliance', '2026-01-01']]
[['Indian National Science Academy', 'startMemberOf', 'Association Of Academies And Societies Of Sciences In Asia', '2026-01-01'], ['Olujimi Olanrewaju', 'endMemberOf', 'Aas Affiliates Programme', '2026-01-01'], ['Association for Computing Machinery', 'startMemberOf', 'Chorus', '2026-01-01'], ['Medical Research Council Of Zimbabwe', 'startMemberOf', 'International Science Council', '2026-01-01']]
[['Frank Fannar Pedersen', 'endWorksFor', 'Theater Basel', '2026-07-01'], ['Tara Beagan', 'startMemberOf', 'Indigenous Performing Arts Alliance', '2026-07-01'], ['Brit Johnston', 'startMemberOf', 'Indigenous Performing Arts Alliance', '2026-07-01'], ['Lara Kramer', 'startMemberOf', 'Indigenous Performing Arts Alliance', '2026-07-01']]
[['Jaroslav Flegr', 'endWorksFor', 'National Institute Of Mental Health', '2026-01-01'], ['Miroslava Bodrinova', 'endWorksFor', 'Research Institute of Crop Production', '2026-01-01'], ['Daniel Mietchen', 'endWorksFor', 'Fraunhofer Institute For Biomedical Engineering', '2026-01-01'], ['Lukáš M. Vytlačil', 'endWorksFor', 'Institute Of Czech Literature U002C Czech Academy Of Sciences', '2026-01-01']]
[['Álvaro Djaló', 'endMemberOf', 'S. C. Braga B', '2026-01-01'], ['Jonas Wind', 'endMemberOf', 'F. C. Copenhagen', '2026-01-01'], ['Imanol García de Albéniz', 'endMemberOf', 'Athletic Bilbao B', '2026-01-01'], ['Unai Vélez', 'endMemberOf', 'CD Basconia', '2026-01-01']]
