[['Miķelis Fišers', 'endSpouse', 'Inga Tropa', '2022-01-01'], ['Tuulikki Närhinsalo', 'endSpouse', 'Timo Närhinsalo', '2022-09-18'], ['Zdeněk Kučera', 'endSpouse', 'Zuzana Burianová', '2022-10-25'], ['Irena Greifová', 'endSpouse', 'Josef Laufer', '2022-12-22']]
[['Devon van Oostrum', 'startMemberOf', 'Club Melilla Baloncesto', '2022-01-01'], ['Rolands Šmits', 'endMemberOf', 'FC Barcelona Bàsquet', '2022-01-01'], ['Scott Blakney', 'endMemberOf', 'Montana Grizzlies basketball', '2022-01-01'], ['Marc García ( basketball)', 'endMemberOf', 'CB San Pablo Burgos', '2022-01-01']]
[['Pablo Hernández Montenegro', 'endMemberOf', 'AB Castelló', '2022-01-01'], ['Terrell Brown Jr.', 'endMemberOf', 'Washington Huskies men\' s basketball', '2022-01-01'], ['Daniel Clark ( basketball)', 'endMemberOf', 'Great Britain men\' s national basketball team', '2022-01-01'], ['Kevin Samuel', 'endMemberOf', 'Florida Gulf Coast Eagles men\' s basketball', '2022-01-01']]
[['Michael Savarino', 'endSportNumber', '"30"', '2022-01-01'], ['Gabriela Mărginean', 'endMemberOf', 'İzmit Belediyespor', '2022-01-01'], ['Kedrick Stockman Jr U002E ', 'endMemberOf', 'Osaka Evessa', '2022-01-01'], ['Arnau Parrado', 'endMemberOf', 'Club Joventut Badalona', '2022-01-01']]
[['Marcus Kaishu Tobin', 'endMemberOf', 'Shiga Lakes', '2022-01-01'], ['Nick Muszynski', 'endMemberOf', 'Belmont Bruins men\' s basketball', '2022-01-01'], ['Fausto Ruesga', 'endMemberOf', 'BC Andorra', '2022-01-01'], ['Charlotte Krenicky', 'endMemberOf', 'Ladies Volley Limburg As-Tongeren', '2022-01-01']]
[['Mira Todorova', 'endMemberOf', 'Allianz MTV Stuttgart', '2022-01-01'], ['Jaylen Sims', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01'], ['Maja Vojnović', 'endMemberOf', 'Siófok KC', '2022-01-01'], ['Jerome Jordan', 'endMemberOf', 'Rizing Zephyr Fukuoka', '2022-01-01']]
[['Chema González', 'endMemberOf', 'Baloncesto Fuenlabrada', '2022-01-01'], ['Petter Øverby', 'endMemberOf', 'HC Erlangen', '2022-01-01'], ['Wendell Moore Jr.', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01'], ['Junki Kano', 'endMemberOf', 'Toyotsu Fighting Eagles Nagoya', '2022-01-01']]
[['Pinelopi Papastergiou', 'endMemberOf', 'Panathinaikos women\' s volleyball', '2022-01-01'], ['Lauren Cox', 'endMemberOf', 'Los Angeles Sparks', '2022-01-01'], ['Leonard Graven', 'endMemberOf', 'Generali Unterhaching', '2022-01-01'], ['Haley Cavinder', 'endMemberOf', 'Fresno State Bulldogs women\' s basketball', '2022-01-01']]
[['Jaylen Sims', 'endMemberOf', 'UNC Wilmington Seahawks men\' s basketball', '2022-01-01'], ['Chris Czerapowicz', 'endMemberOf', 'UCAM Murcia CB', '2022-01-01'], ['Martyna Pyka', 'endMemberOf', 'Polonia Warsaw ( women\' s basketball)', '2022-01-01'], ['Radostina Marinova', 'endMemberOf', 'Évreux Volley-Ball', '2022-01-01']]
[['Tomáš Satoranský', 'startMemberOf', 'Washington Wizards', '2022-01-01'], ['Elin Larsson', 'endMemberOf', 'Rig Falköping', '2022-01-01'], ['Emondre Rickman', 'endMemberOf', 'Oberwart Gunners', '2022-01-01'], ['Nisre Zouzoua', 'endMemberOf', 'Alliance Sport Alsace', '2022-01-01']]
[['Frantz Massenat', 'endMemberOf', 'Niners Chemnitz', '2022-01-01'], ['Taiga Kagitomi', 'endMemberOf', 'Bowdoin Polar Bears men\' s basketball', '2022-01-01'], ['Venla Hovi', 'endWorksFor', 'Okanagan Hockey Group', '2022-01-01'], ['Kelsey Robinson', 'endMemberOf', 'Toyota Auto Body Queenseis', '2022-01-01']]
[['Shante Evans', 'endMemberOf', 'CB Avenida', '2022-01-01'], ['Pol Molins', 'endMemberOf', 'Bàsquet Girona', '2022-01-01'], ['Albert Cañellas', 'endWorksFor', 'Club Joventut Badalona', '2022-01-01'], ['Fabian White Jr.', 'endMemberOf', 'Houston Cougars men\' s basketball', '2022-01-01']]
[['Nikoleta Perović', 'endMemberOf', 'Bandung Bjb Tandamata', '2022-01-01'], ['Kim Robitaille', 'endMemberOf', 'Association Sportive Saint-Raphaël Volley-Ball', '2022-01-01'], ['Artem Pustovyi', 'endMemberOf', 'CB Gran Canaria', '2022-01-01'], ['Albert Cañellas', 'endWorksFor', 'CB Prat', '2022-01-01']]
[['Roberta Carraro', 'endMemberOf', 'Polisportiva Libertas Martignacco', '2022-01-01'], ['Kauldi Odriozola', 'endMemberOf', 'CD Bidasoa', '2022-01-01'], ['Melissa Rangel', 'endMemberOf', 'Associação Paranaense De Educação Esportiva E Social', '2022-01-01'], ['Zaid Hearst', 'startMemberOf', 'Fundación Lucentum Baloncesto', '2022-01-01']]
[['Miroslava Paskova', 'endMemberOf', 'Sigortashop Vk', '2022-01-01'], ['Fabian White Jr.', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01'], ['Margzetta Frazier', 'endMemberOf', 'UCLA Bruins women\' s gymnastics', '2022-01-01'], ['Eddy Polanco', 'endMemberOf', 'CB Almansa', '2022-01-01']]
[['Candela Salinas', 'endMemberOf', 'Dauphines Charleroi', '2022-01-01'], ['Niverka Marte', 'endMemberOf', 'Jakarta Pertamina Energi', '2022-01-01'], ['Tamara Pál', 'endMemberOf', 'Győri ETO KC', '2022-01-01'], ['Ferrán Bassas', 'endMemberOf', 'Club Joventut Badalona', '2022-01-01']]
[['Christine Mansour', 'endMemberOf', 'RKHV Volendam', '2022-01-01'], ['Elles Dambrink', 'endMemberOf', 'Talent Team Papendal Arnhem', '2022-01-01'], ['Jonathan Carlsbogård', 'endMemberOf', 'TBV Lemgo', '2022-01-01'], ['Kazuma Tsuya', 'endMemberOf', 'San-en NeoPhoenix', '2022-01-01']]
[['Sinead Jack', 'endMemberOf', 'Megavolley', '2022-01-01'], ['Sofija Medić', 'endMemberOf', 'Žok Ub', '2022-01-01'], ['Tomasz Gielo', 'startMemberOf', 'Peristeri B. C.', '2022-01-01'], ['Alexa Gray', 'endMemberOf', 'Unet E-Work Busto Arsizio', '2022-01-01']]
[['Álex Urtasun', 'endMemberOf', 'CB Breogán', '2022-01-01'], ['Sabina Jacobsen', 'endMemberOf', 'HC Dunărea Brăila', '2022-01-01'], ['Dejan Todorović', 'endMemberOf', 'CB Canarias', '2022-01-01'], ['Kennedy Chandler', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01']]
[['Martti Juhkami', 'endMemberOf', 'Tartu Volleyball', '2022-01-01'], ['Miguel Molina', 'endMemberOf', 'Cb Benahavís', '2022-01-01'], ['Samanta Fabris', 'endMemberOf', 'WVC Dynamo Kazan', '2022-01-01'], ['Andrea Mitrovic', 'endMemberOf', 'Ao Thīras', '2022-01-01']]
[['Juliët Lohuis', 'endMemberOf', 'Allianz MTV Stuttgart', '2022-01-01'], ['Frankie Ferrari', 'startMemberOf', 'Santa Cruz Warriors', '2022-01-01'], ['Yannick Franke', 'startMemberOf', 'BC Andorra', '2022-01-01'], ['Federica Squarcini', 'endMemberOf', 'Cuneo Granda Volley', '2022-01-01']]
[['Diana Lundvall', 'endMemberOf', 'Nurmon Jymy', '2022-01-01'], ['Calvin Hermanson', 'endMemberOf', 'AB Castelló', '2022-01-01'], ['Andreja Milutinović', 'endMemberOf', 'Kecskeméti TE ( basketball)', '2022-01-01'], ['Kevin Pangos', 'endMemberOf', 'Cleveland Cavaliers', '2022-01-01']]
[['Jutta Van De Vyver', 'endMemberOf', 'Asterix Avo Beveren', '2022-01-01'], ['Milana Božić', 'endMemberOf', 'Top Speed', '2022-01-01'], ['Laura Miloš', 'endMemberOf', 'Association Sportive Saint-Raphaël Volley-Ball', '2022-01-01'], ['Hana Fančovičová', 'endMemberOf', 'Hc Škp Bratislava', '2022-01-01']]
[['Bojana Milenković', 'endMemberOf', 'KPS Chemik Police', '2022-01-01'], ['Peter Kiss ( basketball)', 'endMemberOf', 'Bryant Bulldogs men\' s basketball', '2022-01-01'], ['Berthrade Bikatal', 'endMemberOf', 'Évreux Volley-Ball', '2022-01-01'], ['Demitrius Conger', 'endMemberOf', 'BC Oostende', '2022-01-01']]
[['Kevin Kotzur', 'endMemberOf', 'Altiri Chiba', '2022-01-01'], ['Isaiah Manderson', 'endMemberOf', 'APOP Paphos B. C.', '2022-01-01'], ['Rafa Luz', 'endMemberOf', 'Bilbao Basket', '2022-01-01'], ['Aaron Menzies', 'endMemberOf', 'Fundación Lucentum Baloncesto', '2022-01-01']]
[['David Lee ( volleyball)', 'endMemberOf', 'Calicut Heroes', '2022-01-01'], ['Xavi Forcada', 'endMemberOf', 'Hermine Nantes Basket', '2022-01-01'], ['Ryō Kubota', 'endMemberOf', 'Kagoshima Rebnise', '2022-01-01'], ['Isaiah Manderson', 'startMemberOf', 'Indios de Mayagüez ( basketball)', '2022-01-01']]
[['Olafr Schmidt', 'startMemberOf', 'Ehc Bayreuth', '2022-01-01'], ['Akito Uchida', 'endMemberOf', 'Kyoto Hannaryz', '2022-01-01'], ['Zaid Hearst', 'startMemberOf', 'Básquet Coruña', '2022-01-01'], ['Aleksandra Rosiak', 'endMemberOf', 'ESBF Besançon', '2022-01-01']]
[['Lora Kitipova', 'endMemberOf', 'Sk Prometej', '2022-01-01'], ['Isaiah Manderson', 'startMemberOf', 'KB Rahoveci', '2022-01-01'], ['Julia Nilsson', 'endMemberOf', 'Ti-Volley', '2022-01-01'], ['Erika Mercado', 'endMemberOf', 'Aris Thessaloniki Women\' s Volleyball', '2022-01-01']]
[['Menno Dijkstra', 'endMemberOf', 'Iraurgi SB', '2022-01-01'], ['Léo Westermann', 'endMemberOf', 'AS Monaco Basket', '2022-01-01'], ['Estelle Adiana', 'endMemberOf', 'Volley-Ball Club Chamalières', '2022-01-01'], ['Nagomu Kamizato', 'endMemberOf', 'Sendai 89ers', '2022-01-01']]
[['Felizia Wikner Zienkiewicz', 'endMemberOf', 'HV71 ( women)', '2022-01-01'], ['Tahirou Diabate', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01'], ['Thomas Jaeschke', 'endMemberOf', 'Power Volley Milano', '2022-01-01'], ['Erik Thorsteinsen Toft', 'endMemberOf', 'Mors-Thy Håndbold', '2022-01-01']]
[['Artsiom Parakhouski', 'endMemberOf', 'BC Parma', '2022-01-01'], ['Elisa Lohmann', 'endMemberOf', 'Vfb 91 Suhl', '2022-01-01'], ['Josh Minott', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01'], ['Anson Thornton', 'endMemberOf', 'Sarnia Sting', '2022-01-01']]
[['Iván Martínez Muñumer', 'endMemberOf', 'CB Tizona', '2022-01-01'], ['Jarred Ogungbemi-Jackson', 'endMemberOf', 'Bakken Bears', '2022-01-01'], ['Božana Butigan', 'endMemberOf', 'Imoco Volley', '2022-01-01'], ['Kiichi Kawakami', 'endMemberOf', 'Kagoshima Rebnise', '2022-01-01']]
[['Collin Sexton', 'endMemberOf', 'Cleveland Cavaliers', '2022-01-01'], ['Tatjana Brnović', 'startMemberOf', 'RK Krim', '2022-01-01'], ['Marvin Ogunsipe', 'endMemberOf', 'FC Bayern Munich ( basketball)', '2022-01-01'], ['George Papas', 'endMemberOf', 'Monmouth Hawks men\' s basketball', '2022-01-01']]
[['Laura Pascua', 'endMemberOf', 'Acs Volei Turda', '2022-01-01'], ['Taylor House ( ice hockey)', 'endMemberOf', 'Quinnipiac Bobcats women\' s ice hockey', '2022-01-01'], ['Anthony Duruji', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01'], ['Artūras Valeika', 'endMemberOf', 'BC Pärnu', '2022-01-01']]
[['Emma Meesseman', 'endMemberOf', 'UMMC Ekaterinburg', '2022-01-01'], ['Joan Pardina', 'endMemberOf', 'Fundación CB Granada', '2022-01-01'], ['Leonardo Demétrio', 'endMemberOf', 'U. S. Victoria Libertas Pallacanestro', '2022-01-01'], ['Vassilis Kavvadas', 'endMemberOf', 'Panathinaikos B. C.', '2022-01-01']]
[['Elitsa Vasileva', 'endMemberOf', 'WVC Dynamo Moscow', '2022-01-01'], ['Sekai Wright', 'endMemberOf', 'UCLA Bruins women\' s gymnastics', '2022-01-01'], ['Diego Guaita', 'endMemberOf', 'Club Villa San Martín', '2022-01-01'], ['Rolandas Jakštas', 'endMemberOf', 'Fundación Lucentum Baloncesto', '2022-01-01']]
[['Jabari Walker', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01'], ['Zoran Nikolić ( basketball)', 'endMemberOf', 'KK Budućnost', '2022-01-01'], ['Amadou Sidibé', 'endMemberOf', 'Tours Métropole Basket', '2022-01-01'], ['Tristin Walley', 'startMemberOf', 'MBC Mykolaiv', '2022-01-01']]
[['Tahirou Diabate', 'endMemberOf', 'San Diego State Aztecs men\' s basketball', '2022-01-01'], ['Alissa Pili', 'endMemberOf', 'USC Trojans women\' s basketball', '2022-01-01'], ['Dorina Korsós', 'endMemberOf', 'Debreceni VSC ( women\' s handball)', '2022-01-01'], ['Gabriela Orvošová', 'endMemberOf', 'BKS Bielsko-Biała', '2022-01-01']]
[['JD Davison', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01'], ['Ema Strunjak', 'endMemberOf', 'Békéscsabai RSE', '2022-01-01'], ['Dragan Milosavljević', 'endMemberOf', 'Baloncesto Fuenlabrada', '2022-01-01'], ['Linn Hansson', 'endMemberOf', 'Bk Heid', '2022-01-01']]
[['Robert Täht', 'endMemberOf', 'Skra Bełchatów', '2022-01-01'], ['Nicola Bischofberger', 'endMemberOf', 'Linköping Ibk', '2022-01-01'], ['Aki Watanabe', 'endMemberOf', 'Ibaraki Astro Planets', '2022-01-01'], ['Alex O U0027 Connell', 'endMemberOf', 'Creighton Bluejays men\' s basketball', '2022-01-01']]
[['Vetle Eck Aga', 'endMemberOf', 'IK Sävehof', '2022-01-01'], ['Deborah Acquah', 'endMemberOf', 'Texas A& M Aggies', '2022-01-01'], ['Da\' Monte Williams', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01'], ['Rudy Gobert', 'endMemberOf', 'Utah Jazz', '2022-01-01']]
[['Yankuba Sima', 'endMemberOf', 'Bàsquet Manresa', '2022-01-01'], ['Arvydas Gydra', 'endMemberOf', 'CB Almansa', '2022-01-01'], ['Timofey Mozgov', 'endMemberOf', 'Bc Runa', '2022-01-01'], ['Oscar da Silva', 'endMemberOf', 'Alba Berlin', '2022-01-01']]
[['Joan Tomàs Noguera', 'endMemberOf', 'Fundación Lucentum Baloncesto', '2022-01-01'], ['Devon van Oostrum', 'endMemberOf', 'CB Peñas Huesca', '2022-01-01'], ['Thomas Schreiner ( basketball)', 'endMemberOf', 'Força Lleida CE', '2022-01-01'], ['Bamba Fall', 'endMemberOf', 'Palencia Baloncesto', '2022-01-01']]
[['Category U003A Stephanie Kostowicz', 'endMemberOf', 'CSM Satu Mare ( basketball)', '2022-01-01'], ['Renaldo Dixon', 'endMemberOf', 'Aomori Wat\' s', '2022-01-01'], ['Álex Llorca', 'endMemberOf', 'Club Melilla Baloncesto', '2022-01-01'], ['Christine Alver', 'endMemberOf', 'Fana Håndball', '2022-01-01']]
[['Takumi Ide', 'endMemberOf', 'Hiroshima Dragonflies', '2022-01-01'], ['J. J. Barea', 'endMemberOf', 'Cangrejeros de Santurce ( basketball)', '2022-01-01'], ['Kenta Whitaker', 'endMemberOf', 'Kumamoto Volters', '2022-01-01'], ['Mao Fukuda', 'endMemberOf', 'Nishinomiya Storks', '2022-01-01']]
[['Nika Daalderop', 'endMemberOf', 'AGIL Volley', '2022-01-01'], ['Sergio Mendiola', 'startMemberOf', 'Iraurgi SB', '2022-01-01'], ['Emily Maglio', 'endMemberOf', 'Nilüfer Belediyespor ( women\' s volleyball)', '2022-01-01'], ['Olesia Rykhliuk', 'endMemberOf', 'Kuzeyboru Gsk', '2022-01-01']]
[['Tomáš Satoranský', 'endMemberOf', 'New Orleans Pelicans', '2022-01-01'], ['Caroline Livingston', 'endMemberOf', 'Municipal Olympique Mougins Volleyball', '2022-01-01'], ['Mouhamadou Gueye', 'endMemberOf', 'Pittsburgh Panthers men\' s basketball', '2022-01-01'], ['J U002E D U002E Weatherspoon', 'startMemberOf', 'Toyoda Gosei Scorpions', '2022-01-01']]
[['Jonas Bergstedt', 'endMemberOf', 'Spójnia Stargard', '2022-01-01'], ['Annika Lott', 'endMemberOf', 'Buxtehuder SV', '2022-01-01'], ['Pia Kästner', 'endMemberOf', 'ASPTT Mulhouse', '2022-01-01'], ['Bryce McGowens', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01']]
[['Elisabet Cesáreo', 'endMemberOf', 'BM Bera Bera', '2022-01-01'], ['Yu Chang', 'startMemberOf', 'Pittsburgh Pirates', '2022-01-01'], ['Shawn Jones ( basketball)', 'startMemberOf', 'Spójnia Stargard', '2022-01-01'], ['Carlos Noguerol', 'endMemberOf', 'Fundación Lucentum Baloncesto', '2022-01-01']]
[['Carlos Suárez ( basketball)', 'endMemberOf', 'Baloncesto Málaga', '2022-01-01'], ['Nasya Dimitrova', 'endMemberOf', 'Sk Prometej', '2022-01-01'], ['Kellan Grady', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-01-01'], ['Marie Schölzel', 'endMemberOf', 'Volley Bergamo 1991', '2022-01-01']]
[['Category U003A Nathan Cayo', 'endMemberOf', 'Montreal Alliance', '2022-01-01'], ['Tomasz Gielo', 'endMemberOf', 'S. Oliver Würzburg', '2022-01-01'], ['Kara Bajema', 'endMemberOf', 'Klub Sportowy Developres Rzeszów', '2022-01-01'], ['Obie Trotter', 'startMemberOf', 'BK Patrioti Levice', '2022-01-01']]
[['Adrian Bowie', 'endMemberOf', 'BC Kutaisi 2010', '2022-01-01'], ['Adrià Domenech', 'endMemberOf', 'CB Prat', '2022-01-01'], ['Pol Bassas', 'endMemberOf', 'CB Villarrobledo', '2022-01-01'], ['Shaylee Gonzales', 'endMemberOf', 'BYU Cougars women\' s basketball', '2022-01-01']]
[['Gjio Bain', 'endMemberOf', 'Shinagawa City Basketball Club', '2022-01-01'], ['Jalen Nesbitt', 'endMemberOf', 'CB Almansa', '2022-01-01'], ['Albert Oliver', 'endMemberOf', 'Obradoiro CAB', '2022-01-01'], ['Yūki Ueta', 'endMemberOf', 'Gunma Crane Thunders', '2022-01-01']]
[['Dylan Ennis', 'endMemberOf', 'CB Gran Canaria', '2022-01-01'], ['Astride N\' Gouan', 'endMemberOf', 'Metz Handball', '2022-01-01'], ['Colton Iverson', 'endMemberOf', 'Akita Northern Happinets', '2022-01-01'], ['Gerel Simmons', 'startMemberOf', 'Apollon Patras B. C.', '2022-01-01']]
[['Martina Šamadan', 'endMemberOf', 'Haok Mladost', '2022-01-01'], ['Tomáš Satoranský', 'startMemberOf', 'San Antonio Spurs', '2022-01-01'], ['Cameron Krutwig', 'endMemberOf', 'Antwerp Giants', '2022-01-01'], ['Devin Schmidt', 'endMemberOf', 'Cáceres Ciudad del Baloncesto', '2022-01-01']]
[['Samuel Rodríguez Ramos', 'endMemberOf', 'Cb Cartagena', '2022-01-01'], ['Doug Edert', 'endMemberOf', 'Saint Peter\' s Peacocks men\' s basketball', '2022-01-01'], ['Vicky Savard', 'endMemberOf', 'Terville Florange Olympique Club', '2022-01-01'], ['Andrew Robinson', 'startMemberOf', 'Tryhoop Okayama', '2022-01-01']]
[['Nikoleta Perović', 'endMemberOf', 'TED Ankara Kolejliler Volleyball', '2022-01-01'], ['Kingsley Okoroh', 'endMemberOf', 'Plymouth City Patriots', '2022-01-01'], ['Ignacio Rosa', 'endMemberOf', 'CB Peñas Huesca', '2022-01-01'], ['Zeke Moore ( basketball)', 'endMemberOf', 'Stevnsgade Basketball', '2022-01-01']]
[['Lorena Viezel', 'endMemberOf', 'Grêmio Recreativo Barueri ( women\' s volleyball)', '2022-01-01'], ['Stephen Curry', 'startAward', 'NBA Finals Most Valuable Player Award', '2022-01-01'], ['Javier Marín Ayerbe', 'endMemberOf', 'CB Clavijo', '2022-01-01'], ['Txemi Urtasun', 'startMemberOf', 'Bàsquet Manresa', '2022-01-01']]
