[['Søren Rud Kristensen', 'endAlumniOf', 'University of Manchester', '2026-09-30']]
[['Mikk Antsov', 'startWorksFor', 'University of Tartu', '2026-07-31']]
[['Alonzo Linner', 'endAlumniOf', 'A. S. D. Fanfulla', '2026-12-31']]
[['Noel D Mccarthy', 'startAward', 'ACM Fellow', '2026-07-13']]
[['Paul Bates', 'startAlumniOf', 'German Research Foundation', '2026-04-15']]
[['Robert S Jansen', 'endWorksFor', 'Weill Cornell Medicine', '2026-12-31']]
[['Thomas Zander ( footballer)', 'endMemberOf', 'TSV 1860 Munich', '2026-08-21']]
[['Patricia Lascelles, Countess of Harewood', 'endSpouse', 'Athol Shmith', '2026-12-29']]
[['Michael Takaza', 'endAlumniOf', 'Trinity College Dublin', '2026-06-06']]
[['Floriane Groell', 'startWorksFor', 'University of Technology of Compiègne', '2026-12-31']]
[['Massimo Carella', 'endAlumniOf', 'University of Naples Federico II', '2026-07-13']]
[['Daniel L Starnes', 'endAlumniOf', 'University of Kentucky', '2026-11-01']]
[['Malthe Sand Thomsen', 'endMemberOf', 'Give Cykelklub', '2026-03-22']]
[['Naoki', 'endMemberOf', 'Hysteric Blue', '2026-09-30']]
[['Bonaventure Maruti', 'endMemberOf', 'Kenya national football team', '2026-08-01']]
[['Anton Olshvang', 'endAlumniOf', 'Rijksakademie van beeldende kunsten', '2026-06-27']]
[['I-Ching Lee', 'startMemberOf', 'Wright State Raiders men\' s basketball', '2026-07-13']]
[['Yanwen Sun', 'startAlumniOf', 'AFC Bournemouth', '2026-06-01']]
[['Teemu J Niiranen', 'endAlumniOf', 'University of Turku', '2026-06-01']]
[['Stephanie Guertin', 'startWorksFor', 'University of Rhode Island', '2026-06-01']]
[['Kathryn Wright', 'startWorksFor', 'Taronga Conservation Society', '2026-01-31']]
[['Yen-Chu Huang', 'startMemberOf', 'McGill University', '2026-07-01']]
[['Simone Quaranta', 'endAlumniOf', 'Sapienza University of Rome', '2026-11-15']]
[['Matthew J Lennox', 'startAward', 'National Order of Merit ( Paraguay)', '2026-03-01']]
[['Marlene Barros', 'startWorksFor', 'University of Coimbra', '2026-03-18']]
[['Rebecca B U002E Berlow', 'startAward', 'Arnold Zellner Thesis Award', '2026-04-22']]
[['Champ Slaughter', 'endMemberOf', 'Eastern Kentucky Colonels men\' s basketball', '2026-05-01']]
[['Chiara Chianese', 'startWorksFor', 'University of Florence', '2026-02-01']]
[['Alexander Ahammer', 'startWorksFor', 'Johannes Kepler University Linz', '2026-03-03']]
[[' Megz', 'endMemberOf', 'William & Mary Tribe men\' s basketball', '2026-12-29']]
[['Wichuda Jiraporncharoen', 'startWorksFor', 'Faculty Of Veterinary Medicine U002C Chiang Mai University', '2026-10-01']]
[['Andy J U002E Boyce', 'endAlumniOf', 'University of Montana', '2026-12-03']]
[['Gorka Arrizabalaga', 'startAlumniOf', 'Team DSM ( men\' s team)', '2026-07-03']]
[['Chris Adams', 'endMemberOf', 'Elon Phoenix men\' s basketball', '2026-12-01']]
[['Thomas Farley', 'endWorksFor', 'University of Bristol', '2026-06-20']]
[['J-F Lemay', 'startAward', 'Legion of Honour', '2026-06-07']]
[['John Peters', 'endWorksFor', 'Montana State University', '2026-10-17']]
[['Philip Maurer', 'startWorksFor', 'RWTH Aachen University', '2026-07-02']]
[['Aaron Ellis', 'endMemberOf', 'Wichita State Shockers men\' s basketball', '2026-11-01']]
[['Tomasz Wilanowski', 'endAlumniOf', 'Australian National University', '2026-11-23']]
[['Zaifeng Fan', 'endMemberOf', 'Michigan State University', '2026-09-01']]
[['Qiuzhi Xie', 'endWorksFor', 'Education University of Hong Kong', '2026-03-07']]
[['Dimitry M Danilenko', 'endAlumniOf', 'Al-Talaba SC', '2026-08-02']]
[['Takuya Fujimura', 'startWorksFor', 'Tokyo Metropolitan University', '2026-04-07']]
[['Simon J White', 'endWorksFor', 'University of Leeds', '2026-11-20']]
[['Imogen Gingell', 'endAlumniOf', 'University of Warwick', '2026-08-24']]
[['Kenneth F Glasscock', 'startWorksFor', 'University of South Carolina', '2026-06-01']]
[['Samantha C Lean', 'endWorksFor', 'University of Manchester', '2026-06-27']]
[['Xiaohui Song', 'startWorksFor', 'Nanyang Technological University', '2026-01-03']]
[['Ludwin Van Nieuwenhuyze', 'endMemberOf', 'S. V. Zulte Waregem', '2026-07-01']]
[['Bernard Mazin', 'startAward', 'Prix Broquette-Gonin', '2026-04-10']]
[['Michel Pons', 'endAlumniOf', 'Grenoble Institute of Technology', '2026-06-13']]
[['Goanar Mar', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-09-11']]
[['T C Sabari Girisun', 'startWorksFor', 'Chester City F. C.', '2026-05-19']]
[['Robert J Bryant', 'startWorksFor', 'Peterhouse, Cambridge', '2026-08-21']]
[['Yoshiaki Nishibayashi', 'endWorksFor', 'Kyoto University', '2026-10-24']]
[['Évita Muzic', 'endWorksFor', 'U. S. Pistoiese 1921', '2026-02-28']]
[['Mihail Mihailov', 'endMemberOf', 'Trevigiani Phonix– Hemus 1896', '2026-05-01']]
[['Hichem Djait', 'startAward', 'Clio Award For Archaeological Research', '2026-06-13']]
[['Eivinas Zagurskas', 'endMemberOf', 'FK Banga Gargždai', '2026-02-01']]
[[' Jackson', 'endMemberOf', 'Miami RedHawks men\' s basketball', '2026-12-20']]
[['Apar Pataer', 'endWorksFor', 'Kyoto University', '2026-03-01']]
[['Lei Cheng', 'startMemberOf', 'Eötvös Loránd University', '2026-01-26']]
[['Susan Lewis', 'endWorksFor', 'University of St Andrews', '2026-04-15']]
[['Casimir Nowotarski', 'endMemberOf', 'University of Nottingham', '2026-06-01']]
[['Michael Furlough', 'endWorksFor', 'Pennsylvania State University', '2026-04-15']]
[['Shawn A Steffan', 'endAlumniOf', 'Washington State University', '2026-10-01']]
[['Niels Dam', 'endAlumniOf', 'London Business School', '2026-03-21']]
[['Joe Woods', 'endMemberOf', 'Auburn Tigers men\' s basketball', '2026-09-10']]
[['Beth Hall', 'endAlumniOf', 'Yerevan State University', '2026-04-08']]
[['Yuh-Shihng Chang', 'startWorksFor', 'National Taiwan University', '2026-01-31']]
[['René Audran', 'startAward', 'Prix Joliot-Curie', '2026-01-13']]
[['Jeff Darey', 'startMemberOf', 'Colgate Raiders men\' s basketball', '2026-06-02']]
[['Anjali Bajpai', 'startWorksFor', 'Rani Durgavati Vishwavidyalaya', '2026-06-01']]
[['Anthony Holland', 'endMemberOf', 'Fresno State Bulldogs men\' s basketball', '2026-04-15']]
[['Melkie Getnet Tadesse', 'startWorksFor', 'Technical University of Liberec', '2026-11-17']]
[['Hettie C Schönfeldt', 'endAlumniOf', 'University of Pretoria', '2026-06-06']]
[['Vinay K Bari', 'startWorksFor', 'Institute of Microbial Technology', '2026-02-28']]
[['Ana María Polo', 'endAlumniOf', 'University of Miami', '2026-01-16']]
[['Jorge A Gaspar-Armenta', 'endMemberOf', 'German Research Foundation', '2026-12-29']]
[['Bill Braksick', 'startWorksFor', 'Penn State Nittany Lions basketball', '2026-10-22']]
[['Department of Lambayeque', 'endLeader', 'Anselmo Lozano Centurión', '2026-03-31']]
[['Jacqueline Weyer', 'startWorksFor', 'Baylor University', '2026-07-01']]
[['Phillip Gyau', 'endMemberOf', 'Los Angeles Salsa', '2026-03-01']]
[['Xabi Etxebarria', 'endMemberOf', 'Athletic Bilbao', '2026-06-13']]
[['Fang-Fang Li', 'endAlumniOf', 'Changchun Institute Of Applied Chemistry', '2026-03-01']]
[['Conrad Stephens', 'endMemberOf', 'Robert Morris Colonials men\' s basketball', '2026-07-31']]
[['Mauro Valorani', 'endAlumniOf', 'Department Of Statistical Sciences U002C Sapienza University Of Rome', '2026-09-01']]
[['Catherine Purcell', 'endAlumniOf', 'University of Glamorgan', '2026-10-30']]
[['Mark Kitching', 'endMemberOf', 'University of Turku', '2026-06-01']]
[['Ken Uhlar', 'endMemberOf', 'Shiraz University', '2026-11-28']]
[['Tommy Rasmussen', 'endMemberOf', 'Skagarack', '2026-11-11']]
[['Luis Pérez Romero', 'endMemberOf', 'Andalucía ( cycling team)', '2026-02-01']]
[['Pavlo Sirotin', 'endMemberOf', 'FC Krystal Chortkiv', '2026-03-31']]
[['Simone De Camillis', 'startWorksFor', 'Queen\' s University Belfast', '2026-06-06']]
[['Jürgen Kocka', 'startWorksFor', 'University of Ottawa', '2026-07-01']]
[['Martin Dimitrov ( footballer, born 1987)', 'endMemberOf', 'PFC Burgas', '2026-09-02']]
[['Ingo Porges', 'startMemberOf', 'RC Strasbourg Alsace', '2026-11-12']]
[['Hideki Takayasu', 'endAlumniOf', 'Nagoya University', '2026-05-16']]
[['Danylo Chufarov', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-06-06']]
[['Rich Jackson', 'endMemberOf', 'Stanford Cardinal men\' s basketball', '2026-02-23']]
[['Jingjie Luo', 'endWorksFor', 'Institute Of Metals Research', '2026-05-10']]
[['Panle Jia Barwick', 'startAward', 'Arnold Zellner Thesis Award', '2026-05-10']]
[['Dechao Tian', 'endAlumniOf', 'National University of Singapore', '2026-08-31']]
[['Matt Othick', 'startMemberOf', 'German Research Foundation', '2026-12-13']]
[['Virgínia Farias Alves', 'endAlumniOf', 'Federal University of Goiás', '2026-06-30']]
[['Lloy Ball', 'endMemberOf', 'VC Zenit-Kazan', '2026-04-10']]
[['Wui Man Lau', 'endAlumniOf', 'University of Hong Kong', '2026-11-01']]
[['Holbert H U002E Hendrix', 'startAward', 'Honorary Doctorate generic instance', '2026-05-30']]
[['Daniel Liu', 'endMemberOf', 'Tianjin University', '2026-01-01']]
[['Mishal Gudka', 'endWorksFor', 'University of East Anglia', '2026-11-12']]
[['Lamond Murray', 'endMemberOf', 'California Golden Bears men\' s basketball', '2026-10-08']]
[['Jennifer Richeson', 'startAward', 'Adolph Lomb Medal', '2026-12-01']]
[['Bénédicte Kuntziger', 'endAlumniOf', 'University of São Paulo', '2026-08-01']]
[['Elena Rudolfovna Isaeva', 'startMemberOf', 'Viking FK', '2026-09-01']]
[['Anastasios Kanellakopoulos', 'endAlumniOf', 'National Technical University of Athens', '2026-09-30']]
[['Pierre Amandry', 'endMemberOf', 'Académie des Inscriptions et Belles-Lettres', '2026-06-30']]
[['Luiz Carlos Bassuma', 'endMemberOf', 'Green Party ( Brazil)', '2026-05-04']]
[['Spyridon Thomas Pachis', 'endWorksFor', 'Utrecht University', '2026-12-31']]
[['Jason S Massey', 'endAlumniOf', 'Pennsylvania State University', '2026-01-01']]
[['Gunther Carsten Wolfgang Hennrich', 'endAlumniOf', 'University of Leeds', '2026-11-04']]
[['Noriko Gotoh', 'endWorksFor', 'New York University', '2026-03-01']]
[['Michael Breakspear', 'endWorksFor', 'University of Sydney', '2026-08-26']]
[['Konstantin P U002E Volcho', 'endWorksFor', 'Vorozhtsov Novosibirsk Institute of Organic Chemistry', '2026-02-01']]
[['Femke Vandael', 'endAlumniOf', 'Ghent University', '2026-12-29']]
[['Saarenjärvi', 'startLocation', 'Ekenäs, Finland', '2026-07-11']]
[['Kei Hiruma', 'endWorksFor', 'Kyoto University', '2026-04-29']]
[['Ismail Lazoglu', 'endWorksFor', 'University of British Columbia', '2026-06-22']]
[['Kristen Johnson', 'startWorksFor', 'Panionios F. C.', '2026-11-18']]
[['Andrew Riley', 'endMemberOf', 'Arkansas State Red Wolves men\' s basketball', '2026-09-01']]
[['Navya Josyula', 'endAlumniOf', 'University of Illinois Chicago', '2026-07-13']]
[['Eileen Moyer', 'startWorksFor', 'University of Iowa', '2026-09-02']]
[['Dave Brown ( quarterback)', 'endMemberOf', 'Arizona Cardinals', '2026-04-27']]
[['Gustavo M Tavares', 'endAlumniOf', 'Fundação Getulio Vargas', '2026-08-01']]
[['Hannah Jordan', 'endAlumniOf', 'London School of Hygiene and Tropical Medicine', '2026-09-30']]
[['Toine van Huizen', 'startMemberOf', 'German Research Foundation', '2026-10-14']]
[['Kenton Fisher', 'endMemberOf', 'Northwestern State Demons basketball', '2026-03-05']]
[['Darren Lee', 'endMemberOf', 'Loyola Marymount Lions men\' s basketball', '2026-01-01']]
[['Issei Takeuchi', 'endAlumniOf', 'Tokyo University of Science', '2026-06-01']]
[['Hanbyul Chang', 'startAlumniOf', 'Sandefjord Fotball', '2026-08-23']]
[['M Albert Thomas', 'startWorksFor', 'Indian Institute of Science', '2026-05-10']]
[['Jinfeng Ding', 'startWorksFor', 'Central South University', '2026-06-21']]
[['Oleg Kokorev', 'endAlumniOf', 'Tomsk State University', '2026-06-16']]
[['Narendra M Adhikari', 'endWorksFor', 'Ohio University', '2026-11-01']]
[['Rashid Mahmud', 'endMemberOf', 'Sri Pahang F U002E C U002E ', '2026-09-24']]
[['Tom A U002E Williams', 'endAlumniOf', 'Trinity College Dublin', '2026-01-28']]
[['Mamdouh M El-Maghraby', 'endWorksFor', 'Suez Canal University Faculty Of Veterinary Medicine', '2026-10-01']]
[['Blessings M Kapumba', 'startWorksFor', 'University of Leeds', '2026-10-17']]
[['Jessica Bassani Borges', 'endWorksFor', 'University of São Paulo', '2026-02-01']]
[['Xiaohong Chen', 'startMemberOf', 'India national cricket team', '2026-05-14']]
[['Esdras Rangel', 'endMemberOf', 'Chiapas F. C. Reserves and Academy', '2026-11-01']]
[['Quade Cooper', 'endMemberOf', 'RC Toulonnais', '2026-02-28']]
[['Yuchen Zhang', 'startMemberOf', 'Moreirense F. C.', '2026-06-30']]
[['Wasim Akram', 'endMemberOf', 'HTV Basket', '2026-05-10']]
[['Hirotsugu Suwanai', 'endWorksFor', 'The University Of Tokyo Hospital', '2026-11-01']]
[['Ed Brinkley', 'endMemberOf', 'Zero Foundation', '2026-12-08']]
[['Dominique Latournerie', 'startWorksFor', 'École nationale d\' administration', '2026-11-20']]
[['Brian Friesen', 'endWorksFor', 'Lawrence Berkeley National Laboratory', '2026-12-31']]
[['Suhn Yeop Kim', 'endAlumniOf', 'Yonsei University', '2026-01-01']]
[['Zachary Rossetti', 'endWorksFor', 'Providence College', '2026-02-01']]
[['Lin Ouyang', 'endAlumniOf', 'Ghent University', '2026-11-23']]
[['Hui Xia', 'startWorksFor', 'Louisiana Tech University', '2026-08-04']]
[['Bob Russ', 'endMemberOf', 'Northern Illinois Huskies men\' s basketball', '2026-08-01']]
[['Mikkel Bloss Carstensen', 'endAlumniOf', 'University of Southern Denmark', '2026-11-11']]
[['Ron Teixeira', 'startAlumniOf', 'Harvard T. H. Chan School of Public Health', '2026-02-01']]
[['Henri Schadee', 'endWorksFor', 'Leiden University', '2026-10-15']]
[['Aleksei Dudin', 'endWorksFor', 'Atlético Clube de Portugal', '2026-06-01']]
[['Jacob Bortnik', 'endAlumniOf', 'Stanford University', '2026-12-31']]
[['Jean-Claude Dreher', 'startAward', 'CNRS Silver Medal', '2026-03-10']]
[['Lei Pan', 'endMemberOf', 'University of Sydney', '2026-04-23']]
[['Tae-Seob Kang', 'startWorksFor', 'Seoul National University', '2026-01-01']]
[['Aiza Shabbir', 'startWorksFor', 'Superior University', '2026-10-01']]
[['Sérgio Conceição', 'endPlaysIn', 'Serie B generic instance', '2026-10-17']]
[['Taha Mehany', 'endMemberOf', 'German Research Foundation', '2026-01-01']]
[['Jorge Wallace', 'endMemberOf', 'University of Copenhagen', '2026-06-06']]
[['Geronimo Jimenez', 'endAlumniOf', 'New York University', '2026-01-01']]
[['Edward Peltier', 'startWorksFor', 'Northwestern University', '2026-01-01']]
[['Mari Nerhus', 'startWorksFor', 'University of Oslo', '2026-12-10']]
[['Fady Anis', 'endAlumniOf', 'University of Nottingham', '2026-03-31']]
[['William Thompson', 'endWorksFor', 'Carnegie Institution for Science', '2026-06-01']]
[['Paul Wassell', 'endAlumniOf', 'University of Chester', '2026-04-14']]
[['Gene King', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-06-05']]
[['Romina J Catalán', 'startWorksFor', 'University of Santiago, Chile', '2026-07-31']]
[['Fang-Hsuean Liao', 'startWorksFor', 'Taipei Medical University', '2026-07-09']]
[['Pieternel Pasker-De Jong', 'endAlumniOf', 'Radboud University Medical Center', '2026-06-01']]
[['Varvara M Prokacheva', 'endWorksFor', 'Institute Of Macromolecular Compounds', '2026-03-31']]
[['Ivan Guardiola', 'startWorksFor', 'Texas Tech University', '2026-11-13']]
[['Stefano Cembali', 'endMemberOf', 'Aurum Hotels', '2026-10-01']]
[['Dean P Jones', 'startAward', 'Keith R. Porter Lecture', '2026-03-06']]
[['Mauro De Grassi', 'endMemberOf', 'Purdue University', '2026-01-13']]
[['Syeda Kiran Riaz', 'startWorksFor', 'COMSATS University Islamabad', '2026-07-01']]
[['Sarah A Walker', 'endAlumniOf', 'University of Sydney', '2026-11-01']]
[['Junxiao Zhu', 'endAlumniOf', 'University of Houston', '2026-04-08']]
[['Zoran Zeljković', 'endWorksFor', 'German Research Foundation', '2026-06-30']]
[['Bimal Minj', 'endMemberOf', 'Hindustan Aeronautics Limited SC', '2026-04-28']]
[['Philip M Sobolesky', 'startWorksFor', 'German Research Foundation', '2026-12-01']]
[['Monduone N\' Kama', 'endMemberOf', 'C. D. Olivais e Moscavide', '2026-09-01']]
[['Meredith R U002E Golomb', 'startAward', 'Dan David Prize', '2026-04-07']]
[['Iciar Cañamares-Orbis', 'startWorksFor', 'FC Kairat', '2026-05-06']]
[['Yonas B U002E Dibike', 'startAlumniOf', 'Alma Juventus Fano 1906', '2026-07-08']]
[['Martha A Hass', 'endAlumniOf', 'Rensselaer Polytechnic Institute', '2026-01-06']]
[['Valaneío', 'endLocation', 'Corfu Municipality', '2026-02-01']]
[['Joana Plaza Pinto', 'endAlumniOf', 'State University of Campinas', '2026-02-01']]
[['Jan Groenendijk ( footballer)', 'endMemberOf', 'University of Life Sciences in Poznań', '2026-06-06']]
[['Neil MacLean ( coroner)', 'endAlumniOf', 'Ucla Division Of Life Sciences', '2026-07-01']]
[['Agnieszka Muszyńska', 'startAlumniOf', 'Budapesti VSC', '2026-12-31']]
[['Ara H. Hakobyan', 'endAlumniOf', 'German Research Foundation', '2026-08-01']]
[['Yelena Yerofeyeva', 'startWorksFor', 'Faculty Of Philology Of Saint Petersburg State University', '2026-09-09']]
[['Jeong Chan Joo', 'endMemberOf', 'National Interuniversity Consortium Of Materials Science And Technology', '2026-02-01']]
[['Jacob Darwin Hamblin', 'endAlumniOf', 'University of California, Santa Barbara', '2026-11-23']]
[['Sung Ho Ryu', 'startWorksFor', 'KAIST', '2026-11-05']]
[['Sébastien Prévost', 'endWorksFor', 'National Museum of Natural History, France', '2026-10-30']]
[['Aneta Sitek', 'endWorksFor', 'University of Łódź', '2026-09-13']]
[['Anton Pakhomov', 'endMemberOf', 'FC Torpedo Miass', '2026-12-29']]
[['Stig Arne Gjellestad', 'endMemberOf', 'Mjøndalen IF Fotball', '2026-05-31']]
[['Yaxia Yuan', 'endAlumniOf', 'Peking University', '2026-06-06']]
[['Moshood Salvador', 'endAlumniOf', 'University of Lagos', '2026-09-18']]
[['Duarte Soares', 'endAlumniOf', 'Halifax Town A. F. C.', '2026-01-01']]
[['Peter D U002E Taylor', 'startWorksFor', 'Harvard University', '2026-05-01']]
[['Merle Olson', 'endAlumniOf', 'Western College of Veterinary Medicine', '2026-05-01']]
[['Ming-Zhi Zhang', 'startWorksFor', 'Central China Normal University', '2026-07-01']]
[['Martin H U002E Heicksen', 'startAward', 'Ecological Society Of America Early Career Fellows', '2026-08-23']]
[['William B U002E Michelson', 'endWorksFor', 'University of Nevada, Reno School of Medicine', '2026-08-27']]
[['John Pleick', 'endMemberOf', 'Notre Dame Fighting Irish men\' s basketball', '2026-09-09']]
[['Paul J U002E Lockhart', 'startAward', 'Fellow Of The Academy Of The Social Sciences In Australia', '2026-03-25']]
[['Andrew Kennedy ( cricketer, born 1975)', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-08-28']]
[['Christine Léturgie', 'endAlumniOf', 'Aarhus University', '2026-01-31']]
[['David Kern', 'endWorksFor', 'Albert Einstein College of Medicine', '2026-02-01']]
[['Rowin Appanah', 'endAlumniOf', 'University of Warwick', '2026-07-01']]
[['Dale R U002E Harshman', 'endAlumniOf', 'Western Washington University', '2026-05-12']]
[['Alexandre Quintas', 'endAlumniOf', 'German Research Foundation', '2026-05-01']]
[['Claire M Gillan', 'endWorksFor', 'University of Cambridge', '2026-07-13']]
[['Vincenzo Ravera', 'endAlumniOf', 'Loughborough University', '2026-09-03']]
[['Carlos Eduardo Araújo Padilha', 'endAlumniOf', 'Spain national football team', '2026-10-01']]
[['Youfeng Yue', 'endAlumniOf', 'Hokkaido University', '2026-04-21']]
[['Katherine L Berry', 'startAward', 'John Bates Clark Medal', '2026-07-16']]
[['Susan Mahon', 'startAcademicDegree', 'Doctor of Philosophy generic instance', '2026-04-06']]
[['Shahed Ahmed', 'endMemberOf', 'Wingate & Finchley F. C.', '2026-11-16']]
[['Edward Aquilina', 'endMemberOf', 'Hibernians F. C.', '2026-06-21']]
[['John J U002E Mccann', 'startAward', 'Princess Of Asturias Award For Social Sciences', '2026-02-01']]
[['Crystal A Tonnessen-Murray', 'endAlumniOf', 'Icahn School of Medicine at Mount Sinai', '2026-07-31']]
[['Muhammad Shahid Riaz Rajoka', 'endWorksFor', 'Shenzhen University', '2026-06-01']]
[['Brian D Peyser', 'startWorksFor', 'Johns Hopkins School of Medicine', '2026-12-01']]
[['Steve Williams', 'endMemberOf', 'Texas Tech Red Raiders basketball', '2026-03-01']]
[['Tom Chambers', 'endMemberOf', 'Georgia Tech Yellow Jackets men\' s basketball', '2026-07-31']]
[['Alexey Polonikov', 'endAlumniOf', 'Kursk State Medical University', '2026-10-01']]
[['Laetitia Dou', 'startWorksFor', 'Aix-Marseille University', '2026-08-12']]
[['Byron Alvin', 'endMemberOf', 'Howard Bison men\' s basketball', '2026-07-30']]
[['Rebecca W Alexander', 'endAlumniOf', 'University of Pennsylvania', '2026-10-15']]
[['B U002E Smith', 'endMemberOf', 'Duquesne University', '2026-04-01']]
[['Henning Hardt', 'endMemberOf', 'Holstein Kiel Ii', '2026-03-31']]
[['Lee Nicholls', 'endWorksFor', 'German Research Foundation', '2026-12-31']]
[['Michael Scothern', 'endMemberOf', 'England cricket team', '2026-11-18']]
[['Meleah A Hickman', 'endAlumniOf', 'Duke University', '2026-11-12']]
[['Corban Bates', 'endMemberOf', 'Army Black Knights men\' s basketball', '2026-08-27']]
[['Thomas J U002E Leeper', 'endAlumniOf', 'Northwestern University', '2026-08-31']]
[['Kristina Killgrove', 'startMemberOf', 'German Research Foundation', '2026-04-15']]
[['Pankaj Bhowmik', 'endAlumniOf', 'Ehime University', '2026-11-16']]
[['Mari Huhtala', 'endWorksFor', 'University of Tampere', '2026-11-23']]
